Date,Eldoret,Busia
2016-01-01,5.40235996842717,5.36207779532648
2016-01-15,5.485834693801714,5.28363414666162
2016-02-01,5.562256875899748,5.405565575822368
2016-02-15,5.563125502987594,5.385648973011552
2016-03-01,5.5472578543800175,5.463674226384866
2016-03-15,5.540989582219774,5.477292535162619
2016-04-01,5.537548771526743,5.460621755745066
2016-04-15,5.591431987433599,5.532574725528885
2016-05-01,5.594001072389111,5.50402977358301
2016-05-15,5.5852044312251925,5.534768200374164
2016-06-01,5.614821837749787,5.637730380161156
2016-06-15,5.6116514697897,5.616097471738887
2016-07-01,5.736872287953763,5.6194157628448895
2016-07-15,5.702791461199394,5.634434821290053
2016-08-01,5.669684032815304,5.469654946532747
2016-08-15,5.5313670964152335,5.456208999440352
2016-09-01,5.565890650588389,5.4980504777480865
2016-09-15,5.562781808867302,5.6144753223593185
2016-10-01,5.559682602097261,5.574993019280119
2016-10-15,5.556127854713065,5.571987744855858
2016-11-01,5.618013504133962,5.665746161968274
2016-11-15,5.58030741646639,5.61794312996396
2016-12-01,5.573927743219124,5.6592902186260625
2016-12-15,5.570668024203145,5.657481000326382
2017-01-01,5.641291921173533,5.732630316712065
2017-01-15,5.635911086661275,5.756137415357606
2017-02-01,5.827643908543224,5.714467684831294
2017-02-15,5.819348123600469,5.727483129399476
2017-03-01,5.769808922343714,5.869151850657754
2017-03-15,5.807437756739882,5.998561595793225
2017-04-01,5.983108652229409,5.959988615736292
2017-04-15,5.959753612171627,6.002421144032829
2017-05-01,5.998624812023313,6.0187784503382575
2017-05-15,5.959846070158149,6.03479995022846
2017-06-01,5.9888055438607015,6.074183924777686
2017-06-15,5.996869315839742,5.659705617436055
2017-07-01,5.85614021922058,5.528147641817006
2017-07-15,5.8020564056480115,5.460618596056998
2017-08-01,5.772486606150529,5.439461623410591
2017-08-15,5.783397572767739,5.525192317310887
2017-09-01,5.718719359584662,5.5759271550088
2017-09-15,5.763783859039392,5.540051507507869
2017-10-01,5.649511699367608,5.377670905866268
2017-10-15,5.553816903873834,5.3681477670877875
2017-11-01,5.554973270008276,5.2868257212315735
2017-11-15,5.521318248844151,5.198209393888956
2017-12-01,5.459230470500578,5.28116832756406
2017-12-15,5.469216360284354,5.241253311880692
2018-01-01,5.46268546713954,5.240375499687569
2018-01-15,5.481115631967288,5.223738293486406
2018-02-01,5.49897092403976,5.209250741378117
2018-02-15,5.49549659756693,5.3214082808323
2018-03-01,5.52262078757555,5.237904403694265
2018-03-15,5.481896746596045,5.161002682641719
2018-04-01,5.478688512148342,5.157121502388198
2018-04-15,5.482449361196043,5.17731166271308
2018-05-01,5.475938750862315,5.136990672738601
2018-05-15,5.473526941134762,5.163281848150364
2018-06-01,5.246206386990925,5.123095675022673
2018-06-15,5.206229886463256,5.136495948038006
2018-07-01,5.206169450008134,5.123953464458541
2018-07-15,5.162662151664815,4.710315988315033
2018-08-01,4.949812336240371,4.709989476606838
2018-08-15,4.822899046160605,4.674075600182032
2018-09-01,4.879057495212685,4.677959870541799
2018-09-15,4.8184961215260165,4.630512510540956
2018-10-01,4.883897777989041,4.653049207349539
2018-10-15,4.820050455724354,4.897305151417043
2018-11-01,4.8108673548902905,4.981561429792054
2018-11-15,4.86663165427706,5.031693897681903
2018-12-01,4.983277002366445,5.035434103522495
2018-12-15,5.088590146056171,5.042843827799949
2019-01-01,5.040090552975195,5.111948931298989
2019-01-15,5.184068892220713,5.131306897043219
2019-02-01,5.191413299921033,5.145237330006572
2019-02-15,4.98633127202233,5.326166783174299
2019-03-01,5.037706802375934,5.281200919368427
2019-03-15,5.077086378178995,5.315883093287069
2019-04-01,5.210427598645093,5.49049406921397
2019-04-15,5.431594033681344,5.6431166006786
2019-05-01,5.438255832750031,5.591947821337684
2019-05-15,5.649035176795705,5.533806208512949
2019-06-01,5.754895150102365,5.562437848935936
2019-06-15,5.743380796726998,5.638344808155095
2019-07-01,5.589840001006751,
2019-07-15,5.5438376013660635,
2019-08-01,5.587806427414205,
2019-08-15,5.5870473348695375,
2019-09-01,5.586288818109315,
2019-09-15,5.525745210656986,
2019-10-01,5.522532862906612,
2019-10-15,5.521094538642053,
2019-11-01,5.7214621011750655,
2019-11-15,5.42003448827531,
2019-12-01,5.329027928900238,
2019-12-15,5.33365604618303,
2020-01-01,5.468477821559049,
2020-01-15,5.58726333833657,
2020-02-01,5.587021119331962,
2020-02-15,5.526948610126464,
