Date,Tororo,Kasese
2016-01-01,6.701852140811479,6.85651289461052
2016-01-15,6.701370265931681,6.846294610070295
2016-02-01,6.700888158736531,6.8749915146261005
2016-02-15,6.712835221877033,6.843288110274468
2016-03-01,6.747314433444672,6.747877338047209
2016-03-15,6.769088580218906,6.711271538568826
2016-04-01,,6.712511488848022
2016-04-15,,6.8227773515096315
2016-05-01,,6.8345108264562
2016-05-15,6.851732706010654,6.8240528250536485
2016-06-01,6.76511962311692,6.800296410172921
2016-06-15,6.761624268926409,6.7963537494475075
2016-07-01,6.747830171944618,6.843750293823358
2016-07-15,6.747654111243598,6.847365684337016
2016-08-01,6.676915752625248,6.8998802368783645
2016-08-15,6.674876925007473,6.898080016079373
2016-09-01,6.6686852320788965,6.892007711613546
2016-09-15,6.663273905315209,6.886417456629419
2016-10-01,6.67272152530122,6.880360890079465
2016-10-15,6.703047839584803,6.859476424725056
2016-11-01,6.684248913678229,6.838523701479584
2016-11-15,6.655948215838951,6.805052128237891
2016-12-01,6.383064056764999,6.799043430217704
2016-12-15,6.470538876919828,6.798830381450847
2017-01-01,6.541418322337393,6.798617378064098
2017-01-15,6.541445993272433,6.78243099362471
2017-02-01,6.576508348170308,
2017-02-15,6.570039397214098,
2017-03-01,6.6037573604714845,6.73223785079909
2017-03-15,6.722750961194981,6.757571754831194
2017-04-01,6.750390632850896,6.7791155991568
2017-04-15,6.775015211505611,6.758792375998723
2017-05-01,6.794677633103546,6.739221946974403
2017-05-15,6.802743518466312,6.775537810337138
2017-06-01,6.812276817041749,6.788287660671727
2017-06-15,6.81765089567165,6.7871561558233
2017-07-01,6.366186176791413,6.788561757047894
2017-07-15,6.816029043646575,6.78975454333694
2017-08-01,6.8359675977006775,6.784852526933321
2017-08-15,6.836897821439705,6.779994022496103
2017-09-01,6.8298959598977165,6.775159009039205
2017-09-15,6.828628948792869,6.771612268352634
2017-10-01,6.824710669043093,6.79678820842347
2017-10-15,6.8128676043607825,6.7860935707557255
2017-11-01,6.700884219954262,6.775265977188408
2017-11-15,6.701332006442114,6.761185717260585
2017-12-01,6.72941128792138,6.697961309806346
2017-12-15,6.762911306234433,6.671182608897453
2018-01-01,6.5534664567841645,6.806045907371657
2018-01-15,6.381191082177448,6.811898807473221
2018-02-01,6.420960528206205,6.786626721352554
2018-02-15,6.419298808372001,6.78962837432224
2018-03-01,6.433390594142882,
2018-03-15,6.475814638342035,
2018-04-01,6.545950719111276,
2018-04-15,6.594152076181791,
2018-05-01,6.633594622830933,6.8045029596903825
2018-05-15,6.663443156005881,6.80437423335443
2018-06-01,6.679309524299511,6.788032684728935
2018-06-15,6.654225433982608,6.713453268182942
2018-07-01,6.650915155068403,6.701104899592258
2018-07-15,6.5666139786806585,6.750262269352953
2018-08-01,6.6264524243358505,6.7716965633469055
2018-08-15,6.61767894313943,6.7413466062416125
2018-09-01,6.68912257146834,6.743302487842133
2018-09-15,6.68010108907111,6.7750176455678535
2018-10-01,6.686166677355136,6.794324999637309
2018-10-15,6.716637947549198,6.720813318959678
2018-11-01,6.722600088969929,6.680628457109515
2018-11-15,6.615958856191502,6.812089608259642
2018-12-01,6.619193001538903,6.789399072119459
2018-12-15,6.714023056750559,6.795680491078833
2019-01-01,6.7066961283230855,6.790310268364219
2019-01-15,6.709127768065042,6.81638222368294
2019-02-01,6.494419306649336,6.797946496381307
2019-02-15,6.4934929643904615,6.7986004535561015
2019-03-01,6.482112273675873,6.7055186025503914
2019-03-15,6.47824577747728,6.755359719867269
2019-04-01,6.59552973763184,6.75051160360952
2019-04-15,6.681731580768336,6.793574240158408
2019-05-01,6.683148747336152,6.7870203761933565
2019-05-15,6.709876556220062,6.814926464638243
2019-06-01,6.709348194898656,6.8873426138287295
2019-06-15,6.719636235880574,6.894996310390155
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
