Date,Lira,Masindi
2016-01-01,5.7855614089373235,
2016-01-15,5.742540875549595,
2016-02-01,5.697586049872747,
2016-02-15,5.693003811062038,
2016-03-01,5.830460479927918,
2016-03-15,5.832325814498507,6.177429259904277
2016-04-01,,6.1779149786102305
2016-04-15,,6.203216766657812
2016-05-01,,6.179494764568006
2016-05-15,5.839752551549044,6.130905644493703
2016-06-01,5.873044467095622,6.194913668721518
2016-06-15,5.9186424995408276,6.193412836773711
2016-07-01,6.052443348791168,6.179648720459842
2016-07-15,6.120334358693267,6.182094873305326
2016-08-01,6.099991985033262,6.177661241496442
2016-08-15,6.050464569345713,6.178142286718774
2016-09-01,5.861624644147091,6.226156343329002
2016-09-15,5.895743004633436,6.221308394987518
2016-10-01,6.027620403803121,6.213213755990568
2016-10-15,6.043536116767811,6.194689712562842
2016-11-01,6.0394367028911615,6.173519819667611
2016-11-15,6.245436340302469,6.140075824644642
2016-12-01,6.286515678381184,6.133074570711704
2016-12-15,6.350628180886328,6.142251262294685
2017-01-01,6.379927451160935,6.134632646193144
2017-01-15,6.423005711453711,6.264355423921132
2017-02-01,6.337526191252908,6.379166142370841
2017-02-15,6.284467475365949,6.372391869941915
2017-03-01,6.326504178166685,6.393507427294286
2017-03-15,6.403282379341532,6.449836239932684
2017-04-01,6.441571359574251,6.442286155887745
2017-04-15,6.511475288150438,6.438389706434408
2017-05-01,6.543291845062377,6.612455971419808
2017-05-15,6.551180550355619,6.62002426828871
2017-06-01,6.488903597652056,6.365989714413329
2017-06-15,6.4923421122342475,6.4527123174634795
2017-07-01,6.064976322601498,6.6327158742379675
2017-07-15,6.0042340426459795,6.6342506833302615
2017-08-01,5.999496259519676,6.62896068518407
2017-08-15,5.865483781999095,6.627369672143493
2017-09-01,6.08201182847926,6.620159360657688
2017-09-15,6.0794849756934335,6.618651356660965
2017-10-01,6.018118854425363,6.58143835029827
2017-10-15,6.006939533632155,6.570147672170397
2017-11-01,5.50906796558977,6.574369305791731
2017-11-15,5.689458131748428,6.574019539333248
2017-12-01,5.909176205953044,6.569954148308811
2017-12-15,6.039056534663201,6.202077452308745
2018-01-01,5.935872857592468,6.193168320476011
2018-01-15,5.97497381156673,6.293222309231491
2018-02-01,6.03517053161397,6.293192840298432
2018-02-15,6.0610754770271384,6.290808838020404
2018-03-01,6.083188164709767,6.327872237746034
2018-03-15,6.0788112493633095,6.323362040091088
2018-04-01,5.966358238098193,6.357025125107407
2018-04-15,6.009249335412577,6.354629632783541
2018-05-01,6.000359003158413,6.500475312463859
2018-05-15,5.970295975445936,6.49934027686332
2018-06-01,5.636013349760887,6.36684280483642
2018-06-15,5.730847500225399,6.347147431183248
2018-07-01,5.647201608223089,6.340348788783034
2018-07-15,5.455050537665471,5.866086690823091
2018-08-01,5.359217423231947,6.050321702162092
2018-08-15,5.342731760733681,6.0338106882295675
2018-09-01,5.330285056581489,6.264743092411093
2018-09-15,5.521269940409946,6.259917808488924
2018-10-01,5.529888746837217,6.266593901736292
2018-10-15,5.530633836766078,6.2689769936693915
2018-11-01,5.538205447338319,6.27462060814678
2018-11-15,5.604937151016327,6.1471133046663935
2018-12-01,5.550195633409724,6.096739339777794
2018-12-15,5.55590159534988,6.049863413063866
2019-01-01,5.638278741600945,6.094729404441977
2019-01-15,5.64008961917941,6.099299003294265
2019-02-01,5.647990256047452,6.107682547035447
2019-02-15,5.72463396209482,6.105453272996156
2019-03-01,5.713946972747484,6.285230565550589
2019-03-15,5.669612526996045,6.280563749181227
2019-04-01,5.70054703911345,6.292598102802026
2019-04-15,5.770226819210122,6.308006842048808
2019-05-01,5.895328803332569,6.339744998025177
2019-05-15,5.925757597454391,6.345481858979227
2019-06-01,5.869106555166567,6.344497805944682
2019-06-15,5.8529673097373704,6.359873281253265
2019-07-01,5.854203198901352,6.360684890580913
2019-07-15,5.855437562528509,
2019-08-01,5.446748273117672,6.3623061357761745
2019-08-15,5.3392864077869895,6.032433588346935
2019-09-01,5.39516466965004,6.033179779515269
2019-09-15,5.446463486848908,6.0322279063702595
2019-10-01,5.623278259162909,6.029250595280933
2019-10-15,5.530903736271644,5.843278421313797
2019-11-01,5.615463893561765,6.021947850459032
2019-11-15,5.616512989592131,6.021978097700296
2019-12-01,5.614512657485514,6.019977765593679
2019-12-15,5.437964891650919,6.025751556553039
2020-01-01,5.613902240403721,6.020383092631721
2020-01-15,5.696169394591656,6.022370671925227
2020-02-01,5.431910892489655,5.903282199176756
2020-02-15,5.481438839022584,5.902977771961809
