Date,Tororo,Masindi
2016-01-01,6.701852140811479,6.695282992076009
2016-01-15,6.701370265931681,6.720822459543145
2016-02-01,6.700888158736531,6.730876771790358
2016-02-15,6.712835221877033,
2016-03-01,6.747314433444672,6.750687117923312
2016-03-15,6.769088580218906,6.752140206445604
2016-04-01,,6.746014980333689
2016-04-15,,6.770894058271242
2016-05-01,,6.771018518893061
2016-05-15,6.851732706010654,6.759652894450565
2016-06-01,6.76511962311692,6.7626378901459425
2016-06-15,6.761624268926409,6.761624268926409
2016-07-01,6.747830171944618,6.747550490779322
2016-07-15,6.747654111243598,6.681068506484302
2016-08-01,6.676915752625248,6.676617289707049
2016-08-15,6.674876925007473,6.675174588352429
2016-09-01,6.6686852320788965,6.668386947214642
2016-09-15,6.663273905315209,6.663273905315209
2016-10-01,6.67272152530122,6.65517982382773
2016-10-15,6.703047839584803,6.636454757742766
2016-11-01,6.684248913678229,6.615628319914756
2016-11-15,6.655948215838951,6.581908576923682
2016-12-01,6.383064056764999,6.57462355454389
2016-12-15,6.470538876919828,6.5836271608819565
2017-01-01,6.541418322337393,6.576430002121544
2017-01-15,6.541445993272433,6.576469175913188
2017-02-01,6.576508348170308,6.576508348170308
2017-02-15,6.570039397214098,6.57193873301775
2017-03-01,6.6037573604714845,6.7597819649749775
2017-03-15,6.722750961194981,6.780810600762836
2017-04-01,6.750390632850896,6.794305764650775
2017-04-15,6.775015211505611,6.882671939423787
2017-05-01,6.794677633103546,6.875027678466785
2017-05-15,6.802743518466312,6.882480322191302
2017-06-01,6.812276817041749,6.892433478336285
2017-06-15,6.81765089567165,6.895987797507099
2017-07-01,6.366186176791413,6.869776385633712
2017-07-15,6.816029043646575,6.843314536597355
2017-08-01,6.8359675977006775,6.813956437599327
2017-08-15,6.836897821439705,6.809592370749438
2017-09-01,6.8298959598977165,6.80253046041779
2017-09-15,6.828628948792869,6.7968025171811925
2017-10-01,6.824710669043093,6.74085635860623
2017-10-15,6.8128676043607825,6.7292307088611825
2017-11-01,6.700884219954262,6.733214621992752
2017-11-15,6.701332006442114,6.734878691666694
2017-12-01,6.72941128792138,6.729146632633346
2017-12-15,6.762911306234433,6.539895886126755
2018-01-01,6.5534664567841645,6.532359181336218
2018-01-15,6.381191082177448,6.6040338363770426
2018-02-01,6.420960528206205,6.603402501641885
2018-02-15,6.419298808372001,6.60222186894349
2018-03-01,6.433390594142882,6.688957332162318
2018-03-15,6.475814638342035,6.743758663329377
2018-04-01,6.545950719111276,6.816074479349679
2018-04-15,6.594152076181791,6.838489419940326
2018-05-01,6.633594622830933,6.83232249954551
2018-05-15,6.663443156005881,6.830324752527179
2018-06-01,6.679309524299511,6.811044716095681
2018-06-15,6.654225433982608,6.765332120597391
2018-07-01,6.650915155068403,6.7059345306596025
2018-07-15,6.5666139786806585,6.490240999896085
2018-08-01,6.6264524243358505,6.492592570548907
2018-08-15,6.61767894313943,6.476530358526835
2018-09-01,6.68912257146834,6.498630683264274
2018-09-15,6.68010108907111,6.525950409243852
2018-10-01,6.686166677355136,6.532734130413318
2018-10-15,6.716637947549198,6.534734713288011
2018-11-01,6.722600088969929,6.695172209288324
2018-11-15,6.615958856191502,6.705670331253574
2018-12-01,6.619193001538903,6.485166027835435
2018-12-15,6.714023056750559,6.49140457764584
2019-01-01,6.7066961283230855,6.650159334444721
2019-01-15,6.709127768065042,6.57160134506392
2019-02-01,6.494419306649336,6.658761865674257
2019-02-15,6.4934929643904615,6.716115546690544
2019-03-01,6.482112273675873,6.7055186025503914
2019-03-15,6.47824577747728,6.728099071658377
2019-04-01,6.59552973763184,6.770255581599211
2019-04-15,6.681731580768336,6.766519449926777
2019-05-01,6.683148747336152,6.776911986872595
2019-05-15,6.709876556220062,6.784649790622513
2019-06-01,6.709348194898656,6.789948738184538
2019-06-15,6.719636235880574,6.782374576513997
2019-07-01,,6.755344281790383
2019-07-15,,
2019-08-01,,6.698987818413443
2019-08-15,,6.69514251502043
2019-09-01,,6.698618671297639
2019-09-15,,6.697666798152629
2019-10-01,,6.6941109837239425
2019-10-15,,6.69040205049575
2019-11-01,,6.686167394112799
2019-11-15,,6.686257294259389
2019-12-01,,6.6853024405543255
2019-12-15,,6.690208244650055
2020-01-01,,6.685214353074378
2020-01-15,,6.686768439199186
2020-02-01,,6.685716070563467
2020-02-15,,6.68645276785693
