Date,Mbale,Kisumu
2016-01-01,6.76639066194905,6.962333576466893
2016-01-15,6.734175636730581,6.9644286955730585
2016-02-01,6.700888158736531,6.925020739609445
2016-02-15,6.696305919925822,6.916714914225894
2016-03-01,6.747314433444672,6.903102669897625
2016-03-15,6.749458388940976,6.944983520439066
2016-04-01,,6.944078734159975
2016-04-15,,6.959804721936134
2016-05-01,,6.962469649556401
2016-05-15,6.757988539003953,6.955863003621561
2016-06-01,6.762637890145943,6.802132625838909
2016-06-15,6.760519296438291,6.797132431201746
2016-07-01,6.746150910424898,6.792663010662613
2016-07-15,6.715923403879571,6.738179698461554
2016-08-01,6.676617289707049,6.790578410452025
2016-08-15,6.676364356488018,6.734416965742569
2016-09-01,6.6686852320788965,6.78819965270293
2016-09-15,6.697623385329846,6.732362083233483
2016-10-01,6.692853496253145,6.6109272019424825
2016-10-15,6.735580153255599,6.606750370556886
2016-11-01,6.717010709988137,6.661817556307076
2016-11-15,6.650901448410633,6.713376658101881
2016-12-01,6.642807243899425,6.707919411616959
2016-12-15,6.648837711772252,6.700426658395675
2017-01-01,6.711791512623095,6.690153584577086
2017-01-15,6.710872678054119,6.7756642982529165
2017-02-01,6.709960773684591,6.768181378927941
2017-02-15,6.791406974447403,6.8574173798129365
2017-03-01,6.791408202813523,6.945844058659234
2017-03-15,6.867779438137442,6.846520602884505
2017-04-01,6.861353697393771,6.833333419119588
2017-04-15,6.85805959884089,6.827298231769488
2017-05-01,6.899838328598852,6.828201556120558
2017-05-15,6.907855494294352,6.831905765651529
2017-06-01,6.9176373326995755,6.833093794382744
2017-06-15,6.92138527452351,6.840011086199327
2017-07-01,6.787544980142807,6.842086952579462
2017-07-15,6.787724085786558,6.743678034426032
2017-08-01,6.836934715764452,6.737567502194116
2017-08-15,6.836416705240865,6.749620673390103
2017-09-01,6.774140160250103,6.8468489001110076
2017-09-15,6.772632156253379,6.848159397488766
2017-10-01,6.7690856058741335,6.853176764038861
2017-10-15,6.757807827177755,6.849704299002957
2017-11-01,6.733214621992752,6.851787878926591
2017-11-15,6.6702873847601545,6.938172336872028
2017-12-01,6.669712408417967,6.933386187411803
2017-12-15,6.673427278751277,6.9242602542843255
2018-01-01,6.750447961988804,6.830563101473199
2018-01-15,6.813851933094103,6.826550927891677
2018-02-01,6.812846378187989,6.839075902690276
2018-02-15,6.808507341074157,6.909096409377089
2018-03-01,6.803189271207565,6.907241508137412
2018-03-15,6.800368015617292,6.903043764041587
2018-04-01,6.867850748873399,6.8972163678432175
2018-04-15,6.864537404259304,6.8990490718112625
2018-05-01,6.8575456956748635,6.895078169691565
2018-05-15,6.777732302408008,6.809435037407744
2018-06-01,6.754796997292776,6.81028303247135
2018-06-15,6.738691200772804,6.7213571194261155
2018-07-01,6.710208041436984,6.724852999173771
2018-07-15,6.711795988525156,6.818620079733808
2018-08-01,6.657572333049655,6.819802918443612
2018-08-15,6.669982120033642,6.812001420758136
2018-09-01,6.684830719386799,6.806494489973673
2018-09-15,6.622178441338406,6.662215329684782
2018-10-01,6.62735883092655,6.717607132075606
2018-10-15,6.630387026869979,6.718006211657631
2018-11-01,6.6356833059358165,6.800221540532602
2018-11-15,6.551343082166565,6.793248600397694
2018-12-01,6.553497742273509,6.792769087431823
2018-12-15,6.559872376923301,6.792414877194827
2019-01-01,6.708808061526229,6.794825477266455
2019-01-15,6.711231924548906,6.794423815264695
2019-02-01,6.71678028325294,6.709252955693816
2019-02-15,6.716636515704671,6.7010744499692105
2019-03-01,6.73196556785697,6.787359453208324
2019-03-15,6.782866365657102,6.687521299668765
2019-04-01,6.772208707220093,6.775413748508359
2019-04-15,6.766029614012011,6.768512121403341
2019-05-01,6.760818003799332,6.7725331795303925
2019-05-15,6.761816639324294,6.767813135058409
2019-06-01,,6.764907859518475
2019-06-15,,6.755210672344658
2019-07-01,,6.746615574853573
2019-07-15,,6.737945960721086
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
