Date,Mbale,Tororo
2016-01-01,6.345177196872746,6.296387032703314
2016-01-15,6.368214610247294,6.320586014466735
2016-02-01,6.3907332304326925,6.344213214797799
2016-02-15,6.408623847474042,6.363161473397284
2016-03-01,6.523607660487864,6.481904996602015
2016-03-15,6.517100976959076,6.429551051454128
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,6.490642424291848,6.1874863909384645
2016-06-01,6.454689250657641,6.2517202319590135
2016-06-15,6.4774332427395285,6.357125011186533
2016-07-01,6.482272895773473,6.342784438973655
2016-07-15,6.39527238426644,6.3932870748988515
2016-08-01,6.388736192476026,6.388736192476026
2016-08-15,6.474834526055797,6.47410698873742
2016-09-01,6.512793301594033,6.512793301594033
2016-09-15,6.509919403873958,6.547504969030527
2016-10-01,6.541251078496721,6.541587156469973
2016-10-15,6.441994004612874,6.441994004612874
2016-11-01,6.327946247462975,6.374409866289913
2016-11-15,6.306900945368628,6.294226504471901
2016-12-01,6.419141635669155,6.289492503883714
2016-12-15,6.468766141124965,6.394385161243428
2017-01-01,6.503766816133705,6.540097754301309
2017-01-15,6.503275976301969,6.577578956256621
2017-02-01,6.541146258015762,6.6115778845739985
2017-02-15,6.76255386524853,6.638905517956219
2017-03-01,6.816896839030441,6.641214923006386
2017-03-15,6.867779438137442,6.825240168977693
2017-04-01,6.861353697393771,6.834685450311611
2017-04-15,6.856648166002482,6.843377829081585
2017-05-01,6.845083920830362,6.848876293235224
2017-05-15,6.745994329735111,6.55213886379743
2017-06-01,6.627582076102239,6.319800331943955
2017-06-15,6.529804686986427,6.32383068556651
2017-07-01,6.527619245638013,6.367735363778243
2017-07-15,6.528099966129934,6.368444483235205
2017-08-01,6.523633227923906,6.363348068111329
2017-08-15,6.55863096255904,6.402890709992056
2017-09-01,6.620159360657688,6.39953937633255
2017-09-15,6.437993100713827,6.51408323407154
2017-10-01,6.259280911242251,6.510595339523157
2017-10-15,6.199612585745824,6.421128797400659
2017-11-01,6.42589957911418,6.29596660706919
2017-11-15,6.425946653131482,6.203880881695268
2017-12-01,6.4220430143143945,6.222371379818112
2017-12-15,6.424951546577268,6.296693428683594
2018-01-01,6.413767803545446,6.286661969353938
2018-01-15,6.420989997139264,6.293222309231491
2018-02-01,6.420960528206205,6.338144228160699
2018-02-15,6.416406543159853,6.493716170514268
2018-03-01,6.411853508998498,6.524300611548169
2018-03-15,6.406870323508568,6.520355067806187
2018-04-01,6.397480079799721,6.644707197559188
2018-04-15,6.395084587475855,6.542805529109412
2018-05-01,6.3868037865875475,
2018-05-15,6.386170099468836,6.30130810535935
2018-06-01,6.363062081996514,6.00530430091895
2018-06-15,6.122466600550152,6.022433748000113
2018-07-01,6.126039556495682,6.06290222022528
2018-07-15,6.151915194625549,5.986883014610757
2018-08-01,6.156908459543163,6.050321702162092
2018-08-15,6.13979212908586,6.0338106882295675
2018-09-01,6.124408154481436,6.0801275808179795
2018-09-15,6.123322182470887,6.1204853011356875
2018-10-01,6.020651435457276,6.126011951115102
2018-10-15,6.129583232279798,6.024536245390805
2018-11-01,6.135021518959832,5.911409693228261
2018-11-15,6.145259736017071,5.921652255211821
2018-12-01,6.148032634165344,5.924889082851135
2018-12-15,6.154407268815136,6.0478205114340655
2019-01-01,6.148796625712253,6.146022698829527
2019-01-15,6.152141484668644,6.246782991763333
2019-02-01,6.158207792230096,6.253849702009266
2019-02-15,6.155978518190804,6.359961571765939
2019-03-01,6.144588235748122,6.372508573657649
2019-03-15,6.14072173954953,6.36423354717429
2019-04-01,6.135026817087231,6.530603093066148
2019-04-15,6.529444834379141,6.49623950287164
2019-05-01,6.676752137039459,
2019-05-15,6.527554999426108,
2019-06-01,,6.385439196322042
2019-06-15,,6.468615407132018
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
