Date,Masindi,Tororo
2016-01-01,5.275479556124178,5.366612950491872
2016-01-15,5.112551408384965,5.340941584956898
2016-02-01,5.193232940612374,5.3145937976166415
2016-02-15,5.262470614036932,5.295622821353832
2016-03-01,5.291061483717872,5.291061483717872
2016-03-15,5.3013633293406315,5.348429982859414
2016-04-01,5.360002190382771,
2016-04-15,5.384874158522637,
2016-05-01,5.385272553728783,
2016-05-15,5.488427863115462,5.549749753989781
2016-06-01,5.501279277433299,5.610142423642327
2016-06-15,5.500265656213766,5.602991124233586
2016-07-01,5.485513885498625,5.576141902958443
2016-07-15,5.4884566541889885,5.4923782278421704
2016-08-01,5.453558019490573,5.423705056340891
2016-08-15,5.35787309871949,5.360092855457803
2016-09-01,5.351244553914868,5.454821743197266
2016-09-15,5.47078410184427,5.5281612144275725
2016-10-01,5.462935610364402,5.5139818386605155
2016-10-15,5.445999762404194,5.555958906579959
2016-11-01,5.546659148996874,5.635625854879024
2016-11-15,5.552289159742523,5.656488286964094
2016-12-01,5.544493151148241,5.725621390378153
2016-12-15,5.549632479119975,5.695102992115967
2017-01-01,5.54674686835175,5.643596694341668
2017-01-15,5.595701695395968,5.687556151203077
2017-02-01,5.642371381028475,5.72931576756422
2017-02-15,5.635845373847415,5.722318971851242
2017-03-01,5.675177687462979,5.7813879192895
2017-03-15,5.868849431235698,5.969114394466924
2017-04-01,5.897916187093915,5.9628779560878975
2017-04-15,5.893859837756065,5.964084995289282
2017-05-01,5.886718728325191,5.983435180334269
2017-05-15,5.959743895809117,6.007103365847976
2017-06-01,6.00134660082542,6.029826072147289
2017-06-15,6.005981854153889,5.797147848052577
2017-07-01,5.535290529329386,5.1801395887336295
2017-07-15,5.312198590938724,5.372561740665815
2017-08-01,5.368581761113166,5.366130350325041
2017-08-15,5.368956130992608,5.423792202869158
2017-09-01,5.41895718941226,5.527474771622853
2017-09-15,5.3563303703594904,5.471308355088266
2017-10-01,5.294200015198664,5.342139477487782
2017-10-15,5.280381673081202,5.342936347741292
2017-11-01,5.1520064984226215,5.154580502417795
2017-11-15,5.074272492658195,5.154315200331731
2017-12-01,5.074221723464717,5.075605806730655
2017-12-15,5.078458177437094,5.1529607047350146
2018-01-01,5.068819317163852,5.275061057675458
2018-01-15,5.074360892411804,5.133677469568224
2018-02-01,5.149232731651864,5.117816535418485
2018-02-15,5.146848729373835,5.211709363575876
2018-03-01,5.139302426889725,5.204488406774421
2018-03-15,5.132759470328324,5.054234707216013
2018-04-01,5.126191201696839,5.094273598728534
2018-04-15,5.123795709372973,5.123795709372973
2018-05-01,5.116156585835759,5.039616508713424
2018-05-15,5.111724038485514,5.073983710502667
2018-06-01,5.093877129023532,5.044143123349394
2018-06-15,5.072644476051474,5.072644476051474
2018-07-01,5.067713746135665,5.064955123696586
2018-07-15,4.544330850840772,4.53969047128427
2018-08-01,4.492688200916857,4.526104197836701
2018-08-15,4.478766847861266,4.526622869038901
2018-09-01,4.464766650080757,4.507543104770602
2018-09-15,4.491005807556552,
2018-10-01,4.516574038681002,4.468255461410195
2018-10-15,4.641371777279842,4.641371777279842
2018-11-01,4.752465479950549,4.8450582667783735
2018-11-15,4.760818943546503,4.943140500340458
2018-12-01,4.853675768371139,4.944059829839408
2018-12-15,4.86609331605545,4.8042179123373625
2019-01-01,4.942049894503591,5.019239533194721
2019-01-15,4.946942438619464,5.100216309973188
2019-02-01,5.033716055574165,5.033716055574165
2019-02-15,5.23877496105929,5.300741684808489
2019-03-01,5.227376269354647,5.227376269354647
2019-03-15,5.223509773156054,5.223509773156054
2019-04-01,5.303592620673194,5.367203805187378
2019-04-15,5.5467516479293515,5.550062909233008
2019-05-01,5.564680694997345,5.563053355337969
2019-05-15,5.520292489346226,5.520292489346226
2019-06-01,5.4791271644977835,5.500180573695616
2019-06-15,5.539695727085255,5.579045065873803
2019-07-01,5.4441263027399,
2019-07-15,,
2019-08-01,,
2019-08-15,5.086228299901257,
2019-09-01,5.075033286849828,
2019-09-15,5.223319935534699,
2019-10-01,5.393261828560937,
2019-10-15,5.387802892630971,
2019-11-01,5.481495533484364,
2019-11-15,5.527281855864189,
2019-12-01,5.531926066476241,
2019-12-15,5.534926599493717,
2020-01-01,5.613902240403721,
2020-01-15,5.133041133779092,
2020-02-01,5.207854515918085,
2020-02-15,5.269516812452338,
