Date,Ruhengeri,Rubavu
2016-01-01,,
2016-01-15,6.059614035426265,
2016-02-01,5.992221519814052,
2016-02-15,5.972084278247667,
2016-03-01,5.946184257635977,
2016-03-15,6.16865479115421,
2016-04-01,6.3505274176451865,6.3505274176451865
2016-04-15,6.356295554316818,6.338831556071906
2016-05-01,6.380077795136465,
2016-05-15,6.249512355085702,
2016-06-01,6.245788826595525,
2016-06-15,6.107132564166157,
2016-07-01,6.157332360888703,
2016-07-15,6.133770997056055,
2016-08-01,6.173268809691479,
2016-08-15,6.210808321208268,
2016-09-01,6.257052652046707,
2016-09-15,6.268420499885853,
2016-10-01,6.331652474601729,6.200247670724247
2016-10-15,6.3194663693278175,6.197517900692371
2016-11-01,6.435318518671753,6.2428073674973135
2016-11-15,6.439817401969142,
2016-12-01,6.472322691423477,
2016-12-15,6.472550137670066,
2017-01-01,6.187817273279038,6.405875452209969
2017-01-15,6.208711954105321,6.183324147985908
2017-02-01,6.2291789679687435,6.16444142205193
2017-02-15,6.260458833047617,6.091685186075201
2017-03-01,6.259850333455934,6.152535404976829
2017-03-15,6.258051642699801,6.151329656443653
2017-04-01,6.253402841152678,6.151035932302546
2017-04-15,6.384660785459621,6.151557894242654
2017-05-01,6.390108061736788,6.25945436893988
2017-05-15,6.395330794306281,6.317447137489437
2017-06-01,6.3969721376803355,6.319186461615421
2017-06-15,6.395356988088534,6.266469806298685
2017-07-01,6.047576051615705,6.248852313650454
2017-07-15,6.164539768770413,6.266439758253793
2017-08-01,6.160488584088879,6.341444331428538
2017-08-15,6.256489932812973,6.2895708032772255
2017-09-01,6.248098183886897,6.343557628562012
2017-09-15,6.2412519083112645,6.353729891737955
2017-10-01,6.23363083040881,6.320916067457662
2017-10-15,6.2355023862255505,6.288605033587297
2017-11-01,6.244994375170911,6.2310789071089365
2017-11-15,6.259788674998292,6.261869841202117
2017-12-01,6.158269843311817,6.445019949246934
2017-12-15,6.158045356678502,6.395071592777901
2018-01-01,6.040736731833174,6.44550278363884
2018-01-15,6.040304680308272,6.339168770196058
2018-02-01,6.011286117483688,6.398322519768936
2018-02-15,5.891147034475059,6.095316530794884
2018-03-01,5.8858695278639335,6.1583768022964795
2018-03-15,5.829566853466542,6.188511945939813
2018-04-01,5.997897915733644,6.155967213988995
2018-04-15,6.040925167031038,6.193923108978489
2018-05-01,6.034473459811091,6.2692660683425
2018-05-15,6.039343175233221,6.3091539525461995
2018-06-01,6.103328911862708,6.0091653020292055
2018-06-15,5.8673270045932275,5.942215786225738
2018-07-01,5.753936125328072,6.075861221202065
2018-07-15,5.7065654678776445,5.999235081840465
2018-08-01,5.916706675330274,5.940666749077419
2018-08-15,5.992846130605414,5.963512142491708
2018-09-01,6.035329222014908,5.910850307619926
2018-09-15,6.021894233396215,5.887764933429515
2018-10-01,5.99956668309799,5.934024073803191
2018-10-15,6.000099875326919,6.011883621748981
2018-11-01,5.997390656910471,5.9984734940493025
2018-11-15,6.050275201124174,6.061563160898026
2018-12-01,6.123328952279136,6.0102314541191575
2018-12-15,6.123331405662144,6.038944013384596
2019-01-01,6.000480185945827,6.000480185945827
2019-01-15,5.868444467091552,5.92525732648596
2019-02-01,5.952488292630035,5.919927276580723
2019-02-15,5.98628842153151,5.992831520120446
2019-03-01,5.975456961023795,5.9215112981320805
2019-03-15,5.962419968657595,5.907984762102577
2019-04-01,6.015043960556395,5.955982246065133
2019-04-15,6.064654850451594,6.0191694960574775
2019-05-01,6.0535493513875585,5.936512306067896
2019-05-15,6.053942461080548,5.8864359900717345
2019-06-01,6.0750159306070834,6.051346186521179
2019-06-15,5.933375583093265,6.0509088996823
2019-07-01,6.043318161974349,6.056175482193793
2019-07-15,6.142361748868113,6.06141447306415
2019-08-01,6.005459359447893,6.002371348759317
2019-08-15,5.901329177417885,
2019-09-01,5.886382290661799,
2019-09-15,5.97516682476429,
2019-10-01,5.883160292742626,
2019-10-15,5.851819844084738,
2019-11-01,5.8423984408812535,
2019-11-15,6.146068853697659,
2019-12-01,6.173184236902974,
2019-12-15,6.404687478052265,
2020-01-01,6.361402550264024,
2020-01-15,6.374581059884107,
2020-02-01,6.1339126362517336,
2020-02-15,6.078959818364267,
