Date,Kisumu,Busia
2016-01-01,6.51536099454738,6.318462984402514
2016-01-15,6.512443571830001,6.337440950762077
2016-02-01,6.507532552479478,6.316188099802063
2016-02-15,,6.312043019468261
2016-03-01,6.49763756178946,6.3872553915217
2016-03-15,6.501129798384963,6.358921285335857
2016-04-01,,6.336599528487916
2016-04-15,6.508077896011896,6.403138777787544
2016-05-01,6.510998268439593,6.135943578426915
2016-05-15,6.503620562411661,6.318066477928407
2016-06-01,6.422703271116757,6.292744691025658
2016-06-15,6.418005018978617,6.364133904030523
2016-07-01,6.414844670494473,6.233923744733619
2016-07-15,6.41139489999603,6.283766709015299
2016-08-01,6.411774645994671,6.2642628327982495
2016-08-15,6.408525672100433,6.279482992071245
2016-09-01,6.409113110531074,6.318338482369976
2016-09-15,6.480495016088001,6.419610623769823
2016-10-01,6.402905062039947,6.4160879355427145
2016-10-15,6.319690382106504,6.319295131018286
2016-11-01,6.312825964012967,6.168196797178696
2016-11-15,6.308189135005908,6.188487988431572
2016-12-01,6.303566032361484,6.261066817385763
2016-12-15,6.374768335556976,6.318982538170334
2017-01-01,6.43879911705772,6.34400489913866
2017-01-15,6.487982225801136,6.426697114685671
2017-02-01,6.48015945940407,6.4436084680391446
2017-02-15,6.50791564290139,6.5005031950970995
2017-03-01,6.655991040994017,6.536507788619762
2017-03-15,6.645696744609984,6.542105035181455
2017-04-01,6.633226580452754,6.573984859087074
2017-04-15,6.627526505122292,6.566451950177369
2017-05-01,6.626635227449874,6.626442213394548
2017-05-15,6.631517038328846,6.320739745217466
2017-06-01,6.453942983455264,6.2572799749626205
2017-06-15,6.455382450293878,6.1697472348898375
2017-07-01,6.522820826592362,6.304228302247334
2017-07-15,6.386784296043806,6.324607257103773
2017-08-01,6.378622409720845,6.366576585153397
2017-08-15,6.393163144388633,6.384156553993323
2017-09-01,6.464994811842604,6.391725383085202
2017-09-15,6.466461404450031,6.376299531708487
2017-10-01,6.498346839073698,6.340108240376205
2017-10-15,6.470107635747989,6.173066404506129
2017-11-01,6.467868412881293,6.055848936770209
2017-11-15,6.396204065750183,6.0010634591662155
2017-12-01,6.393539707877411,5.998788364642731
2017-12-15,6.385507092158509,6.138586130010234
2018-01-01,6.378976199013695,6.13140875358258
2018-01-15,6.375095254855892,6.139071629404233
2018-02-01,6.3099011402560885,5.902397921938062
2018-02-15,6.302188703028191,5.972560340355643
2018-03-01,6.296067910537139,5.971310039734474
2018-03-15,6.2140649930188205,5.929703444569913
2018-04-01,6.357026691930195,5.982053627561884
2018-04-15,6.358630095732033,5.944566815426748
2018-05-01,6.323337376677442,6.015461771344169
2018-05-15,6.28675336961144,5.970295975445936
2018-06-01,6.200881361873394,5.730182953450687
2018-06-15,6.207863938226344,5.732268964572776
2018-07-01,6.125196161701164,5.701268829493364
2018-07-15,6.128196459640903,5.735724872959848
2018-08-01,6.167351977894375,5.732889943539251
2018-08-15,6.2050319364392434,5.756427367978361
2018-09-01,6.200813335195003,5.752279466640863
2018-09-15,6.203969359116571,5.835325298116617
2018-10-01,6.207115453879592,5.843348709775264
2018-10-15,6.204671176286215,5.717511210095894
2018-11-01,6.20053440048882,5.6865081572831535
2018-11-15,6.188812032580339,5.760906013162644
2018-12-01,6.187249806692381,5.856639982317028
2018-12-15,6.187202434724281,5.844419438849057
2019-01-01,6.340340187736551,5.912407847648022
2019-01-15,6.1898144964969735,5.9005644168589795
2019-02-01,6.197432801761317,5.95560904299699
2019-02-15,6.1897514374836895,6.019313963734245
2019-03-01,6.183785628282967,6.039841405289059
2019-03-15,6.172368105899941,6.08777932027933
2019-04-01,6.1692779449380435,6.103159078239208
2019-04-15,6.313983213879818,6.345259344147123
2019-05-01,6.453287279525301,6.316250169677425
2019-05-15,6.385002354538578,6.258334989814062
2019-06-01,6.313441609830385,6.12786287825786
2019-06-15,6.436527977286944,6.065788822982034
2019-07-01,6.459509063569616,
2019-07-15,6.481973862166198,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
