Date,Masindi,Tororo
2016-01-01,6.465225239159982,6.296387032703314
2016-01-15,6.455271570344619,6.320586014466734
2016-02-01,6.458589092132568,6.344213214797799
2016-02-15,6.492322866350689,6.363161473397284
2016-03-01,6.679165800083002,6.481904996602015
2016-03-15,6.679861549024396,6.429551051454128
2016-04-01,6.676941645377108,
2016-04-15,6.702156046269875,
2016-05-01,6.7014573486616476,
2016-05-15,6.696148575961132,6.1874863909384645
2016-06-01,6.689633670863659,6.2517202319590135
2016-06-15,6.497408484717015,6.357125011186533
2016-07-01,6.482272895773473,6.342784438973655
2016-07-15,6.506644149537146,6.3932870748988515
2016-08-01,6.523361731526907,6.388736192476026
2016-08-15,6.523105074728996,6.47410698873742
2016-09-01,6.593452490785948,6.512793301594033
2016-09-15,6.588568383098891,6.547504969030527
2016-10-01,6.501129119006803,6.541587156469973
2016-10-15,6.47904873424721,6.441994004612874
2016-11-01,6.279218116108922,6.374409866289913
2016-11-15,6.300161239991715,6.294226504471901
2016-12-01,6.420259995524769,6.289492503883714
2016-12-15,6.429318290751434,6.394385161243428
2017-01-01,6.422438596006496,6.540097754301309
2017-01-15,6.502437728059688,6.577578956256621
2017-02-01,6.576508348170308,6.6115778845739985
2017-02-15,6.569405482771316,6.638905517956219
2017-03-01,6.5664279873774465,6.641214923006386
2017-03-15,6.597569785439308,6.825240168977693
2017-04-01,6.590755438475138,6.834685450311611
2017-04-15,6.586698709388025,6.843377829081585
2017-05-01,6.578006596294953,6.848876293235224
2017-05-15,6.5860404154731125,6.55213886379743
2017-06-01,6.591907192610265,6.319800331943955
2017-06-15,6.451292870809253,6.32383068556651
2017-07-01,6.41053682201548,6.367735363778243
2017-07-15,6.527440987522891,6.368444483235205
2017-08-01,6.525614734516767,6.363348068111329
2017-08-15,6.592977142183737,6.402890709992056
2017-09-01,6.586298810232551,6.39953937633255
2017-09-15,6.5810939443545005,6.51408323407154
2017-10-01,6.259280911242251,6.510595339523157
2017-10-15,6.247240634735078,6.421128797400659
2017-11-01,6.100754440444159,6.29596660706919
2017-11-15,6.096423615231827,6.203880881695268
2017-12-01,6.0930990441139725,6.222371379818112
2017-12-15,6.201628316886867,6.296693428683594
2018-01-01,6.191351789549613,6.286661969353938
2018-01-15,6.534912024138188,6.293222309231491
2018-02-01,6.534237601941882,6.338144228160699
2018-02-15,6.530562443900234,6.493716170514268
2018-03-01,6.487981003885049,6.524300611548169
2018-03-15,6.519704661279193,6.520355067806187
2018-04-01,6.511175804934666,6.644707197559189
2018-04-15,6.510090070492864,6.542805529109412
2018-05-01,6.536089306104479,
2018-05-15,5.804871219045459,6.30130810535935
2018-06-01,5.787024309583478,6.00530430091895
2018-06-15,6.012823423100325,6.022433748000113
2018-07-01,6.010643726556405,6.06290222022528
2018-07-15,5.866086690823091,5.986883014610757
2018-08-01,6.050321702162092,6.050321702162092
2018-08-15,6.0338106882295675,6.0338106882295675
2018-09-01,6.022390027562991,6.0801275808179795
2018-09-15,6.014703821464067,6.1204853011356875
2018-10-01,6.020651435457276,6.126011951115102
2018-10-15,6.023490766989252,6.024536245390805
2018-11-01,6.27462060814678,5.911409693228261
2018-11-15,6.094844876120637,5.921652255211821
2018-12-01,6.042672118507518,5.924889082851135
2018-12-15,6.049863413063866,6.0478205114340655
2019-01-01,6.194812862998959,6.146022698829527
2019-01-15,6.373813365371398,6.246782991763333
2019-02-01,6.382810133007966,6.253849702009266
2019-02-15,6.456353417441004,6.359961571765939
2019-03-01,6.368100043372883,6.372508573657649
2019-03-15,6.364233547174291,6.364233547174291
2019-04-01,6.469124069085033,6.530603093066148
2019-04-15,6.530685529327375,6.496239502871641
2019-05-01,6.558233536804122,
2019-05-15,6.790396932878082,
2019-06-01,6.5634534959184165,6.385439196322043
2019-06-15,6.511285099155636,6.468615407132018
2019-07-01,6.5223567013969665,
2019-07-15,,
2019-08-01,6.544138814535459,
2019-08-15,6.473830705681163,
2019-09-01,6.624670775981141,
2019-09-15,6.639834839297474,
2019-10-01,6.6941109837239425,
2019-10-15,6.536425601873741,
2019-11-01,6.532366059267259,
2019-11-15,6.531583465061057,
2019-12-01,6.626113569163994,
2019-12-15,6.690208244650055,
2020-01-01,6.685214353074378,
2020-01-15,6.686768439199186,
2020-02-01,6.714465483849453,
2020-02-15,6.715172690509349,
