Date,Kisumu,Eldoret
2016-01-01,6.51536099454738,6.538658906772202
2016-01-15,6.512443571830001,6.529172917320767
2016-02-01,6.507532552479478,6.51955563150128
2016-02-15,,6.53488598090611
2016-03-01,6.49763756178946,6.53182892653774
2016-03-15,6.501129798384963,6.519937367131795
2016-04-01,,6.530522031793268
2016-04-15,6.508077896011896,6.53609093223957
2016-05-01,6.510998268439593,6.493903835080293
2016-05-15,6.503620562411661,6.5050349898044715
2016-06-01,6.422703271116757,6.444225717881967
2016-06-15,6.418005018978617,6.461392527092208
2016-07-01,6.414844670494473,6.430019468513708
2016-07-15,6.41139489999603,6.395938641759339
2016-08-01,6.411774645994671,6.331220952106643
2016-08-15,6.408525672100433,6.242796321812628
2016-09-01,6.409113110531074,6.146136100946372
2016-09-15,6.480495016088001,6.144022779466788
2016-10-01,6.402905062039947,6.289086210679383
2016-10-15,6.319690382106504,6.285960371729812
2016-11-01,6.312825964012967,6.346366940428526
2016-11-15,6.308189135005908,6.3718946698395875
2016-12-01,6.303566032361484,6.424307650057613
2016-12-15,6.374768335556976,6.446280553346781
2017-01-01,6.43879911705772,6.583172424046684
2017-01-15,6.487982225801136,6.534502241436029
2017-02-01,6.48015945940407,6.545929377058253
2017-02-15,6.50791564290139,6.599941747504524
2017-03-01,6.655991040994017,6.571169687543891
2017-03-15,6.645696744609984,6.6261299782917
2017-04-01,6.633226580452754,6.632098548748255
2017-04-15,6.627526505122292,6.676841000277581
2017-05-01,6.626635227449874,6.681428444588674
2017-05-15,6.631517038328846,6.630670895280196
2017-06-01,6.453942983455264,6.46740213682927
2017-06-15,6.455382450293878,6.455382450293878
2017-07-01,6.522820826592362,6.447926613611896
2017-07-15,6.386784296043806,6.520406858837512
2017-08-01,6.378622409720845,6.514167901717069
2017-08-15,6.393163144388633,6.569427747474398
2017-09-01,6.464994811842604,6.577767760361235
2017-09-15,6.466461404450031,6.605398215641461
2017-10-01,6.498346839073698,6.53518460689575
2017-10-15,6.470107635747989,6.596665618023489
2017-11-01,6.467868412881293,6.532406934018864
2017-11-15,6.396204065750183,6.601106452266625
2017-12-01,6.393539707877411,6.643719706087706
2017-12-15,6.385507092158509,6.66402319759621
2018-01-01,6.378976199013695,6.629479268223722
2018-01-15,6.375095254855892,6.730823608269944
2018-02-01,6.3099011402560885,6.599317818520078
2018-02-15,6.302188703028191,6.558296429881377
2018-03-01,6.296067910537139,6.504285811634673
2018-03-15,6.2140649930188205,6.444833311921062
2018-04-01,6.357026691930195,6.440809366563453
2018-04-15,6.358630095732033,6.388776086909848
2018-05-01,6.323337376677442,6.40041506732291
2018-05-15,6.28675336961144,6.415687052987334
2018-06-01,6.200881361873394,6.328011557342653
2018-06-15,6.207863938226344,6.2880350568149845
2018-07-01,6.125196161701164,6.290988416543908
2018-07-15,6.128196459640903,6.238801584480866
2018-08-01,6.167351977894375,6.20509314072808
2018-08-15,6.2050319364392434,6.120670771124589
2018-09-01,6.200813335195003,6.122851793725292
2018-09-15,6.203969359116571,6.125927634220183
2018-10-01,6.207115453879592,6.1380033289192415
2018-10-15,6.204671176286215,6.138903536048712
2018-11-01,6.20053440048882,6.09405092008637
2018-11-15,6.188812032580339,6.08326285547492
2018-12-01,6.187249806692381,6.115225711302146
2018-12-15,6.187202434724281,6.152775626974193
2019-01-01,6.340340187736551,6.173549572973473
2019-01-15,6.1898144964969735,6.235724197801051
2019-02-01,6.197432801761317,6.197432801761317
2019-02-15,6.1897514374836895,6.20701450490747
2019-03-01,6.183785628282967,6.1679321464789885
2019-03-15,6.172368105899941,6.220403388132812
2019-04-01,6.1692779449380435,6.2477810064259875
2019-04-15,6.313983213879818,6.299511181271283
2019-05-01,6.453287279525301,6.31744045261313
2019-05-15,6.385002354538578,6.34218235735565
2019-06-01,6.313441609830385,6.424066418786598
2019-06-15,6.436527977286944,6.412952498656401
2019-07-01,6.459509063569616,6.478031235502504
2019-07-15,6.481973862166198,6.539132276006147
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
