Date,Eldoret,Tororo
2016-01-01,7.2857998494089715,6.701852140811479
2016-01-15,7.283754175849106,6.701370265931681
2016-02-01,7.268272663216036,6.700888158736531
2016-02-15,7.234668422408563,6.712835221877033
2016-03-01,7.190784742349406,6.747314433444672
2016-03-15,7.3201385438559,6.769088580218906
2016-04-01,7.316380423942373,
2016-04-15,7.34732803813147,
2016-05-01,7.308340030983496,
2016-05-15,7.266137990754371,6.851732706010654
2016-06-01,7.190476283175049,6.76511962311692
2016-06-15,7.220061456829194,6.761624268926409
2016-07-01,7.236925534430312,6.747830171944618
2016-07-15,7.178430922655134,6.747654111243598
2016-08-01,7.1787560885656685,6.676915752625248
2016-08-15,7.17061455885785,6.674876925007473
2016-09-01,7.176751038369032,6.6686852320788965
2016-09-15,7.174175103668285,6.663273905315209
2016-10-01,7.142981126328327,6.67272152530122
2016-10-15,7.092497495215696,6.703047839584803
2016-11-01,7.123941040198397,6.684248913678229
2016-11-15,7.167429200577943,6.655948215838951
2016-12-01,7.149434299939093,6.383064056764999
2016-12-15,7.188697054769562,6.470538876919828
2017-01-01,7.226764956153801,6.541418322337393
2017-01-15,7.194643125527804,6.541445993272433
2017-02-01,7.133786765819096,6.576508348170308
2017-02-15,7.119817206790433,6.570039397214098
2017-03-01,7.135657592303315,6.6037573604714845
2017-03-15,7.122766057873517,6.722750961194981
2017-04-01,7.129516404338379,6.750390632850896
2017-04-15,7.107086137384232,6.775015211505611
2017-05-01,7.10337477888063,6.794677633103546
2017-05-15,7.142399046183262,6.802743518466312
2017-06-01,7.133447387611423,6.812276817041749
2017-06-15,7.143588825164313,6.81765089567165
2017-07-01,7.166051730228647,6.366186176791413
2017-07-15,7.122415109531602,6.816029043646575
2017-08-01,7.073966588601332,6.8359675977006775
2017-08-15,7.127827729788931,6.836897821439705
2017-09-01,7.128627152671136,6.8298959598977165
2017-09-15,7.133004424352959,6.828628948792869
2017-10-01,7.134606645231592,6.824710669043093
2017-10-15,7.104619739457457,6.8128676043607825
2017-11-01,7.127817524031642,6.700884219954262
2017-11-15,7.1366826210159005,6.701332006442114
2017-12-01,7.164484422289458,6.72941128792138
2017-12-15,7.163625857851087,6.762911306234433
2018-01-01,7.125421961298002,6.5534664567841645
2018-01-15,7.097292353375164,6.381191082177448
2018-02-01,7.134793783196345,6.420960528206205
2018-02-15,7.098686659062667,6.419298808372001
2018-03-01,7.083402306156786,6.433390594142882
2018-03-15,7.037305883772062,6.475814638342035
2018-04-01,7.052320563833304,6.545950719111276
2018-04-15,7.070113474080583,6.594152076181791
2018-05-01,7.049110485312021,6.633594622830933
2018-05-15,7.046443940947998,6.663443156005881
2018-06-01,7.039414082395344,6.679309524299511
2018-06-15,7.076632483010425,6.654225433982608
2018-07-01,7.080427337668469,6.650915155068403
2018-07-15,6.987595394574869,6.5666139786806585
2018-08-01,6.887283616649819,6.6264524243358505
2018-08-15,6.939034472097251,6.61767894313943
2018-09-01,6.9347825102752045,6.68912257146834
2018-09-15,6.954239228574494,6.68010108907111
2018-10-01,6.9570499907613135,6.686166677355136
2018-10-15,7.018760365676765,6.716637947549198
2018-11-01,7.0449420854537905,6.722600088969929
2018-11-15,7.069501977025853,6.615958856191502
2018-12-01,7.09537167081274,6.619193001538903
2018-12-15,7.196801651993541,6.714023056750559
2019-01-01,7.194447111880922,6.7066961283230855
2019-01-15,7.219553753093459,6.709127768065042
2019-02-01,7.213096007448676,6.494419306649336
2019-02-15,7.189065505169518,6.4934929643904615
2019-03-01,7.185099005964277,6.482112273675873
2019-03-15,7.190242421622816,6.47824577747728
2019-04-01,7.175409380811988,6.59552973763184
2019-04-15,7.166807646515863,6.681731580768336
2019-05-01,7.17829990127378,6.683148747336152
2019-05-15,7.190075278754165,6.709876556220062
2019-06-01,7.20284045084742,6.709348194898656
2019-06-15,7.212426845505268,6.719636235880574
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
