Date,Mbale,Eldoret
2016-01-01,5.380096300829159,5.40235996842717
2016-01-15,5.315108037028888,5.485834693801714
2016-02-01,5.24560092612969,5.562256875899748
2016-02-15,5.28347200357132,5.563125502987594
2016-03-01,5.291061483717872,5.5472578543800175
2016-03-15,5.334696527843346,5.540989582219774
2016-04-01,,5.537548771526743
2016-04-15,,5.591431987433599
2016-05-01,,5.594001072389111
2016-05-15,5.492372641406479,5.5852044312251925
2016-06-01,5.5871529054176285,5.614821837749787
2016-06-15,5.55801951760426,5.6116514697897
2016-07-01,5.518558680276081,5.736872287953763
2016-07-15,5.458544154826388,5.702791461199394
2016-08-01,5.426834949349819,5.669684032815304
2016-08-15,5.404544618028637,5.5313670964152335
2016-09-01,5.454821743197266,5.565890650588389
2016-09-15,5.529090150862232,5.562781808867302
2016-10-01,5.532587026491551,5.559682602097261
2016-10-15,5.554161960903257,5.556127854713065
2016-11-01,5.6617284787816615,5.618013504133962
2016-11-15,5.73312151298501,5.58030741646639
2016-12-01,5.757206829097955,5.573927743219124
2016-12-15,5.732843320098814,5.570668024203145
2017-01-01,5.704078414783624,5.641291921173533
2017-01-15,5.685238653062714,5.635911086661275
2017-02-01,5.687940930497865,5.827643908543224
2017-02-15,5.722318971851242,5.819348123600469
2017-03-01,5.874231226657774,5.769808922343714
2017-03-15,5.999119475863482,5.807437756739882
2017-04-01,5.996356259907167,5.983108652229409
2017-04-15,5.991297558814167,5.959753612171627
2017-05-01,5.983435180334269,5.998624812023313
2017-05-15,6.022404210803276,5.959846070158149
2017-06-01,5.938288464858283,5.9888055438607015
2017-06-15,5.629472606775861,5.996869315839742
2017-07-01,5.373399411927151,5.85614021922058
2017-07-15,5.372561740665815,5.8020564056480115
2017-08-01,5.368581761113166,5.772486606150529
2017-08-15,5.526976439104388,5.783397572767739
2017-09-01,5.567445339952891,5.718719359584662
2017-09-15,5.467556005469715,5.763783859039392
2017-10-01,5.294200015198664,5.649511699367608
2017-10-15,5.399799209635835,5.553816903873834
2017-11-01,5.221686419060612,5.554973270008276
2017-11-15,5.151747804826485,5.521318248844151
2017-12-01,5.147636934939538,5.459230470500578
2017-12-15,5.1529607047350146,5.469216360284354
2018-01-01,5.138928883350879,5.46268546713954
2018-01-15,5.149262200584922,5.481115631967288
2018-02-01,5.149232731651864,5.49897092403976
2018-02-15,5.144268082780344,5.49549659756693
2018-03-01,5.139302426889725,5.52262078757555
2018-03-15,5.132759470328324,5.481896746596045
2018-04-01,5.126191201696839,5.478688512148342
2018-04-15,5.123795709372973,5.482449361196043
2018-05-01,5.039616508713424,5.475938750862315
2018-05-15,5.106418986255821,5.473526941134762
2018-06-01,5.088471710456624,5.246206386990925
2018-06-15,5.072644476051474,5.206229886463256
2018-07-01,5.067713746135665,5.206169450008134
2018-07-15,4.852632210495289,5.162662151664815
2018-08-01,4.576458083982315,4.949812336240371
2018-08-15,4.603064564538843,4.822899046160605
2018-09-01,4.637137876021543,4.879057495212685
2018-09-15,4.630512510540956,4.8184961215260165
2018-10-01,4.562665145881269,4.883897777989041
2018-10-15,4.74422916271955,4.820050455724354
2018-11-01,4.752465479950549,4.8108673548902905
2018-11-15,4.943140500340458,4.86663165427706
2018-12-01,4.944059829839408,4.983277002366445
2018-12-15,4.949208222765956,5.088590146056171
2019-01-01,5.127453117834954,5.040090552975195
2019-01-15,5.131306897043219,5.184068892220713
2019-02-01,5.135136234020068,5.191413299921033
2019-02-15,5.279048860197229,4.98633127202233
2019-03-01,5.289896626335981,5.037706802375934
2019-03-15,5.286030130137388,5.077086378178995
2019-04-01,5.27784012457078,5.210427598645093
2019-04-15,5.61253317730652,5.431594033681344
2019-05-01,5.609203151428446,5.438255832750031
2019-05-15,5.6081538451375605,5.649035176795705
2019-06-01,,5.754895150102365
2019-06-15,,5.743380796726998
2019-07-01,,5.589840001006751
2019-07-15,,5.5438376013660635
2019-08-01,,5.587806427414205
2019-08-15,,5.5870473348695375
2019-09-01,,5.586288818109315
2019-09-15,,5.525745210656986
2019-10-01,,5.522532862906612
2019-10-15,,5.521094538642053
2019-11-01,,5.7214621011750655
2019-11-15,,5.42003448827531
2019-12-01,,5.329027928900238
2019-12-15,,5.33365604618303
2020-01-01,,5.468477821559049
2020-01-15,,5.58726333833657
2020-02-01,,5.587021119331962
2020-02-15,,5.526948610126464
