Date,Mulindi,Ruhengeri
2016-01-01,5.641834709213029,
2016-01-15,5.590070070633579,5.686382421893085
2016-02-01,5.520255181400469,5.482212555954618
2016-02-15,5.661816553147137,5.343785744428647
2016-03-01,5.628362039010801,5.317259692350922
2016-03-15,5.595896513624416,5.462798568075496
2016-04-01,5.538340130238807,5.5898220860739505
2016-04-15,5.624959600909211,5.64041055206493
2016-05-01,5.624882215442379,5.723646630114792
2016-05-15,5.635201908939239,5.633496878688155
2016-06-01,5.550338028338687,5.647826310704707
2016-06-15,5.465173630459656,5.442972920479464
2016-07-01,5.490147941576294,5.637366665183314
2016-07-15,5.631986117942213,5.828100996868503
2016-08-01,5.58416485436128,5.818129277922894
2016-08-15,5.572260830406624,5.873783954270277
2016-09-01,5.59139861206696,5.746517346180854
2016-09-15,5.776637736633431,5.757736228865874
2016-10-01,5.761590154294152,5.820826850835738
2016-10-15,5.764392901832001,5.882635601941433
2016-11-01,5.730855800119232,5.877459274311107
2016-11-15,5.746202822475705,5.87745251160922
2016-12-01,5.722576403498153,5.932549491622618
2016-12-15,5.667216476381894,5.935301379881539
2017-01-01,5.516176297940057,5.783709938631334
2017-01-15,5.4520552445734545,5.771307253815568
2017-02-01,5.423777151969351,5.758748808539532
2017-02-15,5.392684330263794,5.749359274202527
2017-03-01,5.294565084698854,5.748888479187723
2017-03-15,5.489476938442125,5.745864548335489
2017-04-01,5.66201197837778,5.742168303048542
2017-04-15,5.676628596003036,5.896988466668348
2017-05-01,5.69840076623483,5.902075447499354
2017-05-15,5.846820261106045,5.90847120073121
2017-06-01,5.831918598444783,5.909609747127564
2017-06-15,5.910030184163604,5.907674470471145
2017-07-01,5.753552369086058,5.352890014635128
2017-07-15,5.602420850616872,5.576571269155546
2017-08-01,5.565212615754572,5.572610923236017
2017-08-15,5.463345642025259,5.657981515716713
2017-09-01,5.451231177126585,5.8024266553006925
2017-09-15,5.934226873016353,5.79558037972506
2017-10-01,5.600286241203884,5.8770732642505985
2017-10-15,5.632276582630178,5.8797785777764275
2017-11-01,5.592870173957543,5.888558694303065
2017-11-15,5.583170796389558,5.902518315739796
2017-12-01,5.568991614788335,5.571507339385583
2017-12-15,5.394439712469995,5.570072281113154
2018-01-01,5.370388466238035,5.5703137274502375
2018-01-15,5.347157499748326,5.446643050963132
2018-02-01,5.288709020038852,5.39362695989835
2018-02-15,5.228844529266213,5.226505346913041
2018-03-01,5.232869415317401,5.21888317334266
2018-03-15,5.197638295334497,5.209444807921487
2018-04-01,5.142107435300787,5.169102939642798
2018-04-15,5.107348798869858,5.302409381441243
2018-05-01,5.123220521966893,5.386743758941939
2018-05-15,5.135125024593336,5.393635719744837
2018-06-01,5.195605581273852,5.5153510240897505
2018-06-15,5.14583535102414,5.404346046175641
2018-07-01,5.203160925402773,5.212594957636131
2018-07-15,5.22391072107835,5.141937138118678
2018-08-01,5.195454600450221,5.1392737720522765
2018-08-15,5.193624403653985,5.347775083481243
2018-09-01,4.94081529973908,5.293802470598628
2018-09-15,4.908529306253067,5.299020872571068
2018-10-01,4.929573199735533,5.083275951223835
2018-10-15,4.947811658333048,5.085961996813865
2018-11-01,4.968854076868145,5.251980332784065
2018-11-15,5.054543575634109,5.281033476975662
2018-12-01,5.1367025815830845,5.313842779635041
2018-12-15,5.260499252312756,5.322465976061956
2019-01-01,5.258215990420927,5.255925038674372
2019-01-15,5.305714382026771,5.202292790873619
2019-02-01,5.306277101088684,5.261626827350946
2019-02-15,5.297508060137905,5.295327034191545
2019-03-01,5.280119199084031,5.422927602307355
2019-03-15,5.267062842446847,5.359956589339543
2019-04-01,5.262835065505188,5.444418887112604
2019-04-15,5.301949986189738,5.478250628743873
2019-05-01,5.33928524738669,5.465165493275693
2019-05-15,5.383422906042537,5.465558602968684
2019-06-01,5.383816170331533,5.504621008416834
2019-06-15,5.380478745406587,5.548958411605434
2019-07-01,5.4044184579211825,
2019-07-15,,5.632138716262267
2019-08-01,,5.620340833198896
2019-08-15,5.472979775476133,5.593844477669925
2019-09-01,5.4922423319106874,5.495615016389327
2019-09-15,5.505577188486587,5.591207921877089
2019-10-01,5.544204704579903,5.550513873773169
2019-10-15,5.5792437990639705,5.568693588168818
2019-11-01,,5.614719734401652
2019-11-15,,5.829185556865135
2019-12-01,,5.773842846645338
2019-12-15,,5.747925345648429
2020-01-01,,5.72131821467929
2020-01-15,,5.710345222818582
2020-02-01,,5.533089301487605
2020-02-15,,5.450571205152485
