Date,Tororo,Kisumu
2016-01-01,5.698550031947693,6.512857864329261
2016-01-15,5.742498963288706,6.512443571830001
2016-02-01,5.784597426862376,6.47761694228095
2016-02-15,5.780015188051667,6.506454783744106
2016-03-01,5.830460479927918,6.496550014102062
2016-03-15,5.823459135165726,6.493097323341981
2016-04-01,,6.559350383693245
2016-04-15,,6.508077896011896
2016-05-01,,6.510998268439593
2016-05-15,5.7949530233687225,6.503620562411661
2016-06-01,5.847175087117204,6.496974806774373
2016-06-15,5.844781203428712,6.492385998860153
2016-07-01,5.831958815207664,6.489935121849543
2016-07-15,5.916583787478151,6.485283742095189
2016-08-01,6.052661965810316,6.485608908005724
2016-08-15,6.048795584257324,6.483181679561344
2016-09-01,6.044948372396227,6.483248428624609
2016-09-15,6.038243067240719,6.480495016088001
2016-10-01,6.03042545473073,6.440475220703911
2016-10-15,6.012178564337852,6.319690382106504
2016-11-01,6.052049976776908,6.3144884747865815
2016-11-15,6.267075515405949,6.461863907626087
2016-12-01,6.287367104571401,6.456287119379148
2016-12-15,6.338979123669129,6.4491520556788045
2017-01-01,6.422438596006496,7.057921482089496
2017-01-15,6.46359099156879,6.957985855046871
2017-02-01,6.463255465422941,6.86247167083152
2017-02-15,6.456761407706958,6.85787959382625
2017-03-01,6.453111980278505,6.945844058659234
2017-03-15,6.449836239932684,6.846520602884505
2017-04-01,6.442643362535587,6.834486422821635
2017-04-15,6.469031300719109,6.91407831466765
2017-05-01,6.507661339637742,6.9093061732068275
2017-05-15,6.477932645340147,6.832597727390591
2017-06-01,6.4453199176035705,6.8365656182612184
2017-06-15,6.278443357690105,6.840011086199327
2017-07-01,5.800934381322347,6.843478095859694
2017-07-15,5.873083414577452,6.7431674395719465
2017-08-01,6.11402732714971,6.736286600264148
2017-08-15,6.116939383429103,6.749113187969417
2017-09-01,6.055178433176196,6.7532685252701015
2017-09-15,6.051051941168544,6.754905381700573
2017-10-01,6.018118854425363,6.595510587527346
2017-10-15,6.010220017711317,6.650166748137974
2017-11-01,5.913630953654796,6.6524549763061
2017-11-15,5.916797074292741,6.648651638628258
2017-12-01,5.9109774673226845,6.528345797933935
2017-12-15,6.039056534663201,6.636578181832545
2018-01-01,6.027762768991995,6.628342258436647
2018-01-15,6.036262135538013,6.628348607641472
2018-02-01,6.091974649613189,6.636180512206013
2018-02-15,6.113401296028878,6.569589269060722
2018-03-01,6.123687526544533,6.50303189297508
2018-03-15,6.0788112493633095,6.615640126785813
2018-04-01,5.983165356414574,6.610090623639443
2018-04-15,6.009249335412577,6.613575724719038
2018-05-01,6.002530556671921,6.806785562545887
2018-05-15,6.002289879121233,6.659581548406583
2018-06-01,5.745752977828073,6.5545392066411035
2018-06-15,5.697583406584886,6.498463287179254
2018-07-01,5.683569252393964,6.618380754663254
2018-07-15,5.456911003318391,6.618504785563357
2018-08-01,5.359217423231947,6.501122507056624
2018-08-15,5.342731760733681,6.493547689639602
2018-09-01,5.330285056581489,6.42328999752151
2018-09-15,5.427338120575742,6.358941162473165
2018-10-01,5.432864770555157,6.3615045979979525
2018-10-15,5.485091816319161,6.491724910671454
2018-11-01,5.538205447338319,6.479338798908584
2018-11-15,5.634743279049029,6.47479486927916
2018-12-01,5.6372070103993535,6.473447727488291
2018-12-15,5.642355403325902,6.473614665735585
2019-01-01,5.715239782737073,6.4769465579129
2019-01-15,5.7182428600650255,6.343485674996416
2019-02-01,5.647990256047452,6.352293961192174
2019-02-15,5.800345783830516,6.344612596914546
2019-03-01,5.713946972747484,6.338409233160421
2019-03-15,5.7100804765488915,6.325922873666182
2019-04-01,5.739658169230076,6.456960017389824
2019-04-15,5.770226819210122,6.565177903191533
2019-05-01,5.895328803332569,6.676181733814932
2019-05-15,5.895835917589341,6.671186299369337
2019-06-01,5.83863497152082,6.669688502111016
2019-06-15,5.825704158979006,6.66017518008498
2019-07-01,,6.6766683126349715
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,6.740048158465007
2019-09-15,,6.73838948461852
2019-10-01,,6.735808059894862
2019-10-15,,6.720543114095185
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,6.606618978052101
2020-02-15,,6.600062322025979
