Date,Tororo,Soroti
2016-01-01,5.380096300829159,
2016-01-15,5.440210694952086,
2016-02-01,5.496915354410596,
2016-02-15,5.4923331155998865,
2016-03-01,5.745240071819211,
2016-03-15,5.709080380694847,
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,5.549749753989781,
2016-06-01,5.558112752196465,
2016-06-15,5.558939057898939,
2016-07-01,5.831958815207664,
2016-07-15,5.832478206686689,
2016-08-01,5.423705056340891,
2016-08-15,5.422411619857062,
2016-09-01,5.4159222635835285,
2016-09-15,5.494131465841262,
2016-10-01,5.519599830964739,
2016-10-15,5.552361780399109,
2016-11-01,5.580410132276577,
2016-11-15,5.5540732815360245,
2016-12-01,5.544493151148241,
2016-12-15,5.554071012816001,
2017-01-01,5.72891973731553,
2017-01-15,5.726895565763109,
2017-02-01,5.72931576756422,
2017-02-15,5.722318971851242,5.635845373847415
2017-03-01,5.719024469005042,5.632550871001215
2017-03-15,5.790922231014981,5.791608808453554
2017-04-01,5.863462419105324,5.862824867282645
2017-04-15,5.910368925640306,5.927802490107859
2017-05-01,5.952030943892073,5.919009075587126
2017-05-15,5.9926827055215375,5.822576736495707
2017-06-01,5.939471197107332,5.7967794350841455
2017-06-15,5.801237833304102,5.630280035160463
2017-07-01,5.251160858481973,5.430325348723161
2017-07-15,5.429487677461824,5.407508770743049
2017-08-01,5.425681877812573,5.30802271951776
2017-08-15,5.423792202869158,5.366866266073148
2017-09-01,5.414996788196163,5.383759991607632
2017-09-15,5.442816399293959,5.41348878419944
2017-10-01,5.411983050855047,5.324971673865417
2017-10-15,5.398793679133816,5.342936347741292
2017-11-01,5.283441623247333,5.289075440965589
2017-11-15,5.286242743374279,5.154315200331731
2017-12-01,5.28116832756406,5.076987976957607
2017-12-15,5.287132917631387,5.1529607047350146
2018-01-01,5.277331206209998,5.214152304588466
2018-01-15,5.378572266814796,5.149262200584922
2018-02-01,5.402835490450782,4.993362360945079
2018-02-15,5.396443466775215,5.187258267711711
2018-03-01,5.390040984149822,5.179917146043915
2018-03-15,5.2688916446529035,5.178569006359618
2018-04-01,5.050067506224038,5.126191201696839
2018-04-15,5.123795709372973,5.047672013900172
2018-05-01,5.116156585835759,5.039616508713424
2018-05-15,5.114366047948352,5.111724038485514
2018-06-01,5.093877129023532,5.029877546190572
2018-06-15,4.736172239430261,4.831482419234586
2018-07-01,4.726270496792432,4.829302722690667
2018-07-15,4.767474402154981,4.767474402154981
2018-08-01,4.770614098423273,4.770614098423273
2018-08-15,4.751633834527906,4.649584580173736
2018-09-01,4.743747611079802,4.637137876021543
2018-09-15,4.514828111541494,4.630512510540956
2018-10-01,4.530625792136653,4.6322584376804645
2018-10-15,4.74422916271955,4.8908326369114254
2018-11-01,4.8450582667783735,4.898050796918883
2018-11-15,4.943140500340458,4.89896928202732
2018-12-01,4.944059829839408,4.853675768371139
2018-12-15,4.7681129076952455,4.862754414789935
2019-01-01,5.019239533194721,4.901099290890496
2019-01-15,5.131306897043219,5.029341970386531
2019-02-01,5.145237330006572,5.109427877309861
2019-02-15,5.300741684808489,5.1775794000323705
2019-03-01,5.289896626335981,5.165598909658404
2019-03-15,5.223509773156054,5.193098072738031
2019-04-01,5.273482819201824,5.210398843775247
2019-04-15,5.271703635316351,5.269517842096371
2019-05-01,5.760461405165304,5.265551236705213
2019-05-15,5.691784644209972,5.523688078347364
2019-06-01,5.866702707855173,5.322017027050325
2019-06-15,5.45602325136114,5.532984292497268
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
