Date,Kisumu,Arusha
2016-01-01,5.663050592336632,5.3161332504449055
2016-01-15,5.658422997047921,5.313708138404248
2016-02-01,5.603264899627125,5.30891085511358
2016-02-15,5.658435682791919,5.731657082610951
2016-03-01,5.649614801044308,5.7245594047698205
2016-03-15,5.6453157285155475,5.721962954176504
2016-04-01,5.644411917069104,5.617142605034944
2016-04-15,5.661726557228723,5.400440642658901
2016-05-01,5.662286980255242,5.399964071637734
2016-05-15,5.656204742720281,5.39768511652383
2016-06-01,5.802409186260294,5.296231023149782
2016-06-15,5.798528843119516,5.291335463523213
2016-07-01,5.795368494635372,5.395121450512922
2016-07-15,5.792136561535243,5.3918837370684916
2016-08-01,5.791749730263689,5.357856917668446
2016-08-15,5.790034499001399,5.39836341672408
2016-09-01,5.79116715685274,5.403761418458451
2016-09-15,5.788058315131654,5.43679595632625
2016-10-01,5.784959108361613,5.44444472114339
2016-10-15,5.779982896630039,5.534579538846854
2016-11-01,5.77430474846033,5.649944168589701
2016-11-15,5.768359647969329,5.75282669928617
2016-12-01,5.763139938819203,5.794338779709701
2016-12-15,5.756721464185711,5.827777437084094
2017-01-01,5.747452117001923,5.869704669993074
2017-01-15,5.852975591899102,5.930973454855508
2017-02-01,5.852145456585041,5.986426665467563
2017-02-15,5.964318411082766,6.031250271040776
2017-03-01,6.070165435692222,
2017-03-15,6.057741573514864,6.11528598802862
2017-04-01,6.045890772185865,6.111559480006191
2017-04-15,6.1341510512095425,6.268523178429757
2017-05-01,6.2214516905106825,6.261541545051247
2017-05-15,6.219830190693429,6.1877713548258875
2017-06-01,6.230121695754557,6.183889545754441
2017-06-15,6.234106630229812,6.006220888349961
2017-07-01,6.236415078500186,5.7846371836482176
2017-07-15,6.0489982865163086,5.497595701740491
2017-08-01,5.938092164952554,5.514044262101511
2017-08-15,5.832822456095262,5.499299789558962
2017-09-01,5.838244418011139,5.4992076023025565
2017-09-15,5.838868489147492,5.412854321800954
2017-10-01,5.789942314452403,5.408898442850501
2017-10-15,5.838103387324477,
2017-11-01,5.7086395710418545,
2017-11-15,5.705968095397696,
2017-12-01,5.700392527317466,
2017-12-15,5.690898990958889,
2018-01-01,5.68728780791741,
2018-01-15,5.595333601459176,5.380760254795821
2018-02-01,5.691082366106241,5.54110921613512
2018-02-15,5.6812723892289725,5.53579587677543
2018-03-01,5.7570714098044515,5.4499121698897035
2018-03-15,5.67054198068604,5.259386746576515
2018-04-01,5.748978841888254,5.257175820927511
2018-04-15,5.670452751457429,5.25021947087972
2018-05-01,5.741984323720734,5.3430828702914175
2018-05-15,5.575087141284258,5.34498329758997
2018-06-01,5.54308517019238,5.391339105961063
2018-06-15,5.516384814767096,5.253218435175246
2018-07-01,5.51754129358232,5.031718853651894
2018-07-15,5.521002374922609,4.900092483650358
2018-08-01,5.339466838321893,4.902001142312378
2018-08-15,5.330396879833921,4.901519197262282
2018-09-01,5.507666154635059,4.739282205158855
2018-09-15,5.44265043059901,4.9023315780284715
2018-10-01,5.512297429154828,4.969585316326035
2018-10-15,5.513197636284299,5.029941707869589
2018-11-01,5.5107485676315795,5.028424999593834
2018-11-15,5.527413550334973,5.025798518342362
2018-12-01,5.4941026261324355,5.136507602734529
2018-12-15,5.5611286309050945,5.188366307921746
2019-01-01,5.65008736520297,5.218885617578165
2019-01-15,5.493305968234323,5.184950383554069
2019-02-01,5.437422675972245,5.114944618859133
2019-02-15,5.427966688336249,5.1628664932766215
2019-03-01,5.422118501286266,5.1313885312131235
2019-03-15,5.476715704823058,5.128853674501414
2019-04-01,5.476130764378098,5.141140312830274
2019-04-15,5.620836033319873,5.2216896097719925
2019-05-01,5.878614745410771,5.240051789536639
2019-05-15,5.874398484848228,5.213997725698514
2019-06-01,5.872401062298474,5.3096563986669185
2019-06-15,5.743380796726998,
2019-07-01,5.841434452492073,
2019-07-15,5.930726323901292,
2019-08-01,5.864716772249512,
2019-08-15,,5.685438107137704
2019-09-01,5.717985684444245,5.746956373572211
2019-09-15,5.718253174917198,5.686171358715641
2019-10-01,5.714671083395043,5.807795590512352
2019-10-15,5.740418591141374,5.688434236107429
2019-11-01,,5.8231600757326785
2019-11-15,,5.766461912362339
2019-12-01,,5.777758201997086
2019-12-15,,5.792303295626933
2020-01-01,,5.871977938997037
2020-01-15,,5.808464115211822
2020-02-01,5.904179009916696,6.042551197210232
2020-02-15,5.896530832160317,5.823283862802259
