Date,Owino,Eldoret
2016-01-01,6.798784380987672,7.2857998494089715
2016-01-15,6.780863139737147,7.283754175849106
2016-02-01,6.785863734730093,7.268272663216036
2016-02-15,6.782920392762594,7.234668422408563
2016-03-01,6.812433444848947,7.190784742349406
2016-03-15,6.81666122532976,7.3201385438559
2016-04-01,6.781698478553577,7.316380423942373
2016-04-15,6.804630896958932,7.34732803813147
2016-05-01,6.865181079880216,7.308340030983496
2016-05-15,6.854761481672814,7.266137990754371
2016-06-01,6.731512427871016,7.190476283175049
2016-06-15,6.693065159941576,7.220061456829194
2016-07-01,6.711959545676619,7.236925534430312
2016-07-15,6.681962294716007,7.178430922655134
2016-08-01,6.676617289707049,7.1787560885656685
2016-08-15,6.676958710145931,7.17061455885785
2016-09-01,6.669579553199765,7.176751038369032
2016-09-15,6.73250569688453,7.174175103668285
2016-10-01,6.72413270251338,7.142981126328327
2016-10-15,6.767621992926765,7.092497495215696
2016-11-01,6.747918247451214,7.123941040198397
2016-11-15,6.616691967556228,7.167429200577943
2016-12-01,6.643105439816351,7.149434299939093
2016-12-15,6.71367257311054,7.188697054769562
2017-01-01,6.709005219374411,7.226764956153801
2017-01-15,6.675305847059376,7.194643125527804
2017-02-01,6.677944559785632,7.133786765819096
2017-02-15,6.688526311269359,7.119817206790433
2017-03-01,6.789634928124658,7.135657592303314
2017-03-15,6.836408044213878,7.122766057873517
2017-04-01,6.820345673666395,7.129516404338379
2017-04-15,6.830895669900067,7.107086137384232
2017-05-01,6.848876293235224,7.10337477888063
2017-05-15,6.854794478039374,7.142399046183263
2017-06-01,6.798353170916925,7.133447387611423
2017-06-15,6.7891845540846925,7.143588825164313
2017-07-01,6.816866714907912,7.166051730228648
2017-07-15,6.844035257349273,7.122415109531602
2017-08-01,6.841756325876922,7.073966588601332
2017-08-15,6.836897821439705,7.1278277297889305
2017-09-01,6.829654908914267,7.128627152671136
2017-09-15,6.853850366589606,7.133004424352959
2017-10-01,6.849756700969181,7.134606645231592
2017-10-15,6.757807827177755,7.104619739457457
2017-11-01,6.76015492002685,7.127817524031642
2017-11-15,6.791068923412794,7.1366826210159005
2017-12-01,6.786246224673918,7.164484422289458
2017-12-15,6.79121031440766,7.163625857851087
2018-01-01,6.779138454451733,7.125421961298002
2018-01-15,6.7576686534123604,7.097292353375164
2018-02-01,6.757639184479301,7.134793783196345
2018-02-15,6.754222657587084,7.098686659062667
2018-03-01,6.747703532595385,7.083402306156786
2018-03-15,6.743758663329377,7.037305883772062
2018-04-01,6.86693289658317,7.052320563833304
2018-04-15,6.864996435711017,7.070113474080583
2018-05-01,6.8575456956748635,7.049110485312021
2018-05-15,6.880288890733101,7.046443940947998
2018-06-01,6.836374624684397,7.039414082395344
2018-06-15,6.749535613786933,7.076632483010425
2018-07-01,6.7365115042288854,7.080427337668469
2018-07-15,6.713384551210295,6.987595394574869
2018-08-01,6.716524247478587,6.887283616649819
2018-08-15,6.703920200722496,6.939034472097251
2018-09-01,6.716058448687252,6.9347825102752045
2018-09-15,6.709428704165631,6.954239228574494
2018-10-01,6.768858393200249,6.9570499907613135
2018-10-15,6.797002457317225,7.018760365676765
2018-11-01,6.800158323315804,7.0449420854537905
2018-11-15,6.787015970707526,7.069501977025853
2018-12-01,6.789886520337739,7.09537167081274
2018-12-15,6.795680491078833,7.196801651993541
2019-01-01,6.788850769199765,7.194447111880922
2019-01-15,6.790506319036384,7.219553753093459
2019-02-01,6.56367290033826,7.213096007448676
2019-02-15,6.594939580727151,7.189065505169519
2019-03-01,6.6302377046216385,7.185099005964277
2019-03-15,6.641552832590525,7.190242421622816
2019-04-01,6.692003384699462,7.175409380811987
2019-04-15,6.765539538040429,7.166807646515863
2019-05-01,6.762291843417632,7.17829990127378
2019-05-15,6.76328975523027,7.190075278754165
2019-06-01,6.763797126782395,7.20284045084742
2019-06-15,6.7349348514424365,7.212426845505268
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
