Date,Gitega,Dodoma
2016-01-01,6.354530871251242,
2016-01-15,6.297098706623741,
2016-02-01,6.3717729861586205,
2016-02-15,6.086751895065932,
2016-03-01,5.825755937221311,
2016-03-15,5.712855304404238,
2016-04-01,5.5071291734824195,
2016-04-15,5.650490169791607,
2016-05-01,5.7854565610131,
2016-05-15,5.832381726287005,
2016-06-01,5.772517979054819,
2016-06-15,5.705149502657235,
2016-07-01,5.746000317357191,
2016-07-15,5.836713144096547,
2016-08-01,6.0537350198440185,
2016-08-15,6.051910189615066,
2016-09-01,6.049541081609407,
2016-09-15,6.0549888552480935,
2016-10-01,6.076705778687638,
2016-10-15,6.228673161023703,
2016-11-01,6.412250773870708,
2016-11-15,6.400346633812314,
2016-12-01,6.55199213776749,
2016-12-15,6.54101188514996,
2017-01-01,6.362843729400607,
2017-01-15,6.414818536217622,
2017-02-01,6.379153823002023,
2017-02-15,6.37080326022368,
2017-03-01,6.076862041490409,6.006682862703383
2017-03-15,6.068725692147187,6.0367332235162365
2017-04-01,6.078764511948255,6.084326329547832
2017-04-15,6.017716506572133,6.016723136445002
2017-05-01,5.948006410750576,5.707040857782595
2017-05-15,5.967503697684642,5.647985276476183
2017-06-01,6.0766923958046215,5.598505173424054
2017-06-15,6.182923988140843,5.42493956641831
2017-07-01,6.281396934183395,5.353269332280783
2017-07-15,6.36285727122482,5.286829113376017
2017-08-01,6.272235517660425,5.258565330144365
2017-08-15,6.346232526710241,5.263156983701112
2017-09-01,6.151694883502552,5.257206548876339
2017-09-15,6.2384095299604425,5.220421455402679
2017-10-01,6.395981604758033,5.225610444060843
2017-10-15,6.466994209353158,5.186081933355328
2017-11-01,6.468658040802564,5.155547526214866
2017-11-15,6.039452630156931,5.141271085497985
2017-12-01,6.1399830036547165,5.1961713577917275
2017-12-15,6.196294511578947,5.184496119533756
2018-01-01,6.153468737943311,5.16010778196187
2018-01-15,5.935142005145361,5.086949460402667
2018-02-01,5.93429631469236,5.032009218336599
2018-02-15,5.93868912606712,4.995813668717984
2018-03-01,5.651762288978788,5.065675362401393
2018-03-15,5.291575473435621,5.049666215594446
2018-04-01,5.35887052975265,5.00779003355301
2018-04-15,5.399047248822575,4.9930570727163905
2018-05-01,5.456825051156964,4.972138956551486
2018-05-15,5.354728609372341,4.949795772240045
2018-06-01,5.363454731556295,4.9268538194537745
2018-06-15,5.653091785267965,4.928495091043115
2018-07-01,5.572823964055831,4.930139060833974
2018-07-15,5.481157148506551,4.783120807064854
2018-08-01,5.581087693098619,4.8278931701586565
2018-08-15,5.7580391240371,4.809774083622453
2018-09-01,5.838483185746734,4.746886804544074
2018-09-15,5.805810138980008,4.701660882566321
2018-10-01,5.772910311696586,4.678859101493026
2018-10-15,5.764173885217408,4.709342820404666
2018-11-01,5.760900926597363,4.776293911406372
2018-11-15,5.836556287841273,5.048398350259603
2018-12-01,5.7636072881951055,5.03454267607784
2018-12-15,5.831975429995446,5.037431064948462
2019-01-01,5.926601172597637,5.006201197054092
2019-01-15,5.961872692839739,5.029195854144836
2019-02-01,5.966915103113885,5.029330866136141
2019-02-15,5.958820590011928,5.044476477328462
2019-03-01,5.471318054751238,5.064525585983997
2019-03-15,5.35788509881904,5.118853591166832
2019-04-01,5.227366633737478,5.36819776346562
2019-04-15,5.225120956799933,5.430738815471762
2019-05-01,5.22739499198421,5.423986610055315
2019-05-15,5.3552366962848295,
2019-06-01,5.471423843348001,5.410343863659013
2019-06-15,5.72834421700459,5.414007299496914
2019-07-01,5.755406409921075,
2019-07-15,5.772683685483391,
2019-08-01,5.789667519490088,
2019-08-15,5.852928771955945,
2019-09-01,5.911906400480863,
2019-09-15,5.965679168365824,
2019-10-01,6.0205141626656085,
2019-10-15,6.0128757686412815,
2019-11-01,6.110183974917225,
2019-11-15,6.151292360364187,
2019-12-01,6.23384365901701,
2019-12-15,6.271469782974216,
2020-01-01,6.259648676664725,
2020-01-15,6.253181742210327,
2020-02-01,6.158475679264323,
2020-02-15,5.956242561171233,
