Date,Kampala,Tororo
2016-01-01,5.3845506511785395,5.366612950491872
2016-01-15,5.1937148154921715,5.340941584956898
2016-02-01,5.307425308138028,5.3145937976166415
2016-02-15,5.356531574440825,5.295622821353832
2016-03-01,5.425347422518691,5.291061483717872
2016-03-15,5.413154735328748,5.348429982859414
2016-04-01,5.448326518888029,
2016-04-15,5.509585207304187,
2016-05-01,5.477387842636589,
2016-05-15,5.514758004367279,5.549749753989781
2016-06-01,5.606639793091126,5.610142423642327
2016-06-15,5.606502980345127,5.602991124233586
2016-07-01,5.518558680276081,5.576141902958443
2016-07-15,5.4923782278421704,5.4923782278421704
2016-08-01,5.457606608016572,5.423705056340891
2016-08-15,5.4244927860608865,5.360092855457803
2016-09-01,5.470758335460079,5.454821743197266
2016-09-15,5.627181973628433,5.5281612144275725
2016-10-01,5.554465747867358,5.5139818386605155
2016-10-15,5.605005513884532,5.555958906579959
2016-11-01,5.694206580903874,5.635625854879024
2016-11-15,5.758867694182038,5.656488286964094
2016-12-01,5.823641598941343,5.725621390378153
2016-12-15,5.769210964269688,5.695102992115967
2017-01-01,5.587818608667763,5.643596694341668
2017-01-15,5.7164555007664255,5.687556151203077
2017-02-01,5.687172586241856,5.72931576756422
2017-02-15,5.682328731918932,5.722318971851242
2017-03-01,5.8162156113416374,5.7813879192895
2017-03-15,5.970263159670798,5.969114394466924
2017-04-01,5.950101940264485,5.9628779560878975
2017-04-15,5.959476692203088,5.964084995289282
2017-05-01,5.967570824954286,5.983435180334269
2017-05-15,6.011498977321014,6.007103365847976
2017-06-01,6.04907800364661,6.029826072147289
2017-06-15,6.40700251050163,5.797147848052577
2017-07-01,5.343673231661951,5.1801395887336295
2017-07-15,5.372561740665815,5.372561740665815
2017-08-01,5.366831366827636,5.366130350325041
2017-08-15,5.423792202869158,5.423792202869158
2017-09-01,5.621333221193991,5.527474771622853
2017-09-15,5.489861762984013,5.471308355088266
2017-10-01,5.340009551229958,5.342139477487782
2017-10-15,5.281513535114885,5.342936347741292
2017-11-01,5.20226833320351,5.154580502417795
2017-11-15,5.218853721469302,5.154315200331731
2017-12-01,5.1489231087502825,5.075605806730655
2017-12-15,5.222295398136079,5.1529607047350146
2018-01-01,5.209309680112678,5.275061057675458
2018-01-15,5.112512658376181,5.133677469568224
2018-02-01,5.117816535418485,5.117816535418485
2018-02-15,5.272618116662868,5.211709363575876
2018-03-01,5.15217261741026,5.204488406774421
2018-03-15,5.059852699520237,5.054234707216013
2018-04-01,5.1672225983747015,5.094273598728534
2018-04-15,5.123795709372973,5.123795709372973
2018-05-01,5.039616508713424,5.039616508713424
2018-05-15,5.111724038485514,5.073983710502667
2018-06-01,5.112569262035685,5.044143123349394
2018-06-15,5.115661861135165,5.072644476051474
2018-07-01,5.108205107490402,5.064955123696586
2018-07-15,4.615789814822916,4.53969047128427
2018-08-01,4.549307094916364,4.526104197836701
2018-08-15,4.653708297357598,4.526622869038901
2018-09-01,4.594578261602748,4.507543104770602
2018-09-15,4.56091921874176,
2018-10-01,4.615308879366691,4.468255461410195
2018-10-15,4.802639924875964,4.641371777279842
2018-11-01,4.9483758808064,4.8450582667783735
2018-11-15,5.037327715400159,4.943140500340458
2018-12-01,5.05496052587285,4.944059829839408
2018-12-15,5.014513321173723,4.8042179123373625
2019-01-01,5.096200574330849,5.019239533194721
2019-01-15,5.15898161919944,5.100216309973188
2019-02-01,5.10420593332871,5.033716055574165
2019-02-15,5.326166783174299,5.300741684808489
2019-03-01,5.311310720839797,5.227376269354647
2019-03-15,5.1011077916433765,5.223509773156054
2019-04-01,5.369189903159008,5.367203805187378
2019-04-15,5.615633954984768,5.550062909233008
2019-05-01,5.607646730880788,5.563053355337969
2019-05-15,5.523688078347364,5.520292489346226
2019-06-01,5.54764711093454,5.500180573695616
2019-06-15,5.629212324591822,5.579045065873803
2019-07-01,5.584291539316778,
2019-07-15,5.476083391530559,
2019-08-01,5.35472937439742,
2019-08-15,5.320824344947255,
2019-09-01,5.2944760673529565,
2019-09-15,5.39421279650503,
2019-10-01,5.459953203059609,
2019-10-15,5.52756483500613,
2019-11-01,5.529286197320713,
2019-11-15,5.576072020033621,
2019-12-01,5.656309786163976,
2019-12-15,5.667632569042072,
2020-01-01,5.698624413799216,
2020-01-15,5.357169421755842,
2020-02-01,5.383303193424278,
2020-02-15,5.327866695514615,
