Date,Machakos,Meru
2016-01-01,7.203495633283781,
2016-01-15,7.051440072562689,
2016-02-01,7.015992517815172,
2016-02-15,6.9586365192124084,
2016-03-01,6.949589746913631,
2016-03-15,6.944983520439066,
2016-04-01,6.847708817347679,
2016-04-15,6.865036890513538,
2016-05-01,6.867249393766345,
2016-05-15,6.860012380640688,
2016-06-01,6.85577364531681,
2016-06-15,6.943402849603698,
2016-07-01,6.942049186344503,
2016-07-15,6.938045564906418,
2016-08-01,6.936089831272608,
2016-08-15,6.934130265248393,
2016-09-01,6.9351365952064965,
2016-09-15,6.932488370885018,
2016-10-01,6.929833114845796,
2016-10-15,7.012008031304075,
2016-11-01,7.005973144572913,
2016-11-15,7.000503329261961,
2016-12-01,6.906970837420569,
2016-12-15,6.900615701018805,
2017-01-01,6.891995627987074,
2017-01-15,6.86165474610844,
2017-02-01,6.866175378769005,
2017-02-15,6.8576485135248175,
2017-03-01,6.857018578914012,
2017-03-15,6.846520602884505,
2017-04-01,6.834947252322877,
2017-04-15,6.917465278108666,
2017-05-01,6.913753919605064,
2017-05-15,6.918917142641159,6.618749096401022
2017-06-01,6.988866158800316,6.616766744535951
2017-06-15,6.840473727891594,6.253426844787594
2017-07-01,6.842550882070501,6.2183965729975075
2017-07-15,6.838570474197825,6.286355275080574
2017-08-01,6.737567502194116,6.332102394085951
2017-08-15,6.88777101187092,6.344155565281938
2017-09-01,6.851544882626548,6.347042671594628
2017-09-15,,6.348678368793648
2017-10-01,,6.353370535522481
2017-10-15,,6.39990337707474
2017-11-01,,6.398875541394341
2017-11-15,,6.397660730246647
2017-12-01,,6.348822869095615
2017-12-15,,6.385507092158509
2018-01-01,,6.333428946101424
2018-01-15,6.448058883581744,6.269249420091233
2018-02-01,6.454081647763497,6.303709170008167
2018-02-15,6.44111094428759,6.333358082991144
2018-03-01,6.438242399317682,6.397253054784485
2018-03-15,6.672984121029003,6.38003055508371
2018-04-01,6.664216387777751,6.38666894688887
2018-04-15,6.668310415578933,6.388776086909848
2018-05-01,6.6603725917598355,6.411225983427125
2018-05-15,6.585838074161033,6.20224095268945
2018-06-01,6.2835597947718185,6.0247331791525935
2018-06-15,6.248752708480322,6.0489719303145995
2018-07-01,6.210688474142265,6.031705818613825
2018-07-15,6.139913583328657,6.079904811264352
2018-08-01,6.152607977393292,6.125748708343024
2018-08-15,6.199176629037024,6.171964065512139
2018-09-01,6.280856042868541,6.084279518939052
2018-09-15,6.28329354413385,6.160490223749327
2018-10-01,6.360072958526515,6.02445995151566
2018-10-15,6.359539473654137,6.080902928243835
2018-11-01,6.35612704163298,6.13262319487261
2018-11-15,6.411615967657628,6.188812032580339
2018-12-01,6.339461562014965,6.296332201117933
2018-12-15,6.342078014909487,6.342078014909487
2019-01-01,6.474780445172006,6.268066001924324
2019-01-15,6.591918256902433,6.188135234977254
2019-02-01,6.59902086264247,6.377540743926958
2019-02-15,6.649545581237234,6.344612596914546
2019-03-01,6.644014821801107,6.366383085202827
2019-03-15,6.634837166223737,6.354133489153418
2019-04-01,6.573631324193517,6.37629211432237
2019-04-15,6.718010507218355,6.386036531519875
2019-05-01,6.769814555291399,6.512519092407855
2019-05-15,6.76508709974917,6.5081674948299115
2019-06-01,6.809320131517678,6.566656276212781
2019-06-15,6.921842013395526,6.661181722696382
2019-07-01,6.911256544077335,6.575586864175662
2019-07-15,6.900557822703477,6.481973862166198
2019-08-01,6.905179650127709,6.56667362328174
2019-08-15,6.909780214499683,6.644756165940486
2019-09-01,6.8191653686176,6.71564269559263
2019-09-15,6.857713115249154,6.781835231128974
2019-10-01,6.987016774735873,6.779293171834601
2019-10-15,7.101499171687513,6.734763699625318
2019-11-01,7.046933534015064,
2019-11-15,,6.6392747647320345
2019-12-01,,6.632204273852051
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
