Date,Mombasa,Nairobi
2016-01-01,6.510348452723836,6.512857864329261
2016-01-15,6.512443571830001,6.545626990620242
2016-02-01,6.5051668940491805,6.547726508467977
2016-02-15,6.486796342159372,6.417540831143662
2016-03-01,6.467850472622874,6.411021363623388
2016-03-15,6.418961449791793,6.40400642884305
2016-04-01,6.434097024671697,6.357212667711827
2016-04-15,6.418221566890035,6.418221566890035
2016-05-01,6.510998268439593,6.420900469246774
2016-05-15,6.459490436330043,6.413322570573776
2016-06-01,6.390116989918731,6.406542857860747
2016-06-15,6.478089829715817,6.402596393625772
2016-07-01,6.474929481231673,6.335311516972089
2016-07-15,6.394379794990048,6.395938641759339
2016-08-01,6.331220952106643,6.3939929637184925
2016-08-15,6.328674810950266,6.295718723266971
2016-09-01,6.329453177981828,6.2784216979693825
2016-09-15,6.3263443362607426,6.275312856248297
2016-10-01,6.323245129490702,6.323245129490702
2016-10-15,6.318860850744129,6.266912176759117
2016-11-01,6.312825964012967,6.26162023913377
2016-11-15,6.308189135005908,6.256062854314465
2016-12-01,6.301897975260787,6.250516811271669
2016-12-15,6.296493690708409,6.243770960704435
2017-01-01,6.285248857542706,6.235281530200259
2017-01-15,6.264838674486926,6.214261199743398
2017-02-01,6.410486547088463,6.254633739190674
2017-02-15,6.4058284525885325,6.331217588797358
2017-03-01,6.405557564197626,6.333885107473424
2017-03-15,6.4523627935944035,6.303083816598955
2017-04-01,6.450679519091376,6.352286106567893
2017-04-15,6.509884662547683,6.5331196167473085
2017-05-01,6.537753230175887,6.534979303293161
2017-05-15,6.5502048474465235,6.626146000681906
2017-06-01,6.551652352377571,6.621934714694394
2017-06-15,6.557713227970057,6.637590699059838
2017-07-01,6.52377822254869,6.642446919409011
2017-07-15,6.51976849303224,6.637693422977616
2017-08-01,6.383011590139608,6.572605906262642
2017-08-15,6.392438244030685,6.598762386051933
2017-09-01,6.396774625959364,6.646639778624279
2017-09-15,6.244333597255657,6.557079638370654
2017-10-01,6.247502534443969,6.509476250185543
2017-10-15,6.246964084433779,6.5688019135365545
2017-11-01,6.244724861567083,6.604964871670312
2017-11-15,6.242903364724629,6.603478932620255
2017-12-01,6.240239006851858,6.599925554093286
2017-12-15,6.23111307372438,6.59186826813861
2018-01-01,6.224582180579566,6.58295925258883
2018-01-15,6.156309008910638,6.534844705140171
2018-02-01,6.16126506241307,6.492736968082205
2018-02-15,6.152532412788772,6.509297038804601
2018-03-01,6.146536176566175,6.480579128042395
2018-03-15,6.210731656599062,
2018-04-01,6.204069187283272,
2018-04-15,6.205901891251317,
2018-05-01,6.201930989131619,6.356673279932768
2018-05-15,6.20224095268945,6.348995678488661
2018-06-01,6.118045356294245,6.357777820301539
2018-06-15,6.0272104385330865,6.363682675154299
2018-07-01,5.9241206079338875,6.365316822954006
2018-07-15,6.1272894301002605,6.365920415052882
2018-08-01,6.125748708343024,6.125748708343024
2018-08-15,6.118854240198191,6.205865617187821
2018-09-01,6.113801958205374,6.200813335195003
2018-09-15,6.115959268939291,6.20312242554521
2018-10-01,6.119952297273673,6.207115453879592
2018-10-15,6.119029349841629,6.199633382256258
2018-11-01,6.016190598314098,6.12448203728891
2018-11-15,6.006829976723273,6.08326285547492
2018-12-01,6.003571397587136,6.187249806692381
2018-12-15,6.005895591360872,6.267635538654971
2019-01-01,6.007195741208013,6.2697933143828655
2019-01-15,6.006149756156551,6.141695248152775
2019-02-01,6.012121706118997,6.146401321748871
2019-02-15,6.008424410856243,6.112193203137815
2019-03-01,6.0008016004478915,6.097376117095436
2019-03-15,5.990880229854564,6.084370572941903
2019-04-01,5.9869563881440895,6.135376393262362
2019-04-15,6.160550666938001,6.12474121424129
2019-05-01,6.163527500113747,6.163527500113747
2019-05-15,6.159860800561695,6.21891556334301
2019-06-01,6.159528657331003,6.257708712981658
2019-06-15,6.1496851831051575,6.148005921585438
2019-07-01,6.35918506211072,6.1393837253273755
2019-07-15,6.532306310935747,6.130686539759845
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
