Date,Machakos,Meru
2016-01-01,6.867023396662568,
2016-01-15,6.869118515768734,
2016-02-01,6.876230575440013,
2016-02-15,6.862913410127825,
2016-03-01,6.8054951672765,
2016-03-15,6.744210224043156,
2016-04-01,6.624818783590919,
2016-04-15,6.642141817272417,
2016-05-01,6.644353091804366,
2016-05-15,6.3485258183179205,
2016-06-01,6.494846391639547,
2016-06-15,6.49167602367946,
2016-07-01,6.489935121849543,
2016-07-15,6.486707229880043,
2016-08-01,6.48494600840802,
2016-08-15,6.483181679561344,
2016-09-01,6.482892873065308,
2016-09-15,6.5489577381011435,
2016-10-01,6.6109272019424825,
2016-10-15,6.606127899326081,
2016-11-01,6.600716001527368,
2016-11-15,6.595038221153797,
2016-12-01,6.588744974595147,
2016-12-15,6.5818766713333865,
2017-01-01,6.57314099196354,
2017-01-15,6.619488712682139,
2017-02-01,6.66378313657336,
2017-02-15,6.656900779427753,
2017-03-01,6.656551736270831,
2017-03-15,6.645696744609984,
2017-04-01,6.634353341135345,
2017-04-15,6.738350745752991,
2017-05-01,6.731601410229312,
2017-05-15,6.736595585847204,
2017-06-01,6.734485810897574,
2017-06-15,6.744168603710505,6.2500935083678355
2017-07-01,6.7472407022661764,6.236415078500186
2017-07-15,6.7431674395719465,6.369865907953743
2017-08-01,6.740634989261978,6.332102394085951
2017-08-15,6.747843346528941,6.256728992106149
2017-09-01,6.721702696322021,6.261275849837203
2017-09-15,,6.245179263268
2017-10-01,,6.400927788051529
2017-10-15,,6.399175839756364
2017-11-01,,6.355681932153066
2017-11-15,,6.3545313693496155
2017-12-01,,6.348822869095615
2017-12-15,,6.23959488878029
2018-01-01,,6.2228771503284825
2018-01-15,6.449411148831758,6.22457698003964
2018-02-01,6.469657770461288,6.24946940107117
2018-02-15,6.518358185006328,6.2716100759226965
2018-03-01,6.50303189297508,6.264717380653063
2018-03-15,6.618975316091951,6.320506455025611
2018-04-01,6.610090623639443,6.358458331401633
2018-04-15,6.609707247941118,6.360052571078575
2018-05-01,6.4887842177729995,6.38397634097975
2018-05-15,6.421717222013925,6.387055240313006
2018-06-01,6.205056733283875,6.137847983590425
2018-06-15,6.362253082344705,6.132470949190579
2018-07-01,6.368178055235038,6.143247193346733
2018-07-15,6.291757457058001,6.144383863459561
2018-08-01,6.204254566255459,6.032614018881839
2018-08-15,6.264134525311796,6.171964065512139
2018-09-01,6.280856042868541,6.131820463708053
2018-09-15,6.307777643798006,6.13401030058486
2018-10-01,,6.1380033289192415
2018-10-15,6.359539473654137,6.1688617235895045
2018-11-01,6.351071053975522,6.181842267476668
2018-11-15,6.342720141151101,6.187962775629083
2018-12-01,6.408357388521492,6.2352325424772115
2018-12-15,6.342078014909487,6.342078014909487
2019-01-01,6.376755098149193,6.275793882091732
2019-01-15,6.4102698741493835,6.204802287462465
2019-02-01,6.348736504576648,6.227651515984897
2019-02-15,6.372625633142221,6.1897514374836895
2019-03-01,6.406929179597177,6.183785628282967
2019-03-15,6.401664499440328,6.194637067368583
2019-04-01,6.391087273239116,6.218068109107476
2019-04-15,6.445717014792534,6.3416151525419036
2019-05-01,6.654523873933005,6.413917115603316
2019-05-15,6.56421417981717,6.409321660193279
2019-06-01,6.564438980404133,6.411212771383217
2019-06-15,6.560727550511428,6.399320349866344
2019-07-01,6.573267574406247,6.390862541509705
2019-07-15,6.58565229164104,6.382332588007311
2019-08-01,6.6672317740434694,6.398976955485573
2019-08-15,6.742655104587011,
2019-09-01,6.633247609643293,
2019-09-15,6.629528141662018,6.447309725500407
2019-10-01,6.679578237690898,6.407818263954988
2019-10-15,6.72724227003319,6.409951735509691
2019-11-01,,6.406965932422443
2019-11-15,,6.416131213417825
2019-12-01,,6.408807269235256
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
