Date,Owino,Busia
2016-01-01,6.549089386259068,6.484273434130676
2016-01-15,6.577317384946351,6.5097193815338565
2016-02-01,6.518566601942577,6.487370746174096
2016-02-15,6.535536160018683,6.480575301000738
2016-03-01,6.677355844837763,6.54795668949815
2016-03-15,6.605846195190644,6.549507351979705
2016-04-01,6.540388189406946,6.504827322206012
2016-04-15,6.552406136343881,6.544519930548691
2016-05-01,6.591873480460989,6.333078952381815
2016-05-15,6.615933575438553,6.351968029604088
2016-06-01,6.449038453929686,6.348159339610958
2016-06-15,6.477066337580395,6.326456781179954
2016-07-01,6.437522699974859,6.30475379309067
2016-07-15,6.44215294216079,6.336876534329248
2016-08-01,6.436160547191164,6.333496132248131
2016-08-15,6.5423232365565624,6.44080757466837
2016-09-01,6.556107830249778,6.459829224395914
2016-09-15,6.589533478879123,6.5521888183429535
2016-10-01,6.5743119407576085,6.557256755296448
2016-10-15,6.398114045424532,6.472967513574678
2016-11-01,6.381882860752917,6.362495507720012
2016-11-15,6.43848880487973,6.358446097206194
2016-12-01,6.500073397992073,6.477459806090242
2016-12-15,6.509105407369265,6.52600340998999
2017-01-01,6.6114883655834955,6.527799111664322
2017-01-15,6.61245173027075,6.521873300117559
2017-02-01,6.607299149439882,6.5682621866316495
2017-02-15,6.749134376931457,6.755208606620563
2017-03-01,6.788620214694112,6.8144264820429035
2017-03-15,6.867545437902375,6.836408044213878
2017-04-01,6.861353697393771,6.763172859837966
2017-04-15,6.856648166002482,6.755151279648352
2017-05-01,6.848876293235224,6.757273450876662
2017-05-15,6.515723917055652,6.5686053536510105
2017-06-01,6.443179353104459,6.45524907719179
2017-06-15,6.369176518407709,6.335859699897743
2017-07-01,6.451225325979993,6.39597073814894
2017-07-15,6.491195409194483,6.452166065288748
2017-08-01,6.4869349505875125,6.478555173605915
2017-08-15,6.484474118132993,6.474503260213176
2017-09-01,6.516910499473327,6.490188802656174
2017-09-15,6.618651356660965,6.587247809928879
2017-10-01,6.615360439861219,6.499956941318101
2017-10-15,6.39917401875369,6.395096163241861
2017-11-01,6.382430488835728,6.283574874774027
2017-11-15,6.299680577704196,6.212372552833423
2017-12-01,6.35930208488863,6.209992795585473
2017-12-15,6.424592157534765,6.35076064995387
2018-01-01,6.413767803545446,6.306302535228485
2018-01-15,6.459265399242641,6.359145339474154
2018-02-01,6.460625784598636,6.384164618504159
2018-02-15,6.566099178177021,6.585852906913254
2018-03-01,6.602245940175688,6.583474574587587
2018-03-15,6.620500447784904,6.551717638267006
2018-04-01,6.734581445098495,6.564760051068772
2018-04-15,6.745720776779637,6.562364558744906
2018-05-01,6.722959450631854,6.631283818798618
2018-05-15,6.386170099468836,6.258538428971502
2018-06-01,6.1455842682179815,6.057030870876536
2018-06-15,6.172172096591272,6.0213704836787825
2018-07-01,6.157100877128949,5.955502967877606
2018-07-15,6.153768763274872,5.960273905882792
2018-08-01,6.156908459543163,5.956033494853461
2018-08-15,6.140722794578813,6.056329551764917
2018-09-01,6.223818801333028,6.0521816504274195
2018-09-15,6.216999989388145,6.133655764325433
2018-10-01,6.309119362566396,6.126954902622972
2018-10-15,6.223781017326023,6.132401458663641
2018-11-01,6.137826569887441,5.996663085586993
2018-11-15,6.1471133046663935,5.94231889202038
2018-12-01,6.148032634165344,6.041642782338404
2018-12-15,6.154407268815136,6.064048048055822
2019-01-01,6.2906039276406345,6.19304763747439
2019-01-15,6.373813365371398,6.266651194980059
2019-02-01,6.418604935085321,6.4511225008960125
2019-02-15,6.455001152190991,6.477744607422322
2019-03-01,6.445987944428703,6.470879912437218
2019-03-15,6.546800532856458,6.490652074375765
2019-04-01,6.602490322579463,6.551501210703764
2019-04-15,6.626953374754281,6.604173346422462
2019-05-01,6.680488463777335,6.590809707238734
2019-05-15,6.671897308154846,6.5736796800094
2019-06-01,6.492660443927318,6.473166649246316
2019-06-15,6.558265308079828,6.4579911372117875
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
