Date,Kasese,Tororo
2016-01-01,6.508758487035613,5.380096300829159
2016-01-15,6.539900972981392,5.440210694952086
2016-02-01,6.41637566104603,5.496915354410596
2016-02-15,6.270091307803748,5.4923331155998865
2016-03-01,6.2438751272113935,5.745240071819211
2016-03-15,6.24103450985885,5.709080380694847
2016-04-01,6.23443811228408,
2016-04-15,6.259702368792369,
2016-05-01,6.259461232390936,
2016-05-15,6.19336299942745,5.549749753989781
2016-06-01,6.198802832593043,5.558112752196465
2016-06-15,6.196332546877046,5.558939057898939
2016-07-01,6.1826058443495855,5.831958815207664
2016-07-15,6.182094873305326,5.832478206686689
2016-08-01,6.17864404255835,5.423705056340891
2016-08-15,6.1752025491778495,5.422411619857062
2016-09-01,6.169816863283081,5.4159222635835285
2016-09-15,6.163931282404215,5.494131465841262
2016-10-01,6.158550100342805,5.519599830964739
2016-10-15,6.137140924237273,5.552361780399109
2016-11-01,6.1164181836843134,5.580410132276577
2016-11-15,6.194143045914918,5.5540732815360245
2016-12-01,6.1881343478947315,5.544493151148241
2016-12-15,6.187921299127874,5.554071012816001
2017-01-01,6.187708295741125,5.72891973731553
2017-01-15,6.19883111392946,5.726895565763109
2017-02-01,,5.72931576756422
2017-02-15,,5.722318971851242
2017-03-01,6.2314759892196685,5.719024469005042
2017-03-15,6.200955643093525,5.790922231014981
2017-04-01,6.09914651097741,5.863462419105324
2017-04-15,6.13484572968216,5.910368925640306
2017-05-01,6.103526461190315,5.952030943892073
2017-05-15,6.215155640961727,5.9926827055215375
2017-06-01,6.225378646200745,5.939471197107332
2017-06-15,6.226016364544902,5.801237833304102
2017-07-01,6.228437709889332,5.251160858481973
2017-07-15,6.229377816873995,5.429487677461824
2017-08-01,6.22409046109107,5.425681877812573
2017-08-15,6.22066563825476,5.423792202869158
2017-09-01,,5.414996788196163
2017-09-15,6.213780602210712,5.442816399293959
2017-10-01,6.280316604863661,5.411983050855047
2017-10-15,6.246378937137598,5.398793679133816
2017-11-01,6.199506340881629,5.283441623247333
2017-11-15,6.151358447078277,5.286242743374279
2017-12-01,6.0930990441139725,5.28116832756406
2017-12-15,6.039056534663201,5.287132917631387
2018-01-01,5.763362171362772,5.277331206209998
2018-01-15,5.842409381144868,5.378572266814796
2018-02-01,5.8423799122118085,5.402835490450782
2018-02-15,5.807282233814959,5.396443466775215
2018-03-01,,5.390040984149822
2018-03-15,,5.2688916446529035
2018-04-01,,5.050067506224038
2018-04-15,,5.123795709372973
2018-05-01,5.61053185190278,5.116156585835759
2018-05-15,5.563709162228571,5.114366047948352
2018-06-01,5.636013349760887,5.093877129023532
2018-06-15,5.524629599794531,4.736172239430261
2018-07-01,5.383910988895467,4.726270496792432
2018-07-15,5.453186604227408,4.767474402154981
2018-08-01,5.176079206531437,4.770614098423273
2018-08-15,5.628345580121404,4.751633834527906
2018-09-01,5.693190550270857,4.743747611079802
2018-09-15,5.7981176706960165,4.514828111541494
2018-10-01,5.902868399800893,4.530625792136653
2018-10-15,5.77411707231741,4.74422916271955
2018-11-01,5.491199404962388,4.8450582667783735
2018-11-15,5.8569590430692235,4.943140500340458
2018-12-01,5.860350561713563,4.944059829839408
2018-12-15,5.724754935092968,4.7681129076952455
2019-01-01,5.858340626377746,5.019239533194721
2019-01-15,5.957985470227687,5.131306897043219
2019-02-01,5.978801689396265,5.145237330006572
2019-02-15,5.96338541107502,5.300741684808489
2019-03-01,5.920523449914592,5.289896626335981
2019-03-15,6.033927825468742,5.223509773156054
2019-04-01,6.028024938730174,5.273482819201824
2019-04-15,6.074351221965816,5.271703635316351
2019-05-01,6.014149721801372,5.760461405165304
2019-05-15,6.071123447725916,5.691784644209972
2019-06-01,6.215646277211257,5.866702707855173
2019-06-15,6.096919741577207,5.45602325136114
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
