Date,Ngozi,Bujumbura
2016-01-01,,
2016-01-15,,
2016-02-01,,
2016-02-15,,6.2113246611455635
2016-03-01,,6.2039673799017425
2016-03-15,,
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,,
2016-06-01,,
2016-06-15,,
2016-07-01,,
2016-07-15,,
2016-08-01,,
2016-08-15,,
2016-09-01,,
2016-09-15,,
2016-10-01,,
2016-10-15,,
2016-11-01,,
2016-11-15,,
2016-12-01,,
2016-12-15,,
2017-01-01,,
2017-01-15,,
2017-02-01,,
2017-02-15,,
2017-03-01,,
2017-03-15,,
2017-04-01,,
2017-04-15,,
2017-05-01,,
2017-05-15,,
2017-06-01,,
2017-06-15,,
2017-07-01,,
2017-07-15,,
2017-08-01,,
2017-08-15,,
2017-09-01,,
2017-09-15,,
2017-10-01,,
2017-10-15,,
2017-11-01,,
2017-11-15,,
2017-12-01,,
2017-12-15,,
2018-01-01,,
2018-01-15,5.800053222391385,5.800053222391385
2018-02-01,5.86990366183599,5.803574351104725
2018-02-15,5.8744416833772455,5.805781369259504
2018-03-01,5.875488760740866,5.807993269119418
2018-03-15,5.87355829151794,5.906761112525855
2018-04-01,5.869307728576876,5.932534200543064
2018-04-15,5.858775215490107,5.798297296527306
2018-05-01,5.9870418642376055,5.855272586606483
2018-05-15,6.049819425140857,6.049819425140857
2018-06-01,5.936272031350254,5.729389000907824
2018-06-15,6.114310584957968,5.656002995475424
2018-07-01,6.008515448312788,5.660892982603596
2018-07-15,6.124114584542641,5.5777379765123305
2018-08-01,6.016312240858618,5.956972801072308
2018-08-15,6.136254589697888,5.966014453878138
2018-09-01,6.14537874047434,5.972952811434609
2018-09-15,6.197289005113433,5.768670592030551
2018-10-01,6.20511498084665,5.980210865697407
2018-10-15,6.196450250776229,5.97198307253151
2018-11-01,6.192225701277987,6.082552299107358
2018-11-15,6.289454653656934,6.242858566362501
2018-12-01,6.289454653656934,6.098147157065265
2018-12-15,6.282474754276641,6.169882387092319
2019-01-01,6.273903548211585,6.177789186618846
2019-01-15,6.132909327358523,6.080391293075077
2019-02-01,6.056590331400893,6.075581406906211
2019-02-15,6.131487411580053,6.099257133675139
2019-03-01,6.114685372918901,6.2604292235729275
2019-03-15,6.153588867704077,6.251521140128388
2019-04-01,6.193954689071636,6.284402495559847
2019-04-15,6.403427824330405,6.362199526295839
2019-05-01,6.403968822122032,6.328189702174075
2019-05-15,6.2471359750348245,6.2929823631602435
2019-06-01,5.876888951456165,6.247408348826111
2019-06-15,5.806235923633672,
2019-07-01,5.931384492792854,
2019-07-15,5.95849633237177,
2019-08-01,5.98489248111995,6.040981947770994
2019-08-15,6.0364631851751085,5.978234680275316
2019-09-01,6.081235798981164,6.108738717870792
2019-09-15,6.127336585856836,6.128251917728524
2019-10-01,6.150864688685514,6.128310733121316
2019-10-15,6.167609368916407,6.212896902534637
2019-11-01,6.060055276934594,6.271687629049743
2019-11-15,6.050514312628761,6.1968524527192255
2019-12-01,6.016315846488436,6.276369751822743
2019-12-15,5.983273967896186,6.269927762622401
2020-01-01,6.0267679500726565,6.2168868173266425
2020-01-15,5.966016332131185,6.165747442820653
2020-02-01,6.158475679264323,6.137079912299283
2020-02-15,6.157195543156077,6.201094931424048
