Date,Masindi,Gulu
2016-01-01,5.275479556124178,
2016-01-15,5.112551408384965,
2016-02-01,5.193232940612374,
2016-02-15,5.262470614036932,
2016-03-01,5.291061483717872,
2016-03-15,5.3013633293406315,
2016-04-01,5.360002190382771,
2016-04-15,5.384874158522637,
2016-05-01,5.385272553728783,
2016-05-15,5.488427863115462,
2016-06-01,5.501279277433299,
2016-06-15,5.500265656213766,
2016-07-01,5.485513885498625,
2016-07-15,5.4884566541889885,
2016-08-01,5.453558019490573,
2016-08-15,5.35787309871949,
2016-09-01,5.351244553914868,
2016-09-15,5.47078410184427,
2016-10-01,5.462935610364402,
2016-10-15,5.445999762404194,
2016-11-01,5.546659148996874,
2016-11-15,5.552289159742523,
2016-12-01,5.544493151148241,
2016-12-15,5.549632479119975,
2017-01-01,5.54674686835175,
2017-01-15,5.595701695395968,
2017-02-01,5.642371381028475,
2017-02-15,5.635845373847415,
2017-03-01,5.675177687462979,5.720502665874353
2017-03-15,5.868849431235698,5.868849431235698
2017-04-01,5.897916187093915,6.055929909477627
2017-04-15,5.893859837756065,6.056255455088939
2017-05-01,5.886718728325191,6.100530952210517
2017-05-15,5.959743895809117,6.108601807739858
2017-06-01,6.00134660082542,6.116657447336414
2017-06-15,6.005981854153889,6.036551920238567
2017-07-01,5.535290529329386,5.796833213578132
2017-07-15,5.312198590938724,5.1793019174722925
2017-08-01,5.368581761113166,5.247119352054922
2017-08-15,5.368956130992608,5.242260847617704
2017-09-01,5.41895718941226,5.414996788196163
2017-09-15,5.3563303703594904,5.41348878419944
2017-10-01,5.294200015198664,5.294200015198664
2017-10-15,5.280381673081202,5.148628346066969
2017-11-01,5.1520064984226215,5.002142151776049
2017-11-15,5.074272492658195,4.999309454184739
2017-12-01,5.074221723464717,4.9964847581085365
2017-12-15,5.078458177437094,4.997954958588023
2018-01-01,5.068819317163852,5.138928883350879
2018-01-15,5.074360892411804,5.149262200584922
2018-02-01,5.149232731651864,5.149232731651864
2018-02-15,5.146848729373835,5.146848729373835
2018-03-01,5.139302426889725,5.2702397843372015
2018-03-15,5.132759470328324,5.2688916446529035
2018-04-01,5.126191201696839,5.258412836439298
2018-04-15,5.123795709372973,5.256017344115432
2018-05-01,5.116156585835759,5.249029867215732
2018-05-15,5.111724038485514,5.245255431110037
2018-06-01,5.093877129023532,4.9365768402933785
2018-06-15,5.072644476051474,4.918493796224216
2018-07-01,5.067713746135665,4.922703897779067
2018-07-15,4.544330850840772,4.949795958948936
2018-08-01,4.492688200916857,4.951709413493983
2018-08-15,4.478766847861266,4.935198399561458
2018-09-01,4.464766650080757,4.517791118388978
2018-09-15,4.491005807556552,4.571351620401395
2018-10-01,4.516574038681002,
2018-10-15,4.641371777279842,
2018-11-01,4.752465479950549,
2018-11-15,4.760818943546503,4.760818943546503
2018-12-01,4.853675768371139,4.761738273045454
2018-12-15,4.86609331605545,4.7681129076952455
2019-01-01,4.942049894503591,4.907233372636462
2019-01-15,4.946942438619464,5.029341970386531
2019-02-01,5.033716055574165,5.109427877309861
2019-02-15,5.23877496105929,5.23877496105929
2019-03-01,5.227376269354647,5.227376269354647
2019-03-15,5.223509773156054,5.223509773156054
2019-04-01,5.303592620673194,5.212721725191387
2019-04-15,5.5467516479293515,5.428968612272969
2019-05-01,5.564680694997345,5.430916987352611
2019-05-15,5.520292489346226,5.611264267551952
2019-06-01,5.4791271644977835,5.608661216689686
2019-06-15,5.539695727085255,5.5476585467638975
2019-07-01,5.4441263027399,
2019-07-15,,
2019-08-01,,5.338534688477439
2019-08-15,5.086228299901257,5.280692243520937
2019-09-01,5.075033286849828,5.108758921557864
2019-09-15,5.223319935534699,5.339080725810314
2019-10-01,5.393261828560937,5.414115664844142
2019-10-15,5.387802892630971,5.4654759309491885
2019-11-01,5.481495533484364,5.509083490003193
2019-11-15,5.527281855864189,5.530609645956863
2019-12-01,5.531926066476241,5.574071687927004
2019-12-15,5.534926599493717,5.48762048209678
2020-01-01,5.613902240403721,5.531315649394447
2020-01-15,5.133041133779092,5.2247622563436
2020-02-01,5.207854515918085,5.269821239667285
2020-02-15,5.269516812452338,5.299117282228629
