Date,Tororo,Kasese
2016-01-01,5.366612950491872,5.348347602514579
2016-01-15,5.340941584956898,5.266285508327007
2016-02-01,5.3145937976166415,5.195917505983043
2016-02-15,5.295622821353832,5.185958910135953
2016-03-01,5.291061483717872,5.221032879357389
2016-03-15,5.348429982859414,5.223111132440883
2016-04-01,,5.136295417425962
2016-04-15,,5.567012749439217
2016-05-01,,5.567228546636379
2016-05-15,5.549749753989781,5.527192406565706
2016-06-01,5.610142423642327,5.497373022466234
2016-06-15,5.602991124233586,5.490471258621478
2016-07-01,5.576141902958443,5.485513885498625
2016-07-15,5.4923782278421704,5.429794741540402
2016-08-01,5.423705056340891,5.3589575269467336
2016-08-15,5.360092855457803,5.397093811872772
2016-09-01,5.454821743197266,5.4159222635835285
2016-09-15,5.5281612144275725,5.409913386757244
2016-10-01,5.5139818386605155,5.408099538487851
2016-10-15,5.555958906579959,5.500594215194037
2016-11-01,5.635625854879024,5.526585482262797
2016-11-15,5.656488286964094,5.500995865354972
2016-12-01,5.725621390378153,5.546280461722336
2016-12-15,5.695102992115967,5.546067412955479
2017-01-01,5.643596694341668,5.54585440956873
2017-01-15,5.687556151203077,5.556347597857354
2017-02-01,5.72931576756422,
2017-02-15,5.722318971851242,
2017-03-01,5.7813879192895,5.587182265971364
2017-03-15,5.969114394466924,5.628726455502891
2017-04-01,5.9628779560878975,5.476937271098081
2017-04-15,5.964084995289282,5.615586711787795
2017-05-01,5.983435180334269,5.785360236914406
2017-05-15,6.007103365847976,5.93045064721963
2017-06-01,6.029826072147289,5.869718158346983
2017-06-15,5.797147848052577,5.797147848052577
2017-07-01,5.1801395887336295,5.798202139185474
2017-07-15,5.372561740665815,5.487085169245161
2017-08-01,5.366130350325041,5.4286507073063754
2017-08-15,5.423792202869158,5.423792202869158
2017-09-01,5.527474771622853,5.523922370018485
2017-09-15,5.471308355088266,5.61415947966159
2017-10-01,5.342139477487782,5.699665123306827
2017-10-15,5.342936347741292,5.504657086429095
2017-11-01,5.154580502417795,5.509969272545783
2017-11-15,5.154315200331731,5.509835631923639
2017-12-01,5.075605806730655,5.399951863554027
2017-12-15,5.1529607047350146,4.997954958588023
2018-01-01,5.275061057675458,5.364153600868913
2018-01-15,5.133677469568224,5.398856937986302
2018-02-01,5.117816535418485,5.340960086732695
2018-02-15,5.211709363575876,5.2955299611516224
2018-03-01,5.204488406774421,
2018-03-15,5.054234707216013,
2018-04-01,5.094273598728534,
2018-04-15,5.123795709372973,
2018-05-01,5.039616508713424,5.031057255317754
2018-05-15,5.073983710502667,4.957573358658255
2018-06-01,5.044143123349394,4.92706805232435
2018-06-15,5.072644476051474,4.736172239430261
2018-07-01,5.064955123696586,4.733992542886342
2018-07-15,4.53969047128427,4.666220668449808
2018-08-01,4.526104197836701,4.4730797295284805
2018-08-15,4.526622869038901,4.502981105981861
2018-09-01,4.507543104770602,4.522474967701403
2018-09-15,,4.523722180934396
2018-10-01,4.468255461410195,
2018-10-15,4.641371777279842,
2018-11-01,4.8450582667783735,4.527454514461543
2018-11-15,4.943140500340458,4.651334710704814
2018-12-01,4.944059829839408,4.652254040203766
2018-12-15,4.8042179123373625,4.683771759261495
2019-01-01,5.019239533194721,4.942049894503591
2019-01-15,5.100216309973188,5.057198924889497
2019-02-01,5.033716055574165,5.033716055574165
2019-02-15,5.300741684808489,5.031486781534874
2019-03-01,5.227376269354647,4.774732600971392
2019-03-15,5.223509773156054,4.711146870071177
2019-04-01,5.367203805187378,4.660042381252621
2019-04-15,5.550062909233008,5.081759205498516
2019-05-01,5.563053355337969,5.377469152909199
2019-05-15,5.520292489346226,5.427699702518401
2019-06-01,5.500180573695616,5.52419544989949
2019-06-15,5.579045065873803,5.549679171069438
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
