Date,Kabale,Kasese
2016-01-01,,6.508758487035613
2016-01-15,,6.539900972981392
2016-02-01,5.864640134535914,6.41637566104603
2016-02-15,5.860057895725204,6.270091307803748
2016-03-01,5.9181962574657865,6.2438751272113935
2016-03-15,,6.24103450985885
2016-04-01,,6.23443811228408
2016-04-15,6.074722820423918,6.259702368792369
2016-05-01,6.075674742172574,6.259461232390936
2016-05-15,5.995293085665356,6.19336299942745
2016-06-01,5.9984969115443585,6.198802832593043
2016-06-15,6.00169050569505,6.196332546877046
2016-07-01,6.054123550810641,6.1826058443495855
2016-07-15,6.056735343862079,6.182094873305326
2016-08-01,5.91234276513152,6.17864404255835
2016-08-15,5.7393490504576326,6.1752025491778495
2016-09-01,5.8206912352208375,6.169816863283081
2016-09-15,5.818164011986835,6.163931282404215
2016-10-01,5.887970814666663,6.158550100342805
2016-10-15,5.866712099933052,6.137140924237273
2016-11-01,5.859760650285631,6.1164181836843134
2016-11-15,5.73312151298501,6.194143045914918
2016-12-01,5.807270155526661,6.1881343478947315
2016-12-15,5.813227849686463,6.187921299127874
2017-01-01,5.845959002019068,6.187708295741125
2017-01-15,5.8831635447086805,6.19883111392946
2017-02-01,5.883361167610363,
2017-02-15,5.876892216654152,
2017-03-01,5.875497049611605,6.2314759892196685
2017-03-15,5.938773677414251,6.200955643093525
2017-04-01,5.931817738769596,6.09914651097741
2017-04-15,5.989057916220662,6.13484572968216
2017-05-01,5.983435180334269,6.103526461190315
2017-05-15,5.929260879084041,6.215155640961727
2017-06-01,5.935325499727626,6.225378646200745
2017-06-15,5.837313889777912,6.226016364544902
2017-07-01,5.940162341662212,6.228437709889332
2017-07-15,5.939917966176214,6.229377816873995
2017-08-01,5.830155414198442,6.22409046109107
2017-08-15,5.528757383475383,6.22066563825476
2017-09-01,5.614042787931312,
2017-09-15,5.783957050270508,6.213780602210712
2017-10-01,5.779707830980365,6.280316604863661
2017-10-15,5.68697864322305,6.246378937137598
2017-11-01,5.602819426509245,6.199506340881629
2017-11-15,5.603265420379634,6.151358447078277
2017-12-01,5.598802722299193,6.0930990441139725
2017-12-15,5.691102139147969,6.039056534663201
2018-01-01,5.680526165783623,5.763362171362772
2018-01-15,5.686539010438083,5.842409381144868
2018-02-01,5.686509541505024,5.8423799122118085
2018-02-15,5.684125539226995,5.807282233814959
2018-03-01,5.675704892445366,
2018-03-15,5.539959184248697,
2018-04-01,5.529909584470062,
2018-04-15,5.575304755982544,
2018-05-01,5.566226000180676,5.61053185190278
2018-05-15,5.4683989824242465,5.563709162228571
2018-06-01,5.345191557304439,5.636013349760887
2018-06-15,5.069893442679584,5.524629599794531
2018-07-01,5.00812164893342,5.383910988895467
2018-07-15,4.943603988701015,5.453186604227408
2018-08-01,4.951709413493983,5.176079206531437
2018-08-15,4.935198399561458,5.628345580121404
2018-09-01,4.924819948473324,5.693190550270857
2018-09-15,4.917143610746762,5.7981176706960165
2018-10-01,4.890087546982564,5.902868399800893
2018-10-15,4.9227842367180275,5.77411707231741
2018-11-01,4.929799495233464,5.491199404962388
2018-11-15,5.097291180167716,5.8569590430692235
2018-12-01,5.098210509666667,5.860350561713563
2018-12-15,5.031607754533023,5.724754935092968
2019-01-01,5.096200574330849,5.858340626377746
2019-01-15,5.233089591353161,5.957985470227687
2019-02-01,5.241004235098581,5.978801689396265
2019-02-15,5.355034767175152,5.96338541107502
2019-03-01,5.344647141107389,5.920523449914592
2019-03-15,5.286030130137388,6.033927825468742
2019-04-01,5.328698541804271,6.028024938730174
2019-04-15,5.483428529405349,6.074351221965816
2019-05-01,5.830167035057341,6.014149721801372
2019-05-15,5.691784644209972,6.071123447725916
2019-06-01,5.6922920157620975,6.215646277211257
2019-06-15,5.700038377160435,6.096919741577207
2019-07-01,5.739720479067938,
2019-07-15,,
2019-08-01,,
2019-08-15,5.85011203155298,
2019-09-01,5.851667611676873,
2019-09-15,5.850715738531863,
2019-10-01,5.8473346357344775,
2019-10-15,5.699239051090859,
2019-11-01,5.694800635798286,
2019-11-15,5.695617170683403,
2019-12-01,5.7020320355020715,
2019-12-15,5.842217143333874,
2020-01-01,5.8382645609120605,
2020-01-15,5.838428369233539,
2020-02-01,5.614840536866957,
2020-02-15,5.617571013347163,
