Date,Meru,Machakos
2016-01-01,,7.203495633283781
2016-01-15,,7.051440072562689
2016-02-01,,7.015992517815172
2016-02-15,,6.9586365192124084
2016-03-01,,6.949589746913631
2016-03-15,,6.944983520439066
2016-04-01,,6.847708817347679
2016-04-15,,6.865036890513538
2016-05-01,,6.867249393766345
2016-05-15,,6.860012380640688
2016-06-01,,6.85577364531681
2016-06-15,,6.943402849603698
2016-07-01,,6.942049186344503
2016-07-15,,6.938045564906418
2016-08-01,,6.936089831272608
2016-08-15,,6.934130265248393
2016-09-01,,6.9351365952064965
2016-09-15,,6.932488370885018
2016-10-01,,6.929833114845796
2016-10-15,,7.012008031304075
2016-11-01,,7.005973144572913
2016-11-15,,7.000503329261961
2016-12-01,,6.906970837420569
2016-12-15,,6.900615701018805
2017-01-01,,6.891995627987074
2017-01-15,,6.86165474610844
2017-02-01,,6.866175378769005
2017-02-15,,6.8576485135248175
2017-03-01,,6.857018578914012
2017-03-15,,6.846520602884505
2017-04-01,,6.834947252322877
2017-04-15,,6.917465278108666
2017-05-01,,6.913753919605064
2017-05-15,6.618749096401022,6.918917142641159
2017-06-01,6.616766744535951,6.988866158800316
2017-06-15,6.253426844787594,6.840473727891594
2017-07-01,6.2183965729975075,6.842550882070501
2017-07-15,6.286355275080574,6.838570474197825
2017-08-01,6.332102394085951,6.737567502194116
2017-08-15,6.344155565281938,6.88777101187092
2017-09-01,6.347042671594628,6.851544882626548
2017-09-15,6.348678368793648,
2017-10-01,6.353370535522481,
2017-10-15,6.39990337707474,
2017-11-01,6.398875541394341,
2017-11-15,6.397660730246647,
2017-12-01,6.348822869095615,
2017-12-15,6.385507092158509,
2018-01-01,6.333428946101424,
2018-01-15,6.269249420091233,6.448058883581744
2018-02-01,6.303709170008167,6.454081647763497
2018-02-15,6.333358082991144,6.44111094428759
2018-03-01,6.397253054784485,6.438242399317682
2018-03-15,6.38003055508371,6.672984121029003
2018-04-01,6.38666894688887,6.664216387777751
2018-04-15,6.388776086909848,6.668310415578933
2018-05-01,6.411225983427125,6.6603725917598355
2018-05-15,6.20224095268945,6.585838074161033
2018-06-01,6.0247331791525935,6.2835597947718185
2018-06-15,6.0489719303145995,6.248752708480322
2018-07-01,6.031705818613825,6.210688474142265
2018-07-15,6.079904811264352,6.139913583328657
2018-08-01,6.125748708343024,6.152607977393292
2018-08-15,6.171964065512139,6.199176629037024
2018-09-01,6.084279518939052,6.280856042868541
2018-09-15,6.160490223749327,6.28329354413385
2018-10-01,6.02445995151566,6.360072958526515
2018-10-15,6.080902928243835,6.359539473654137
2018-11-01,6.13262319487261,6.35612704163298
2018-11-15,6.188812032580339,6.411615967657628
2018-12-01,6.296332201117933,6.339461562014965
2018-12-15,6.342078014909487,6.342078014909487
2019-01-01,6.268066001924324,6.474780445172006
2019-01-15,6.188135234977254,6.591918256902433
2019-02-01,6.377540743926958,6.59902086264247
2019-02-15,6.344612596914546,6.649545581237234
2019-03-01,6.366383085202827,6.644014821801107
2019-03-15,6.354133489153418,6.634837166223737
2019-04-01,6.37629211432237,6.573631324193517
2019-04-15,6.386036531519875,6.718010507218355
2019-05-01,6.512519092407855,6.769814555291399
2019-05-15,6.5081674948299115,6.76508709974917
2019-06-01,6.566656276212781,6.809320131517678
2019-06-15,6.661181722696382,6.921842013395526
2019-07-01,6.575586864175662,6.911256544077335
2019-07-15,6.481973862166198,6.900557822703477
2019-08-01,6.56667362328174,6.905179650127709
2019-08-15,6.644756165940486,6.909780214499683
2019-09-01,6.71564269559263,6.8191653686176
2019-09-15,6.781835231128974,6.857713115249154
2019-10-01,6.779293171834601,6.987016774735873
2019-10-15,6.734763699625318,7.101499171687513
2019-11-01,,7.046933534015064
2019-11-15,6.6392747647320345,
2019-12-01,6.632204273852051,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
