Date,Masindi,Gulu
2016-01-01,,
2016-01-15,,
2016-02-01,,
2016-02-15,,
2016-03-01,,
2016-03-15,6.123251474202466,
2016-04-01,6.060442530899319,
2016-04-15,6.07692304133352,
2016-05-01,6.077322641474356,
2016-05-15,6.064285957152308,
2016-06-01,6.070042738305509,
2016-06-15,6.068293011053473,
2016-07-01,6.054682991384673,
2016-07-15,6.056735343862079,
2016-08-01,6.052104707506678,
2016-08-15,6.052130773563463,
2016-09-01,6.1069795792240145,
2016-09-15,6.10306056731719,
2016-10-01,6.095489048077792,
2016-10-15,6.077143615658899,
2016-11-01,6.173519819667611,
2016-11-15,6.142057985848633,
2016-12-01,6.133074570711704,
2016-12-15,6.141759257364711,
2017-01-01,6.136612844860007,
2017-01-15,6.135574564806038,
2017-02-01,6.134535205606046,
2017-02-15,6.127784079959406,5.945462523165451
2017-03-01,6.124489577113207,6.011870699005057
2017-03-15,6.121292687066978,6.226159497456815
2017-04-01,6.113643140753075,6.314404064492829
2017-04-15,6.161144161349006,6.310361232007116
2017-05-01,6.202184605937016,6.430553865151822
2017-05-15,6.354372984576003,6.515061446014531
2017-06-01,6.361349334856827,6.521792467968401
2017-06-15,6.124503715111705,6.230897669999323
2017-07-01,6.122483898456167,6.2275476341741385
2017-07-15,6.123622512423043,5.536230636314049
2017-08-01,6.118333395413176,5.715344148931217
2017-08-15,6.116939383429103,5.790300067724129
2017-09-01,6.1101261299601,5.781346997658313
2017-09-15,6.108122953880963,5.781213564324757
2017-10-01,6.104634076604516,5.517343566512873
2017-10-15,6.09294639019578,5.503751699314282
2017-11-01,6.096754435110813,5.508165845546633
2017-11-15,6.096423615231827,5.691707851482444
2017-12-01,6.093598919155624,5.601258720259063
2017-12-15,5.913047367970069,5.603546248123648
2018-01-01,5.902456860672624,5.591860528697967
2018-01-15,5.842409381144868,5.601715818129006
2018-02-01,5.839799265618317,5.601686349195947
2018-02-15,5.839995909933781,5.684125539226995
2018-03-01,5.902478211810154,5.75714522438554
2018-03-15,5.828507432588327,5.752999880080181
2018-04-01,5.8876329296930106,5.8876329296930106
2018-04-15,5.8852374373691445,5.8852374373691445
2018-05-01,5.91239643131641,6.001445369370634
2018-05-15,,5.999027233486417
2018-06-01,,6.03202956867112
2018-06-15,,6.01603713770342
2018-07-01,,6.021316186447177
2018-07-15,,5.8648513602150985
2018-08-01,,5.727256125820995
2018-08-15,,5.72731928382029
2018-09-01,,5.838607550129361
2018-09-15,,5.912387091804662
2018-10-01,,5.981095236265454
2018-10-15,,5.995917440085153
2018-11-01,,6.000954937668534
2018-11-15,,5.953618447274314
2018-12-01,,5.7913576902266115
2018-12-15,,5.8667251963633555
2019-01-01,,6.018531820087954
2019-01-15,6.287738756600155,6.150301557746637
2019-02-01,6.253849702009266,6.158207792230096
2019-02-15,6.379122069505014,6.155978518190804
2019-03-01,6.305033192846769,6.144588235748122
2019-03-15,6.343399460271448,6.234691661153565
2019-04-01,6.350019156170734,6.26786608833218
2019-04-15,6.386200734524484,6.387632373995921
2019-05-01,,6.385856349984582
2019-05-15,,6.492796366060934
2019-06-01,,6.344497805944682
2019-06-15,,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
