Date,Busia,Eldoret
2016-01-01,5.442819559302515,5.791017958218954
2016-01-15,5.368390731264161,5.8041062257760805
2016-02-01,5.367908856384362,5.834943353391172
2016-02-15,5.351975757904964,5.850807575439375
2016-03-01,5.328980718580166,5.873096704586412
2016-03-15,5.402413493497336,5.962614146993543
2016-04-01,5.499568265555266,5.979918436570358
2016-04-15,5.533521247132916,6.022037267856343
2016-05-01,5.554348883772717,5.872809972160406
2016-05-15,5.624919297368462,5.83770019455193
2016-06-01,5.654594186213162,5.77287877254411
2016-06-15,5.655251409158446,5.740032636437907
2016-07-01,5.74055434548759,5.76654805609988
2016-07-15,5.7112072009785875,5.76249940864602
2016-08-01,5.7638030947339844,5.748074666761027
2016-08-15,5.612515317093071,5.761130752819049
2016-09-01,5.566786906099898,5.732670950171132
2016-09-15,5.697072309837952,5.7592378765961625
2016-10-01,5.700987244766897,5.784959108361613
2016-10-15,5.688592229992797,5.8066511437122
2016-11-01,5.697319423884363,5.801029264357392
2016-11-15,5.636170643723225,5.796530524936025
2016-12-01,5.6194313433579515,5.844172582227764
2016-12-15,5.629948896936181,5.86522888560173
2017-01-01,5.714692616025398,5.774423233776715
2017-01-15,5.80807891460058,5.757408639722073
2017-02-01,5.76549916484374,5.8534185312318385
2017-02-15,5.752193689028138,5.845122746289084
2017-03-01,5.76315459508666,5.858293137077639
2017-03-15,5.861196332657981,5.887280644250899
2017-04-01,5.928837110631458,5.928171121944518
2017-04-15,6.079054370053745,5.91008200237439
2017-05-01,6.083893311057493,5.933769618058902
2017-05-15,5.980881500846523,5.9740928864708565
2017-06-01,6.01459182757544,5.989883711081047
2017-06-15,5.688290027834117,6.009690004268804
2017-07-01,5.474777111293995,6.073295728690168
2017-07-15,5.462532472239282,6.029379691364929
2017-08-01,5.416722136441101,6.023203484368838
2017-08-15,5.477651372541887,6.06556446453141
2017-09-01,5.480279080286579,6.059360599142846
2017-09-15,5.433135781583236,6.060996296341867
2017-10-01,5.450898467104721,6.079294115126479
2017-10-15,5.44403246461266,6.042708817639776
2017-11-01,5.411591328899088,6.022856007684874
2017-11-15,5.281738231253175,5.981218563507332
2017-12-01,5.235077220363793,5.974129419654204
2017-12-15,5.241253311880692,5.997049812150177
2018-01-01,5.357897063254608,5.9807838502346105
2018-01-15,5.3907923781495715,5.959756232188734
2018-02-01,5.347322780520523,6.06155848236434
2018-02-15,5.258887923850967,6.080973792620386
2018-03-01,5.254202785427384,5.993877811595779
2018-03-15,5.186003984847137,5.946696547966754
2018-04-01,5.136607962555095,5.982593693069759
2018-04-15,5.285397988508652,5.963080083016065
2018-05-01,5.2114667656400835,5.978165869373074
2018-05-15,5.197853192215453,6.0242361882539806
2018-06-01,4.985817556396541,5.958729846514008
2018-06-15,5.09438446268788,5.996751231048378
2018-07-01,5.025513391645289,5.958059278445527
2018-07-15,5.041170232632022,5.927021960450024
2018-08-01,4.888397134079656,5.947411942186758
2018-08-15,4.916389067603962,5.908133208882538
2018-09-01,4.9122411662664645,5.8906584068911645
2018-09-15,4.785862950560118,5.869317746357778
2018-10-01,4.85034721833305,5.896353268839313
2018-10-15,4.9101258398461045,5.885798596994018
2018-11-01,5.09637269505928,5.890149877418732
2018-11-15,5.065030317949494,5.734641646343284
2018-12-01,4.9922619316572865,5.755162258973262
2018-12-15,5.020243995882708,5.85511987255014
2019-01-01,5.177463538409615,5.836734811944047
2019-01-15,5.228470645496867,5.854013175700994
2019-02-01,5.28346871561634,5.910303368174112
2019-02-15,5.367156127707497,5.925561294842738
2019-03-01,5.281200919368427,5.8983086283895005
2019-03-15,5.315883093287069,5.949016025755864
2019-04-01,5.353189561812566,5.946134393623834
2019-04-15,5.587374617670365,5.975209480270325
2019-05-01,5.789448942038557,5.98253617298053
2019-05-15,5.629726330391688,6.016759956921022
2019-06-01,5.520799860898352,5.979533842487524
2019-06-15,5.546362418443445,6.0074873905482375
2019-07-01,,6.127858506551461
2019-07-15,,6.0466557909083525
2019-08-01,,6.127535797362545
2019-08-15,,6.125921638498144
2019-09-01,,6.124307323654025
2019-09-15,,6.122648649807538
2019-10-01,,6.120992722604823
2019-10-15,,6.1197088421962365
2019-11-01,,6.12692720928323
2019-11-15,,6.130131227149029
2019-12-01,,6.128281615454731
2019-12-15,,6.1321637424008015
2020-01-01,,6.130046676134569
2020-01-15,,6.127925118388319
2020-02-01,,6.1264923411749175
2020-02-15,,6.123425169284609
