Date,Masindi,Soroti
2016-01-01,,
2016-01-15,,
2016-02-01,,
2016-02-15,,
2016-03-01,,
2016-03-15,5.749321675046353,
2016-04-01,5.744222189877199,
2016-04-15,5.768514838364622,
2016-05-01,5.767067917751043,
2016-05-15,5.7556450336796825,
2016-06-01,5.76003831041583,
2016-06-15,5.75827196051943,
2016-07-01,5.745138005155248,
2016-07-15,5.746732172140972,
2016-08-01,5.742253776773199,
2016-08-15,5.742379355806811,
2016-09-01,6.0443917344748135,
2016-09-15,6.0388009473109765,
2016-10-01,6.03042545473073,
2016-10-15,6.012178564337852,
2016-11-01,5.9908120879316105,
2016-11-15,5.957754267850688,
2016-12-01,5.9505543844603475,
2016-12-15,5.959831323878339,
2017-01-01,5.953697640081862,
2017-01-15,6.048198643118658,
2017-02-01,6.134535205606046,
2017-02-15,6.127784079959406,5.635845373847415
2017-03-01,6.124489577113207,5.632550871001215
2017-03-15,6.121292687066978,5.791608808453554
2017-04-01,6.1151308672858455,5.862824867282645
2017-04-15,6.354883688438217,5.927802490107859
2017-05-01,6.3454359953062385,5.919009075587126
2017-05-15,6.354372984576003,5.822576736495707
2017-06-01,6.226266351540886,5.7967794350841455
2017-06-15,6.124503715111705,5.630280035160463
2017-07-01,6.122483898456167,5.430325348723161
2017-07-15,6.322586646191995,5.407508770743049
2017-08-01,6.3185081821123745,5.30802271951776
2017-08-15,6.317699905974179,5.366866266073148
2017-09-01,6.310436724590128,5.383759991607632
2017-09-15,6.3089287205934035,5.41348878419944
2017-10-01,6.159197452685268,5.324971673865417
2017-10-15,6.09294639019578,5.342936347741292
2017-11-01,6.096754435110813,5.289075440965589
2017-11-15,6.096423615231827,5.154315200331731
2017-12-01,6.0930990441139725,5.076987976957607
2017-12-15,5.694091677996334,5.1529607047350146
2018-01-01,5.680526165783623,5.214152304588466
2018-01-15,5.842409381144868,5.149262200584922
2018-02-01,5.839799265618317,4.993362360945079
2018-02-15,5.839995909933781,5.187258267711711
2018-03-01,5.900059830945873,5.179917146043915
2018-03-15,5.896287447650069,5.178569006359618
2018-04-01,5.57770024830641,5.126191201696839
2018-04-15,5.575304755982544,5.047672013900172
2018-05-01,5.566226000180676,5.039616508713424
2018-05-15,5.563709162228571,5.111724038485514
2018-06-01,5.5458622527665895,5.029877546190572
2018-06-15,5.524629599794531,4.831482419234586
2018-07-01,5.6625158431961315,4.829302722690667
2018-07-15,5.5559317625192515,4.767474402154981
2018-08-01,5.558402786077907,4.770614098423273
2018-08-15,5.5407693909168145,4.649584580173736
2018-09-01,5.533225900578179,4.637137876021543
2018-09-15,5.832803228683907,4.630512510540956
2018-10-01,5.839586949853373,4.6322584376804645
2018-10-15,5.84284145138766,4.8908326369114254
2018-11-01,5.848587107306206,4.898050796918883
2018-11-15,5.8569590430692235,4.89896928202732
2018-12-01,5.349524937947573,4.853675768371139
2018-12-15,5.356716232503921,4.862754414789935
2019-01-01,5.347515002611756,4.901099290890496
2019-01-15,5.3544504483574284,5.029341970386531
2019-02-01,5.361320841910057,5.109427877309861
2019-02-15,5.560130248617659,5.1775794000323705
2019-03-01,5.547922489204874,5.165598909658404
2019-03-15,5.544055993006281,5.193098072738031
2019-04-01,5.533492954450284,5.210398843775247
2019-04-15,5.528341086086172,5.269517842096371
2019-05-01,5.519785375089453,5.265551236705213
2019-05-15,5.688915201782019,5.523688078347364
2019-06-01,5.6922920157620975,5.322017027050325
2019-06-15,5.705720210627866,5.532984292497268
2019-07-01,5.658828887316167,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,5.445595523276932,
2019-09-15,5.446463486848908,
2019-10-01,5.441869527626314,
2019-10-15,5.436593056800403,
2019-11-01,5.434975517849471,
2019-11-15,5.436627487596057,
2019-12-01,5.480981264860992,
2019-12-15,5.48762048209678,
2020-01-01,5.613902240403721,
2020-01-15,5.615892905502677,
2020-02-01,5.435553883768156,
2020-02-15,5.435249456553208,
