Date,Nairobi,Nakuru
2016-01-01,6.453865457880394,6.269643121194631
2016-01-15,6.453298472352992,6.271738240300797
2016-02-01,6.460715131478347,6.1775682141919575
2016-02-15,6.447810895446418,6.065022496009283
2016-03-01,6.429808608959609,6.163987426248881
2016-03-15,6.432925990142166,6.2555229799993395
2016-04-01,6.21768879223459,6.164652539769697
2016-04-15,6.1302804606328944,6.266657541376189
2016-05-01,6.068851593696824,6.269322468996456
2016-05-15,6.061394558328427,6.260913208783499
2016-06-01,6.053960160964539,6.255232722228788
2016-06-15,6.049685430661399,6.338471865456233
2016-07-01,6.047629444520308,6.33448335957486
2016-07-15,6.045032517901609,6.408322700959061
2016-08-01,6.042985016444914,6.411774645994671
2016-08-15,6.040715615038211,6.346797217954415
2016-09-01,6.041218161086874,6.409113110531074
2016-09-15,6.038109319365788,6.406004268809988
2016-10-01,6.035010112595748,6.402905062039947
2016-10-15,6.03145536521155,6.39935031465575
2016-11-01,6.025698368980438,6.225965838630675
2016-11-15,6.019674076250235,6.220344771712386
2016-12-01,6.013659264887592,6.45054822271013
2016-12-15,6.006442774398269,6.4495104143997155
2017-01-01,6.019180261511463,6.439159412503881
2017-01-15,5.992904959003284,6.491377814802274
2017-02-01,6.013006962359227,6.48015945940407
2017-02-15,6.284362171515853,6.475256959020295
2017-03-01,6.286332567224342,6.492448857128271
2017-03-15,6.241073741814742,6.527492390219751
2017-04-01,6.2926874606843874,6.513609846560578
2017-04-15,6.347440474258508,6.733790312209459
2017-05-01,6.3482033961498265,6.827280321601237
2017-05-15,6.512817315374903,6.832367126674707
2017-06-01,6.607512774506386,6.51886252955458
2017-06-15,6.570821173612569,6.523060158669789
2017-07-01,6.583520571422768,6.523459192397635
2017-07-15,6.521044817391844,6.51976849303224
2017-08-01,6.490850783161839,6.449373265838694
2017-08-15,6.526603953200421,6.588682253264534
2017-09-01,6.591569359577223,6.647203635419596
2017-09-15,6.397758850863217,6.649234530454639
2017-10-01,6.342658879927553,6.530095537388278
2017-10-15,6.369631593449638,6.533480223211691
2017-11-01,6.398875541394341,6.651323114272416
2017-11-15,6.368116483939922,6.6509140830322275
2017-12-01,6.495651511948429,6.616683259191621
2017-12-15,6.357377924436673,6.636010161368536
2018-01-01,6.317256086855823,6.5428810290214185
2018-01-15,6.332725483816878,6.6260861632375025
2018-02-01,6.358103242073966,6.571196457534675
2018-02-15,6.47934895804192,6.5048931310893465
2018-03-01,6.429551372752986,6.47051388598808
2018-03-15,,6.49820502613868
2018-04-01,,6.427546572685042
2018-04-15,,6.430702443773156
2018-05-01,6.201102145321219,6.457837637091864
2018-05-15,6.279078734858332,6.493245287333208
2018-06-01,6.2835597947718185,6.491488023834004
2018-06-15,6.15823870093949,6.465465369464242
2018-07-01,6.499832687846701,6.43717092672199
2018-07-15,6.366634955990751,6.436294272020863
2018-08-01,6.474909100240721,6.432990418353861
2018-08-15,6.49853523115064,6.429675613045191
2018-09-01,6.488495407646785,6.417267898358417
2018-09-15,6.489969424879569,6.41855687214752
2018-10-01,6.493962453213951,6.4225499004819016
2018-10-15,6.425466915017677,6.42881924802643
2018-11-01,6.480611873555382,6.424351125843935
2018-11-15,6.477342641357958,6.411615967657628
2018-12-01,6.408357388521492,6.4090365056953
2018-12-15,6.475518823721275,6.431649536576872
2019-01-01,6.414344634863005,
2019-01-15,6.535353843673951,6.475397051066472
2019-02-01,6.452242129212523,6.418251928983971
2019-02-15,6.41322660876446,6.41322660876446
2019-03-01,6.47229517285478,6.407591212060947
2019-03-15,6.459633077198647,6.395011114949591
2019-04-01,6.480432373574967,6.3234286247653015
2019-04-15,6.446346539522169,6.313983213879818
2019-05-01,6.37428180874592,6.387003774771569
2019-05-15,6.4462920911118236,6.383004351875905
2019-06-01,6.427890515225002,6.381673373869312
2019-06-15,6.436527977286944,6.366455302461724
2019-07-01,6.414684047901625,6.351002057865671
2019-07-15,6.691824166369745,6.252205775936364
2019-08-01,6.619727341583642,6.282418809701479
2019-08-15,6.607407426637899,6.319020384118148
2019-09-01,6.6045325069712995,6.2794359986692605
2019-09-15,6.604461555077824,6.296659512544104
2019-10-01,6.601217905922097,6.274654045926108
2019-10-15,6.599281922458123,6.273126652807842
2019-11-01,6.607869104928533,6.12692720928323
2019-11-15,6.610584272269105,6.130131227149029
2019-12-01,6.609132242999927,6.128281615454731
2019-12-15,6.606325381795201,6.1304956853001045
2020-01-01,6.587843881012934,6.126025836353637
2020-01-15,6.566662998538702,6.127925118388319
2020-02-01,6.5858497995202985,6.1264923411749175
2020-02-15,6.582344297294791,6.121759889965547
