Date,Kasese,Soroti
2016-01-01,6.508758487035613,
2016-01-15,6.539900972981392,
2016-02-01,6.41637566104603,
2016-02-15,6.270091307803748,
2016-03-01,6.2438751272113935,
2016-03-15,6.24103450985885,
2016-04-01,6.23443811228408,
2016-04-15,6.259702368792369,
2016-05-01,6.259461232390936,
2016-05-15,6.19336299942745,
2016-06-01,6.198802832593043,
2016-06-15,6.196332546877046,
2016-07-01,6.1826058443495855,
2016-07-15,6.182094873305326,
2016-08-01,6.17864404255835,
2016-08-15,6.1752025491778495,
2016-09-01,6.169816863283081,
2016-09-15,6.163931282404215,
2016-10-01,6.158550100342805,
2016-10-15,6.137140924237273,
2016-11-01,6.1164181836843134,
2016-11-15,6.194143045914918,
2016-12-01,6.1881343478947315,
2016-12-15,6.187921299127874,
2017-01-01,6.187708295741125,
2017-01-15,6.19883111392946,
2017-02-01,,
2017-02-15,,5.635845373847415
2017-03-01,6.2314759892196685,5.632550871001215
2017-03-15,6.200955643093525,5.791608808453554
2017-04-01,6.09914651097741,5.862824867282645
2017-04-15,6.13484572968216,5.927802490107859
2017-05-01,6.103526461190315,5.919009075587126
2017-05-15,6.215155640961727,5.822576736495707
2017-06-01,6.225378646200745,5.7967794350841455
2017-06-15,6.226016364544902,5.630280035160463
2017-07-01,6.228437709889332,5.430325348723161
2017-07-15,6.229377816873995,5.407508770743049
2017-08-01,6.22409046109107,5.30802271951776
2017-08-15,6.22066563825476,5.366866266073148
2017-09-01,,5.383759991607632
2017-09-15,6.213780602210712,5.41348878419944
2017-10-01,6.280316604863661,5.324971673865417
2017-10-15,6.246378937137598,5.342936347741292
2017-11-01,6.199506340881629,5.289075440965589
2017-11-15,6.151358447078277,5.154315200331731
2017-12-01,6.0930990441139725,5.076987976957607
2017-12-15,6.039056534663201,5.1529607047350146
2018-01-01,5.763362171362772,5.214152304588466
2018-01-15,5.842409381144868,5.149262200584922
2018-02-01,5.8423799122118085,4.993362360945079
2018-02-15,5.807282233814959,5.187258267711711
2018-03-01,,5.179917146043915
2018-03-15,,5.178569006359618
2018-04-01,,5.126191201696839
2018-04-15,,5.047672013900172
2018-05-01,5.61053185190278,5.039616508713424
2018-05-15,5.563709162228571,5.111724038485514
2018-06-01,5.636013349760887,5.029877546190572
2018-06-15,5.524629599794531,4.831482419234586
2018-07-01,5.383910988895467,4.829302722690667
2018-07-15,5.453186604227408,4.767474402154981
2018-08-01,5.176079206531437,4.770614098423273
2018-08-15,5.628345580121404,4.649584580173736
2018-09-01,5.693190550270857,4.637137876021543
2018-09-15,5.7981176706960165,4.630512510540956
2018-10-01,5.902868399800893,4.6322584376804645
2018-10-15,5.77411707231741,4.8908326369114254
2018-11-01,5.491199404962388,4.898050796918883
2018-11-15,5.8569590430692235,4.89896928202732
2018-12-01,5.860350561713563,4.853675768371139
2018-12-15,5.724754935092968,4.862754414789935
2019-01-01,5.858340626377746,4.901099290890496
2019-01-15,5.957985470227687,5.029341970386531
2019-02-01,5.978801689396265,5.109427877309861
2019-02-15,5.96338541107502,5.1775794000323705
2019-03-01,5.920523449914592,5.165598909658404
2019-03-15,6.033927825468742,5.193098072738031
2019-04-01,6.028024938730174,5.210398843775247
2019-04-15,6.074351221965816,5.269517842096371
2019-05-01,6.014149721801372,5.265551236705213
2019-05-15,6.071123447725916,5.523688078347364
2019-06-01,6.215646277211257,5.322017027050325
2019-06-15,6.096919741577207,5.532984292497268
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
