Date,Busia,Kasese
2016-01-01,6.484273434130676,6.465979102746381
2016-01-15,6.5097193815338565,6.364481043498774
2016-02-01,6.487370746174096,6.455550730509163
2016-02-15,6.480575301000738,6.491592672816966
2016-03-01,6.54795668949815,6.500814650959307
2016-03-15,6.549507351979704,6.5661715702829815
2016-04-01,6.504827322206012,6.56363709979081
2016-04-15,6.544519930548691,6.628025456078266
2016-05-01,6.333078952381815,6.737551926612268
2016-05-15,6.351968029604088,6.493901525492754
2016-06-01,6.348159339610958,6.536175751715301
2016-06-15,6.326456781179954,6.5393086464576164
2016-07-01,6.30475379309067,6.5230073591106885
2016-07-15,6.336876534329248,6.525625387246635
2016-08-01,6.333496132248131,6.5629303312726694
2016-08-15,6.44080757466837,6.561512514144189
2016-09-01,6.459829224395914,6.555773996162218
2016-09-15,6.5521888183429535,6.549849635989781
2016-10-01,6.557256755296448,6.542930340016441
2016-10-15,6.472967513574678,6.5236865490992715
2016-11-01,6.362495507720011,6.533567448084982
2016-11-15,6.358446097206194,6.468579891616678
2016-12-01,6.477459806090242,6.462571193596491
2016-12-15,6.52600340998999,6.462358144829634
2017-01-01,6.527799111664322,6.462145141442885
2017-01-15,6.521873300117559,6.494460786202137
2017-02-01,6.5682621866316495,
2017-02-15,6.755208606620563,
2017-03-01,6.8144264820429035,6.58557784270099
2017-03-15,6.836408044213878,6.598182718342347
2017-04-01,6.763172859837966,6.4811770265378295
2017-04-15,6.755151279648352,6.438389706434408
2017-05-01,6.757273450876662,6.431272514122744
2017-05-15,6.5686053536510105,6.515723917055652
2017-06-01,6.45524907719179,6.52673237592274
2017-06-15,6.335859699897743,6.48892797440099
2017-07-01,6.39597073814894,6.491349319745419
2017-07-15,6.452166065288748,6.493243890620956
2017-08-01,6.478555173605915,6.486934950587513
2017-08-15,6.474503260213176,6.483668770360596
2017-09-01,6.490188802656174,
2017-09-15,6.587247809928879,6.477104230830453
2017-10-01,6.499956941318101,6.580822017459036
2017-10-15,6.395096163241861,6.552848923455012
2017-11-01,6.283574874774027,6.465480717573219
2017-11-15,6.212372552833423,6.3859779967870125
2017-12-01,6.209992795585473,6.37978061623217
2017-12-15,6.35076064995387,6.2735519001219
2018-01-01,6.306302535228485,6.373673346343568
2018-01-15,6.359145339474154,6.381191082177448
2018-02-01,6.384164618504159,6.3819132104237015
2018-02-15,6.585852906913254,6.3827299692105095
2018-03-01,6.583474574587587,
2018-03-15,6.551717638267006,
2018-04-01,6.564760051068772,
2018-04-15,6.562364558744907,
2018-05-01,6.631283818798617,6.3868037865875475
2018-05-15,6.258538428971502,6.366752013611734
2018-06-01,6.057030870876536,6.24072322980427
2018-06-15,6.0213704836787825,6.128219253039601
2018-07-01,5.955502967877606,5.964532374597
2018-07-15,5.960273905882792,5.935244157816957
2018-08-01,5.956033494853461,5.9935241037689595
2018-08-15,6.056329551764917,5.825055874367457
2018-09-01,6.05218165042742,5.965538258722532
2018-09-15,6.133655764325432,6.041704423282574
2018-10-01,6.126954902622973,6.048560223574353
2018-10-15,6.132401458663641,6.2689769936693915
2018-11-01,5.996663085586993,6.272174622418519
2018-11-15,5.94231889202038,6.120845377845783
2018-12-01,6.041642782338404,6.147106279305214
2018-12-15,6.064048048055822,6.0478205114340655
2019-01-01,6.19304763747439,6.040662183171701
2019-01-15,6.266651194980059,6.047597628917374
2019-02-01,6.4511225008960125,5.996118139407725
2019-02-15,6.477744607422322,5.993888865368435
2019-03-01,6.470879912437218,5.981960969757094
2019-03-15,6.490652074375765,6.187492853741926
2019-04-01,6.551501210703764,6.183641249773915
2019-04-15,6.604173346422462,6.387632373995921
2019-05-01,6.590809707238734,6.341989667879001
2019-05-15,6.5736796800094,6.343990434392556
2019-06-01,6.473166649246316,6.3825697538940895
2019-06-15,6.457991137211788,6.408733574108865
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
