Date,Mbale,Lira
2016-01-01,6.76639066194905,6.73464196363447
2016-01-15,6.734175636730581,6.70138633216929
2016-02-01,6.700888158736531,6.66698660706085
2016-02-15,6.696305919925822,6.662404368250141
2016-03-01,6.747314433444672,6.712946789940466
2016-03-15,6.749458388940976,6.722118903507407
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,6.757988539003953,6.757988539003953
2016-06-01,6.762637890145943,6.731512427871016
2016-06-15,6.760519296438291,6.728217653680537
2016-07-01,6.746150910424898,6.745590529351113
2016-07-15,6.715923403879571,6.715923403879571
2016-08-01,6.676617289707049,6.680787685980776
2016-08-15,6.676364356488018,6.67576964936374
2016-09-01,6.6686852320788965,6.668386947214642
2016-09-15,6.697623385329846,6.697623385329846
2016-10-01,6.692853496253145,6.697464455431219
2016-10-15,6.735580153255599,6.704187440847737
2016-11-01,6.717010709988137,6.684248913678229
2016-11-15,6.650901448410633,6.581908576923682
2016-12-01,6.642807243899425,6.595790037382714
2016-12-15,6.648837711772252,6.61599849037687
2017-01-01,6.711791512623095,6.61271799992226
2017-01-15,6.710872678054119,6.61245173027075
2017-02-01,6.709960773684591,6.6115778845739985
2017-02-15,6.791406974447403,6.606746473179412
2017-03-01,6.791408202813523,6.634427232787701
2017-03-15,6.867779438137442,6.753383267032442
2017-04-01,6.861353697393771,6.779370668664623
2017-04-15,6.85805959884089,6.859938415739269
2017-05-01,6.899838328598852,6.968891150327122
2017-05-15,6.907855494294352,6.9091968761185525
2017-06-01,6.9176373326995755,6.865173763163835
2017-06-15,6.92138527452351,6.921829028690987
2017-07-01,6.787544980142807,6.8704788795157805
2017-07-15,6.787724085786558,6.87057709975935
2017-08-01,6.836934715764452,6.865286823287116
2017-08-15,6.836416705240865,6.809592370749438
2017-09-01,6.774140160250103,6.80253046041779
2017-09-15,6.772632156253379,6.800774717041625
2017-10-01,6.7690856058741335,6.797284856062186
2017-10-15,6.757807827177755,6.78584228290417
2017-11-01,6.733214621992752,6.671429464873556
2017-11-15,6.6702873847601545,6.67253710449417
2017-12-01,6.669712408417967,6.683936605849349
2017-12-15,6.673427278751277,6.732732116820645
2018-01-01,6.750447961988804,6.806045907371657
2018-01-15,6.813851933094103,6.729409316097958
2018-02-01,6.812846378187989,6.728317712173915
2018-02-15,6.808507341074157,6.72380604951877
2018-03-01,6.803189271207565,6.718761759868983
2018-03-15,6.800368015617292,6.716345244014686
2018-04-01,6.867850748873399,6.789641222281523
2018-04-15,6.864537404259304,6.8136789870258125
2018-05-01,6.8575456956748635,6.805475249509322
2018-05-15,6.777732302408008,6.80437423335443
2018-06-01,6.754796997292776,6.7850564920558885
2018-06-15,6.738691200772804,6.710787310858822
2018-07-01,6.710208041436984,6.710208041436984
2018-07-15,6.711795988525156,6.630692835365181
2018-08-01,6.657572333049655,6.627026971895464
2018-08-15,6.669982120033642,6.61767894313943
2018-09-01,6.684830719386799,6.6880513340868415
2018-09-15,6.622178441338406,6.707851002024013
2018-10-01,6.62735883092655,6.714846285049665
2018-10-15,6.630387026869979,6.71768342595075
2018-11-01,6.6356833059358165,6.722600088969929
2018-11-15,6.551343082166565,6.6462036722139635
2018-12-01,6.553497742273509,6.649929627187033
2018-12-15,6.559872376923301,6.741989664489704
2019-01-01,6.708808061526229,6.7343236347638085
2019-01-15,6.711231924548906,6.736654824225794
2019-02-01,6.71678028325294,6.626156391639695
2019-02-15,6.716636515704671,6.561443626298969
2019-03-01,6.73196556785697,6.55066702905505
2019-03-15,6.782866365657102,6.546800532856458
2019-04-01,6.772208707220093,6.6047997924281265
2019-04-15,6.766029614012011,6.685986906338474
2019-05-01,6.760818003799332,6.710404103204066
2019-05-15,6.761816639324294,6.709876556220062
2019-06-01,,6.709348194898657
2019-06-15,,6.7040999316654295
2019-07-01,,6.703069655055854
2019-07-15,,6.702038315881557
2019-08-01,,6.5465808181910115
2019-08-15,,6.542038955707696
2019-09-01,,6.508357248304117
2019-09-15,,6.541432784238517
2019-10-01,,6.470576119550112
2019-10-15,,6.466997095441979
2019-11-01,,6.462761753948969
2019-11-15,,6.463375215034524
2019-12-01,,6.497322270736219
2019-12-15,,6.6022514199205276
2020-01-01,,6.624948674662949
2020-01-15,,6.627770098437231
2020-02-01,,6.626717729801511
2020-02-15,,6.533861745221318
