Date,Ruhengeri,Kabale
2016-01-01,,
2016-01-15,6.50562523792878,
2016-02-01,6.503047143580043,6.072279499314158
2016-02-15,6.483406056824133,6.067697260503449
2016-03-01,6.4580201100520975,6.052711818346197
2016-03-15,6.457456440841647,
2016-04-01,6.456892453729019,
2016-04-15,6.462072303071183,6.006359077614527
2016-05-01,6.48201783347946,6.024352513018453
2016-05-15,6.4709955425833625,6.064285957152308
2016-06-01,6.488166369510057,6.066660349312275
2016-06-15,6.463807508104889,6.069029117085975
2016-07-01,6.458447379181679,6.054682991384673
2016-07-15,6.447350931226407,6.057291672110086
2016-08-01,6.438136821836177,6.177661241496442
2016-08-15,6.423036955170153,6.177163334119791
2016-09-01,6.3690115594171015,5.9015906574466666
2016-09-15,6.356456231886373,5.897671645539842
2016-10-01,6.331652474601729,6.023680066591198
2016-10-15,6.559723141484033,6.075009143130266
2016-11-01,6.555754696735026,6.174484605077709
2016-11-15,6.553229528387629,6.243649029728372
2016-12-01,6.551947251484816,6.286515678381184
2016-12-15,6.553847944347396,6.340593980701529
2017-01-01,6.517081920501789,6.337553263857171
2017-01-15,6.52435274132019,6.46359099156879
2017-02-01,6.5315710786715595,6.441080021685786
2017-02-15,6.522127577269562,6.456051432526265
2017-03-01,6.522183161762407,6.4534669048607585
2017-03-15,6.5201018861253015,6.485442095386898
2017-04-01,6.515515485816363,6.481520610117915
2017-04-15,6.518057033817434,6.496402150654273
2017-05-01,6.521250074688369,6.507661339637742
2017-05-15,6.526788713120543,6.439371961912164
2017-06-01,6.528241392978615,6.446388484045408
2017-06-15,6.527121795876571,6.452357644645433
2017-07-01,6.270001764617799,6.450869264021452
2017-07-15,6.269718449715492,6.367671386946217
2017-08-01,6.2661675203830525,6.270711842117877
2017-08-15,6.4379223878830025,6.221904564035328
2017-09-01,6.430693375926778,6.310436724590128
2017-09-15,6.423847100351146,6.262485880339603
2017-10-01,6.4156784521236645,6.422139918961293
2017-10-15,6.418378881990462,6.418592104610791
2017-11-01,6.428153102377929,6.201764187855715
2017-11-15,6.442110231792247,6.249502828118477
2017-12-01,6.447115653821153,6.247535397418392
2017-12-15,6.446658961568394,6.249862128999495
2018-01-01,6.44550278363884,6.085991273891787
2018-01-15,6.66639972299033,6.094010137273113
2018-02-01,6.665556242267333,6.094982170677143
2018-02-15,6.653528021350251,6.116338155702188
2018-03-01,6.647125655227941,6.09620787791807
2018-03-15,6.567165796597321,6.0788112493633095
2018-04-01,6.556607222265402,6.174703568313453
2018-04-15,6.552153935329803,6.172308075989587
2018-05-01,6.545299083577082,6.164398515114918
2018-05-15,6.577327017651522,6.161546162984192
2018-06-01,6.581307349783808,5.980069829740408
2018-06-15,6.588628186049293,5.884794948673032
2018-07-01,6.443662159889547,5.774541030599691
2018-07-15,6.30853676777172,5.649097005083259
2018-08-01,6.215869930156011,5.647919383584474
2018-08-15,6.216417855764743,5.628345580121404
2018-09-01,6.221521898296405,5.435020376845396
2018-09-15,6.223895348136615,5.521269940409946
2018-10-01,6.558875204169727,5.529888746837217
2018-10-15,6.558483377216077,5.530633836766078
2018-11-01,6.3133790251117405,5.665766672976337
2018-11-15,6.31920672423058,5.754070716556787
2018-12-01,6.32505006800594,5.7913576902266115
2018-12-15,6.357588311440344,5.8667251963633555
2019-01-01,6.354537327342481,5.859574432826674
2019-01-15,6.402870006198416,5.864459412216863
2019-02-01,6.228662758230336,5.870525719778315
2019-02-15,6.305736287337746,5.934202644317961
2019-03-01,6.293313736597789,5.921674860519634
2019-03-15,6.311894659943936,5.8524256050581895
2019-04-01,6.359232513843745,5.841175693608735
2019-04-15,6.354311257207092,5.933806194194336
2019-05-01,6.34346772741762,6.012072877856533
2019-05-15,6.365224448873203,6.014656836058145
2019-06-01,6.372879909203983,6.017236747212243
2019-06-15,6.338091346842648,6.027516276777158
2019-07-01,6.26279948004413,6.029588666448613
2019-07-15,6.181373788143128,
2019-08-01,6.1915422473988455,6.033720605727233
2019-08-15,6.181631142572043,6.031416811441848
2019-09-01,6.1700700639371195,6.033179779515269
2019-09-15,6.16846996068873,6.0322279063702595
2019-10-01,6.168585027892757,6.029250595280933
2019-10-15,6.149723470608057,5.840836417658244
2019-11-01,6.114116662344021,5.839218878707314
2019-11-15,6.208614611052379,5.839656540906341
2019-12-01,6.1950563117216415,5.837656208799724
2019-12-15,6.171024132620832,5.842217143333874
2020-01-01,6.146400156533514,5.869442146111687
2020-01-15,6.138014488237756,5.871924323661721
2020-02-01,6.21544223691667,5.696518567881224
2020-02-15,6.216882961569769,5.696214140666276
