Date,Mbale,Kampala
2016-01-01,,6.003333416449622
2016-01-15,,6.007031667686231
2016-02-01,,6.023765894143638
2016-02-15,,
2016-03-01,,6.056416972618743
2016-03-15,,6.062626852386032
2016-04-01,,6.09072285150714
2016-04-15,,6.139226924669675
2016-05-01,,6.144191047856933
2016-05-15,6.125694585280951,6.181575043675408
2016-06-01,6.097763169405871,6.134167266475048
2016-06-15,6.069029117085975,6.131081105653541
2016-07-01,6.149586336358325,6.085522439767753
2016-07-15,5.990600297611413,5.988219344105672
2016-08-01,6.052661965810316,6.011723901415866
2016-08-15,6.090790989056548,6.04544923422998
2016-09-01,,6.0455047006442335
2016-09-15,6.1629465457416766,6.1061937291492265
2016-10-01,6.1590428325528235,6.15657674005763
2016-10-15,6.076076948891097,6.135130873309249
2016-11-01,6.075212876056446,6.122531294927363
2016-11-15,6.151910282291645,6.140075824644642
2016-12-01,6.183377283779265,6.158082002828329
2016-12-15,,6.19681024654512
2017-01-01,,6.242566656293172
2017-01-15,,6.336532113449884
2017-02-01,,6.286929341858527
2017-02-15,6.327378349052819,6.233440409848054
2017-03-01,6.325294744437323,6.303271015773716
2017-03-15,6.321873636062836,6.367273182820459
2017-04-01,6.313997973116691,6.31628120553039
2017-04-15,6.313607988105986,
2017-05-01,6.4301943469023986,
2017-05-15,6.436508681502148,
2017-06-01,6.2258225973734085,
2017-06-15,6.22956876614927,
2017-07-01,6.2275476341741385,5.939568693678022
2017-07-15,5.941103502770316,5.941103502770316
2017-08-01,5.936110990867579,5.934920514536505
2017-08-15,5.933629195808209,5.900443646822555
2017-09-01,5.928200534367122,5.930573014720752
2017-09-15,5.989968378186867,5.887946763794555
2017-10-01,5.985112557957192,5.840978656373405
2017-10-15,5.974660715674831,5.767369358556267
2017-11-01,5.914833599620557,5.771640296084297
2017-11-15,5.915600186058894,5.770193600100865
2017-12-01,6.198809498536087,5.7673689040246625
2017-12-15,6.201628316886867,5.771605357997039
2018-01-01,6.191351789549613,5.797635573930532
2018-01-15,5.912089301782857,5.76750807297175
2018-02-01,5.909653092819234,5.839799265618317
2018-02-15,5.906063544885857,5.837415263340288
2018-03-01,5.900059830945873,5.863064243269277
2018-03-15,5.896287447650069,5.898711691261576
2018-04-01,5.8876329296930106,6.011644827736443
2018-04-15,5.882789455730505,6.039038772214684
2018-05-01,5.875485673277005,6.030339835370349
2018-05-15,6.155975117934736,6.112200288881037
2018-06-01,6.139918530682304,6.038338737864384
2018-06-15,6.347915185539579,5.927760984556476
2018-07-01,6.340348788783034,5.877725266834921
2018-07-15,5.9568974254661855,5.866086690823091
2018-08-01,5.869226387091382,5.803379821293796
2018-08-15,5.852730596523678,5.78338317796689
2018-09-01,5.838607550129361,5.771224552883313
2018-09-15,6.015755899414871,6.014703821464067
2018-10-01,6.020651435457276,6.075711212640304
2018-10-15,6.023490766989252,6.078438463773156
2018-11-01,6.029452908409985,6.135021518959832
2018-11-15,6.145259736017071,6.093868790147582
2018-12-01,6.148032634165344,6.148032634165344
2018-12-15,6.154407268815136,6.154407268815136
2019-01-01,6.147872838117689,6.194812862998959
2019-01-15,6.152141484668644,6.246782991763333
2019-02-01,6.158207792230096,6.253849702009266
2019-02-15,6.155978518190804,6.297009093784002
2019-03-01,6.144588235748122,6.288425456447108
2019-03-15,6.14072173954953,6.323656981542247
2019-04-01,6.133180094494065,6.357432088559859
2019-04-15,6.346750768733793,6.463373999770067
2019-05-01,6.34869360360119,6.545509948009071
2019-05-15,6.343990434392556,6.559342516862992
2019-06-01,,6.558645794350314
2019-06-15,,6.546114490297316
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
