Date,Mombasa,Makueni
2016-01-01,6.510348452723836,
2016-01-15,6.512443571830001,
2016-02-01,6.5051668940491805,
2016-02-15,6.486796342159372,
2016-03-01,6.467850472622874,
2016-03-15,6.418961449791793,
2016-04-01,6.434097024671697,
2016-04-15,6.418221566890035,
2016-05-01,6.510998268439593,
2016-05-15,6.459490436330043,
2016-06-01,6.390116989918731,
2016-06-15,6.478089829715817,
2016-07-01,6.474929481231673,
2016-07-15,6.394379794990048,
2016-08-01,6.331220952106643,
2016-08-15,6.328674810950266,
2016-09-01,6.329453177981828,
2016-09-15,6.3263443362607426,
2016-10-01,6.323245129490702,
2016-10-15,6.318860850744129,
2016-11-01,6.312825964012967,
2016-11-15,6.308189135005908,
2016-12-01,6.301897975260787,
2016-12-15,6.296493690708409,
2017-01-01,6.285248857542706,
2017-01-15,6.264838674486926,
2017-02-01,6.410486547088463,
2017-02-15,6.4058284525885325,
2017-03-01,6.405557564197626,6.656551736270831
2017-03-15,6.4523627935944035,6.645415885178283
2017-04-01,6.450679519091376,6.634353341135345
2017-04-15,6.509884662547683,6.735312768732915
2017-05-01,6.537753230175887,6.731601410229312
2017-05-15,6.5502048474465235,6.736595585847204
2017-06-01,6.551652352377571,6.734485810897574
2017-06-15,6.557713227970057,6.742384481917004
2017-07-01,6.52377822254869,6.7472407022661764
2017-07-15,6.51976849303224,6.7431674395719465
2017-08-01,6.383011590139608,6.7370553382904745
2017-08-15,6.392438244030685,6.745553560513844
2017-09-01,6.396774625959364,6.677380799888984
2017-09-15,6.244333597255657,6.604218274501613
2017-10-01,6.247502534443969,6.65915264961788
2017-10-15,6.246964084433779,6.626096818197707
2017-11-01,6.244724861567083,6.520860943021803
2017-11-15,6.242903364724629,6.529735458374706
2017-12-01,6.240239006851858,6.461852075765458
2017-12-15,6.23111307372438,6.454597282510799
2018-01-01,6.224582180579566,6.4480663893659855
2018-01-15,6.156309008910638,6.448058883581744
2018-02-01,6.16126506241307,6.455416761446466
2018-02-15,6.152532412788772,6.504262415205933
2018-03-01,6.146536176566175,6.501148061962706
2018-03-15,6.210731656599062,6.617864821807924
2018-04-01,6.204069187283272,6.597779332159993
2018-04-15,6.205901891251317,6.608599214586755
2018-05-01,6.201930989131619,6.425240226801937
2018-05-15,6.20224095268945,6.389127779914979
2018-06-01,6.118045356294245,6.169429555640725
2018-06-15,6.0272104385330865,6.2880350568149845
2018-07-01,5.9241206079338875,6.21402737540778
2018-07-15,6.1272894301002605,6.34934345888069
2018-08-01,6.125748708343024,6.212608833725317
2018-08-15,6.118854240198191,6.207530896506882
2018-09-01,6.113801958205374,6.280856042868541
2018-09-15,6.115959268939291,6.282531112115966
2018-10-01,6.119952297273673,
2018-10-15,6.119029349841629,6.285872856467305
2018-11-01,6.016190598314098,6.353241036743845
2018-11-15,6.006829976723273,6.3811788911074805
2018-12-01,6.003571397587136,6.408357388521492
2018-12-15,6.005895591360872,6.410684338266384
2019-01-01,6.007195741208013,6.380426543535858
2019-01-15,6.006149756156551,6.3492245716654345
2019-02-01,6.012121706118997,6.343018118729653
2019-02-15,6.008424410856243,6.344612596914546
2019-03-01,6.0008016004478915,6.406929179597177
2019-03-15,5.990880229854564,6.397677783196507
2019-04-01,5.9869563881440895,6.391087273239116
2019-04-15,6.160550666938001,6.384698738678216
2019-05-01,6.163527500113747,6.4394939573929655
2019-05-15,6.159860800561695,6.56421417981717
2019-06-01,6.159528657331003,6.564438980404133
2019-06-15,6.1496851831051575,6.554031096916307
2019-07-01,6.35918506211072,6.575448427740122
2019-07-15,6.532306310935747,6.596416658228198
2019-08-01,,6.621920866600269
2019-08-15,,6.646790754638274
2019-09-01,,6.633762145286237
2019-09-15,,6.634672185926927
2019-10-01,,6.633117094690096
2019-10-15,,6.631559581377472
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
