Date,Makueni,Arusha
2016-01-01,,5.3161332504449055
2016-01-15,,5.313708138404248
2016-02-01,5.672257771114077,5.30891085511358
2016-02-15,5.607201430095136,5.731657082610951
2016-03-01,,5.7245594047698205
2016-03-15,5.462824809370439,5.721962954176504
2016-04-01,5.333949816285504,5.617142605034944
2016-04-15,5.349462241371606,5.400440642658901
2016-05-01,5.481943663473394,5.399964071637734
2016-05-15,5.472726447798502,5.39768511652383
2016-06-01,5.467497122992928,5.296231023149782
2016-06-15,5.462340657061212,5.291335463523213
2016-07-01,5.536619845038593,5.395121450512922
2016-07-15,5.533469158949079,5.3918837370684916
2016-08-01,5.533082327677524,5.357856917668446
2016-08-15,5.5313670964152335,5.39836341672408
2016-09-01,5.567668428834388,5.403761418458451
2016-09-15,5.564559587113302,5.43679595632625
2016-10-01,5.559682602097261,5.44444472114339
2016-10-15,5.624883450128195,5.534579538846854
2016-11-01,5.619678783453023,5.649944168589701
2016-11-15,5.614208968142071,5.75282669928617
2016-12-01,5.607915721583421,5.794338779709701
2016-12-15,5.601256645229004,5.827777437084094
2017-01-01,5.593780938502481,5.869704669993074
2017-01-15,5.723653190756857,5.930973454855508
2017-02-01,5.852145456585041,5.986426665467563
2017-02-15,5.845122746289084,6.031250271040776
2017-03-01,5.844499814945302,
2017-03-15,5.834345209659806,6.11528598802862
2017-04-01,5.824267363044296,6.111559480006191
2017-04-15,6.04216558817297,6.268523178429757
2017-05-01,6.038454229669367,6.261541545051247
2017-05-15,6.139219946114761,6.1877713548258875
2017-06-01,6.135997253363657,6.183889545754441
2017-06-15,6.144547481161383,6.006220888349961
2017-07-01,6.063235281664326,5.7846371836482176
2017-07-15,5.827897636831899,5.497595701740491
2017-08-01,5.821020721157123,5.514044262101511
2017-08-15,5.829008084019791,5.499299789558962
2017-09-01,5.748807832035669,5.4992076023025565
2017-09-15,5.661610234310085,5.412854321800954
2017-10-01,5.649511699367608,5.408898442850501
2017-10-15,5.661378385458679,
2017-11-01,5.585025615074678,
2017-11-15,5.58235413943052,
2017-12-01,5.5796897815577475,
2017-12-15,5.571469864395836,
2018-01-01,5.478975420118808,
2018-01-15,5.461348591226512,5.380760254795821
2018-02-01,5.533103930409219,5.54110921613512
2018-02-15,5.493764995402652,5.53579587677543
2018-03-01,5.488603902297297,5.4499121698897035
2018-03-15,5.519252533139814,5.259386746576515
2018-04-01,5.478688512148342,5.257175820927511
2018-04-15,5.482449361196043,5.25021947087972
2018-05-01,5.326627938133827,5.3430828702914175
2018-05-15,5.329098957286026,5.34498329758997
2018-06-01,5.1552346087851975,5.391339105961063
2018-06-15,5.1597098708283635,5.253218435175246
2018-07-01,5.164205250909102,5.031718853651894
2018-07-15,5.174496609311817,4.900092483650358
2018-08-01,5.161121429907578,4.902001142312378
2018-08-15,5.156043492689143,4.901519197262282
2018-09-01,5.241962988902053,4.739282205158855
2018-09-15,5.288499750771752,4.9023315780284715
2018-10-01,5.288858747214537,4.969585316326035
2018-10-15,5.289217614825124,5.029941707869589
2018-11-01,5.327083827291157,5.028424999593834
2018-11-15,5.31777835669995,5.025798518342362
2018-12-01,5.308385480337343,5.136507602734529
2018-12-15,5.310717953250545,5.188366307921746
2019-01-01,5.311860916860842,5.218885617578165
2019-01-15,5.313002575596607,5.184950383554069
2019-02-01,5.35619723604966,5.114944618859133
2019-02-15,5.315277230296298,5.1628664932766215
2019-03-01,5.309640517859576,5.1313885312131235
2019-03-15,5.301725070564156,5.128853674501414
2019-04-01,5.252987213063888,5.141140312830274
2019-04-15,5.469077126936084,5.2216896097719925
2019-05-01,5.3670513864582405,5.240051789536639
2019-05-15,5.620864299829009,5.213997725698514
2019-06-01,5.618866877279254,5.3096563986669185
2019-06-15,5.608769295986667,
2019-07-01,5.600296329069907,
2019-07-15,5.591750957061961,
2019-08-01,5.636546245502639,
2019-08-15,5.679420655000553,5.685438107137704
2019-09-01,5.72055307994949,5.746956373572211
2019-09-15,5.742961432185641,5.686171358715641
2019-10-01,5.7166284147808275,5.807795590512352
2019-10-15,5.68958317226612,5.688434236107429
2019-11-01,,5.8231600757326785
2019-11-15,,5.766461912362339
2019-12-01,,5.777758201997086
2019-12-15,,5.792303295626933
2020-01-01,,5.871977938997037
2020-01-15,,5.808464115211822
2020-02-01,,6.042551197210232
2020-02-15,,5.823283862802259
