Date,Mombasa,Arusha
2016-01-01,5.663050592336632,5.3161332504449055
2016-01-15,5.665145711442798,5.313708138404248
2016-02-01,5.672257771114077,5.30891085511358
2016-02-15,5.651678900329039,5.731657082610951
2016-03-01,5.616937775018008,5.7245594047698205
2016-03-15,5.559612094317776,5.721962954176504
2016-04-01,5.508948156693528,5.617142605034944
2016-04-15,5.6263395456444005,5.400440642658901
2016-05-01,5.628726783762941,5.399964071637734
2016-05-15,5.623469969304146,5.39768511652383
2016-06-01,5.648495052856374,5.296231023149782
2016-06-15,5.645324684896288,5.291335463523213
2016-07-01,5.642164336412144,5.395121450512922
2016-07-15,5.701232614430102,5.3918837370684916
2016-08-01,5.7330818821748855,5.357856917668446
2016-08-15,5.75819389314574,5.39836341672408
2016-09-01,5.732670950171132,5.403761418458451
2016-09-15,5.6348541569084265,5.43679595632625
2016-10-01,5.726462901680004,5.44444472114339
2016-10-15,5.720646562679751,5.534579538846854
2016-11-01,5.715593832472825,5.649944168589701
2016-11-15,5.709519147946396,5.75282669928617
2016-12-01,5.7042127310879,5.794338779709701
2016-12-15,5.698466882606674,5.827777437084094
2017-01-01,5.828932639445087,5.869704669993074
2017-01-15,5.8083487644079135,5.930973454855508
2017-02-01,5.798502773635724,5.986426665467563
2017-02-15,5.894760727380856,6.031250271040776
2017-03-01,5.893770863952085,
2017-03-15,5.931263106852228,6.11528598802862
2017-04-01,6.044876058755317,6.111559480006191
2017-04-15,6.040135130622588,6.268523178429757
2017-05-01,6.08743755590237,6.261541545051247
2017-05-15,6.156595783368672,6.1877713548258875
2017-06-01,6.106228931967803,6.183889545754441
2017-06-15,6.10914137552613,6.006220888349961
2017-07-01,6.0124208253056635,5.7846371836482176
2017-07-15,6.0093684917455406,5.497595701740491
2017-08-01,5.798358695976124,5.514044262101511
2017-08-15,5.8025463916065,5.499299789558962
2017-09-01,5.731476442585433,5.4992076023025565
2017-09-15,5.615090218675191,5.412854321800954
2017-10-01,5.585998293645282,5.408898442850501
2017-10-15,5.647585063326344,
2017-11-01,5.648741429460785,
2017-11-15,5.643752455676265,
2017-12-01,5.546241847490208,
2017-12-15,5.569821059405653,
2018-01-01,5.594161829927926,
2018-01-15,5.625046498777687,5.380760254795821
2018-02-01,5.6259706148010675,5.54110921613512
2018-02-15,5.562411186352244,5.53579587677543
2018-03-01,5.488603902297297,5.4499121698897035
2018-03-15,5.481896746596045,5.259386746576515
2018-04-01,5.478688512148342,5.257175820927511
2018-04-15,5.442339363857878,5.25021947087972
2018-05-01,5.404987014890031,5.3430828702914175
2018-05-15,5.476969285325734,5.34498329758997
2018-06-01,5.51190955272393,5.391339105961063
2018-06-15,5.516384814767096,5.253218435175246
2018-07-01,5.451887323360883,5.031718853651894
2018-07-15,5.452128345910097,4.900092483650358
2018-08-01,5.298810832680764,4.902001142312378
2018-08-15,5.247015270894869,4.901519197262282
2018-09-01,5.197511226331219,4.739282205158855
2018-09-15,5.288499750771752,4.9023315780284715
2018-10-01,5.110171222312179,4.969585316326035
2018-10-15,5.106058887618105,5.029941707869589
2018-11-01,5.198150143915265,5.028424999593834
2018-11-15,5.274217653954362,5.025798518342362
2018-12-01,5.348390814951041,5.136507602734529
2018-12-15,5.3505638617977445,5.188366307921746
2019-01-01,5.352724675040466,5.218885617578165
2019-01-15,5.352533414353242,5.184950383554069
2019-02-01,5.360036012356825,5.114944618859133
2019-02-15,5.313287179888288,5.1628664932766215
2019-03-01,5.344731837670846,5.1313885312131235
2019-03-15,5.336953762447899,5.128853674501414
2019-04-01,5.476130764378098,5.141140312830274
2019-04-15,5.755085558829836,5.2216896097719925
2019-05-01,5.807565399260921,5.240051789536639
2019-05-15,5.729077884469241,5.213997725698514
2019-06-01,5.7270804619194875,5.3096563986669185
2019-06-15,5.743380796726998,
2019-07-01,5.771672679766035,
2019-07-15,5.7694321342994135,
2019-08-01,5.747388497238671,
2019-08-15,5.746629404694002,5.685438107137704
2019-09-01,5.743367757715662,5.746956373572211
2019-09-15,5.743795460590952,5.686171358715641
2019-10-01,5.74005315666646,5.807795590512352
2019-10-15,5.7270849619597355,5.688434236107429
2019-11-01,,5.8231600757326785
2019-11-15,,5.766461912362339
2019-12-01,,5.777758201997086
2019-12-15,,5.792303295626933
2020-01-01,,5.871977938997037
2020-01-15,5.645532246460546,5.808464115211822
2020-02-01,5.592702952799393,6.042551197210232
2020-02-15,5.6137081930822825,5.823283862802259
