Date,Kasese,Kabale
2016-01-01,6.465979102746381,
2016-01-15,6.364481043498774,
2016-02-01,6.455550730509163,6.295423050628368
2016-02-15,6.491592672816966,6.33963097598709
2016-03-01,6.500814650959307,6.382956279182296
2016-03-15,6.5661715702829815,
2016-04-01,6.56363709979081,
2016-04-15,6.628025456078266,6.50269341560243
2016-05-01,6.737551926612268,6.503787797190775
2016-05-15,6.493901525492754,6.492454347237289
2016-06-01,6.536175751715301,6.472515929533271
2016-06-15,6.5393086464576164,6.452171869756241
2016-07-01,6.5230073591106885,6.437522699974859
2016-07-15,6.525625387246635,6.439879352700918
2016-08-01,6.5629303312726694,6.389134202431529
2016-08-15,6.561512514144189,6.430977627840387
2016-09-01,6.555773996162218,6.428850818889928
2016-09-15,6.549849635989781,6.50782808209396
2016-10-01,6.542930340016441,6.4799119157424165
2016-10-15,6.5236865490992715,6.417643672446016
2016-11-01,6.533567448084982,6.34109351982701
2016-11-15,6.468579891616678,6.302693955570999
2016-12-01,6.462571193596491,6.3335195478242525
2016-12-15,6.462358144829634,6.342206234174506
2017-01-01,6.462145141442885,6.421323146922631
2017-01-15,6.494460786202137,6.464300966749482
2017-02-01,,6.502108774148268
2017-02-15,,6.587004931372394
2017-03-01,6.58557784270099,6.633834815708763
2017-03-15,6.598182718342347,6.726530663318947
2017-04-01,6.4811770265378295,6.720004499754594
2017-04-15,6.438389706434408,6.656533335384918
2017-05-01,6.431272514122744,
2017-05-15,6.515723917055652,6.516054988073409
2017-06-01,6.52673237592274,6.443179353104459
2017-06-15,6.48892797440099,6.324637137223121
2017-07-01,6.491349319745419,6.367735363778243
2017-07-15,6.493243890620956,6.368444483235205
2017-08-01,6.486934950587513,6.362183245615036
2017-08-15,6.483668770360596,6.404374389789448
2017-09-01,,6.3987978115970465
2017-09-15,6.477104230830453,6.513422950125465
2017-10-01,6.580822017459036,6.5463250251397
2017-10-15,6.552848923455012,6.458426674196753
2017-11-01,6.465480717573219,6.29596660706919
2017-11-15,6.3859779967870125,6.203880881695268
2017-12-01,6.37978061623217,6.222371379818112
2017-12-15,6.2735519001219,6.296693428683594
2018-01-01,6.373673346343568,6.286661969353938
2018-01-15,6.381191082177448,6.294862998688951
2018-02-01,6.3819132104237015,6.338144228160699
2018-02-15,6.3827299692105095,6.3996116978692035
2018-03-01,,6.500152563173861
2018-03-15,,
2018-04-01,,6.675200808121829
2018-04-15,,6.529313441476528
2018-05-01,6.3868037865875475,
2018-05-15,6.366752013611734,6.152243770321878
2018-06-01,6.24072322980427,6.040432979467499
2018-06-15,6.128219253039601,6.019240557420958
2018-07-01,5.964532374597,6.025553480922692
2018-07-15,5.935244157816957,6.048408247617045
2018-08-01,5.9935241037689595,6.052364603791893
2018-08-15,5.825055874367457,6.0358789412936265
2018-09-01,5.965538258722532,6.128167557405342
2018-09-15,6.041704423282574,6.121431822739718
2018-10-01,6.048560223574353,6.126011951115102
2018-10-15,6.2689769936693915,6.023490766989252
2018-11-01,6.272174622418519,5.972722878040985
2018-11-15,6.120845377845783,5.982413349222258
2018-12-01,6.147106279305214,6.042672118507518
2018-12-15,6.0478205114340655,6.0478205114340655
2019-01-01,6.040662183171701,6.194812862998959
2019-01-15,6.047597628917374,6.246782991763333
2019-02-01,5.996118139407725,6.252189950590901
2019-02-15,5.993888865368435,6.297009093784002
2019-03-01,5.981960969757094,6.368100043372883
2019-03-15,6.187492853741926,6.403227657108837
2019-04-01,6.183641249773915,6.470444201289956
2019-04-15,6.387632373995921,6.465912139744723
2019-05-01,6.341989667879001,
2019-05-15,6.343990434392556,6.456785928537901
2019-06-01,6.3825697538940895,6.4220114859453865
2019-06-15,6.408733574108865,6.473885511556254
2019-07-01,,6.474538856465902
2019-07-15,,
2019-08-01,,6.475844267099233
2019-08-15,,6.473176897223744
2019-09-01,,6.544207811945042
2019-09-15,,6.609614296654589
2019-10-01,,6.635017531270527
2019-10-15,,6.630626519223781
2019-11-01,,6.533587806517581
2019-11-15,,6.531583465061057
2019-12-01,,6.532022158553799
2019-12-15,,6.537183057344531
2020-01-01,,6.5939690076751125
2020-01-15,,6.597481748372421
2020-02-01,,6.627822092144564
2020-02-15,,
