Date,Owino,Mbale
2016-01-01,6.549089386259068,6.345177196872746
2016-01-15,6.577317384946351,6.368214610247294
2016-02-01,6.518566601942577,6.3907332304326925
2016-02-15,6.535536160018683,6.408623847474042
2016-03-01,6.677355844837763,6.523607660487864
2016-03-15,6.605846195190644,6.517100976959076
2016-04-01,6.540388189406946,
2016-04-15,6.552406136343881,
2016-05-01,6.591873480460989,
2016-05-15,6.615933575438553,6.490642424291848
2016-06-01,6.449038453929686,6.454689250657641
2016-06-15,6.477066337580395,6.4774332427395285
2016-07-01,6.437522699974859,6.482272895773473
2016-07-15,6.44215294216079,6.39527238426644
2016-08-01,6.436160547191164,6.388736192476026
2016-08-15,6.5423232365565624,6.474834526055797
2016-09-01,6.556107830249778,6.512793301594033
2016-09-15,6.589533478879123,6.509919403873958
2016-10-01,6.5743119407576085,6.541251078496721
2016-10-15,6.398114045424532,6.441994004612874
2016-11-01,6.381882860752917,6.327946247462975
2016-11-15,6.43848880487973,6.306900945368628
2016-12-01,6.500073397992073,6.419141635669155
2016-12-15,6.509105407369265,6.468766141124965
2017-01-01,6.6114883655834955,6.503766816133705
2017-01-15,6.61245173027075,6.503275976301969
2017-02-01,6.607299149439882,6.541146258015762
2017-02-15,6.749134376931457,6.76255386524853
2017-03-01,6.788620214694112,6.816896839030441
2017-03-15,6.867545437902375,6.867779438137442
2017-04-01,6.861353697393771,6.861353697393771
2017-04-15,6.856648166002482,6.856648166002482
2017-05-01,6.848876293235224,6.845083920830362
2017-05-15,6.515723917055652,6.745994329735111
2017-06-01,6.443179353104459,6.627582076102239
2017-06-15,6.369176518407709,6.529804686986427
2017-07-01,6.451225325979993,6.527619245638013
2017-07-15,6.491195409194483,6.528099966129934
2017-08-01,6.4869349505875125,6.523633227923906
2017-08-15,6.484474118132993,6.55863096255904
2017-09-01,6.516910499473327,6.620159360657688
2017-09-15,6.618651356660965,6.437993100713827
2017-10-01,6.615360439861219,6.259280911242251
2017-10-15,6.39917401875369,6.199612585745824
2017-11-01,6.382430488835728,6.42589957911418
2017-11-15,6.299680577704196,6.425946653131482
2017-12-01,6.35930208488863,6.4220430143143945
2017-12-15,6.424592157534765,6.424951546577268
2018-01-01,6.413767803545446,6.413767803545446
2018-01-15,6.459265399242641,6.420989997139264
2018-02-01,6.460625784598636,6.420960528206205
2018-02-15,6.566099178177021,6.416406543159853
2018-03-01,6.602245940175688,6.411853508998498
2018-03-15,6.620500447784904,6.406870323508568
2018-04-01,6.734581445098495,6.397480079799721
2018-04-15,6.745720776779637,6.395084587475855
2018-05-01,6.722959450631854,6.3868037865875475
2018-05-15,6.386170099468836,6.386170099468836
2018-06-01,6.1455842682179815,6.363062081996514
2018-06-15,6.172172096591272,6.122466600550152
2018-07-01,6.157100877128949,6.126039556495682
2018-07-15,6.153768763274872,6.151915194625549
2018-08-01,6.156908459543163,6.156908459543163
2018-08-15,6.140722794578813,6.13979212908586
2018-09-01,6.223818801333028,6.124408154481436
2018-09-15,6.216999989388145,6.123322182470887
2018-10-01,6.309119362566396,6.020651435457276
2018-10-15,6.223781017326023,6.129583232279798
2018-11-01,6.137826569887441,6.135021518959832
2018-11-15,6.1471133046663935,6.145259736017071
2018-12-01,6.148032634165344,6.148032634165344
2018-12-15,6.154407268815136,6.154407268815136
2019-01-01,6.2906039276406345,6.148796625712253
2019-01-15,6.373813365371398,6.152141484668644
2019-02-01,6.418604935085321,6.158207792230096
2019-02-15,6.455001152190991,6.155978518190804
2019-03-01,6.445987944428703,6.144588235748122
2019-03-15,6.546800532856458,6.14072173954953
2019-04-01,6.602490322579463,6.135026817087231
2019-04-15,6.626953374754281,6.529444834379141
2019-05-01,6.680488463777335,6.676752137039459
2019-05-15,6.671897308154846,6.527554999426108
2019-06-01,6.492660443927318,
2019-06-15,6.558265308079828,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
