Date,Bujumbura,Kamembe
2016-01-01,,
2016-01-15,6.4099424650643755,
2016-02-01,6.435996596255957,
2016-02-15,6.348172399006937,
2016-03-01,6.382063202701174,
2016-03-15,6.384470066621803,
2016-04-01,6.383578783891911,
2016-04-15,6.392427514520984,
2016-05-01,6.391122613207465,
2016-05-15,6.3799540125709004,
2016-06-01,6.381324011181014,
2016-06-15,6.294328440669742,
2016-07-01,6.291162180916988,
2016-07-15,6.293289131414813,
2016-08-01,6.261580633978465,
2016-08-15,6.286532413014185,
2016-09-01,6.234242066633157,
2016-09-15,6.236944848155689,
2016-10-01,6.2433045935956155,
2016-10-15,6.226839979942042,
2016-11-01,6.266997953362095,
2016-11-15,6.303719798123241,
2016-12-01,6.382681564745592,
2016-12-15,6.2799813352747575,
2017-01-01,6.36171654536242,
2017-01-15,6.328433922018801,
2017-02-01,6.378461541908261,
2017-02-15,6.451861115047146,
2017-03-01,6.363847492527741,
2017-03-15,6.436018226750321,6.002764318330901
2017-04-01,6.402640360883782,5.950063258882491
2017-04-15,6.3833170161163695,5.913286848401468
2017-05-01,6.401238716504002,6.008843422925059
2017-05-15,6.392607679864729,6.083340281377958
2017-06-01,6.364492385832153,6.110012869741412
2017-06-15,6.445190089887184,6.043120302970567
2017-07-01,6.368698180250854,5.915727360489298
2017-07-15,6.401886615130556,5.980944674098517
2017-08-01,6.359505559938616,5.934649562188009
2017-08-15,6.348017285349268,5.953098566656013
2017-09-01,6.333729537411165,5.920779329252172
2017-09-15,6.401476898379788,5.938681223365733
2017-10-01,6.35803667319391,6.051144921572411
2017-10-15,6.315421780838095,5.990472439409617
2017-11-01,6.315125981471372,6.048502540783727
2017-11-15,6.344935101405027,6.060320959369367
2017-12-01,6.321867974543461,6.082332963151574
2017-12-15,6.330552384438835,6.087586893029941
2018-01-01,6.33491731345092,6.087828339367025
2018-01-15,6.251811614470395,5.966518510249041
2018-02-01,6.253744180498596,5.961743790811702
2018-02-15,6.162705658667675,5.947367927319533
2018-03-01,6.235654109619366,5.884663982208585
2018-03-15,6.0781370986349925,5.928085837307651
2018-04-01,6.156989801028658,5.918735722337301
2018-04-15,6.103285116076679,5.9655757297892515
2018-05-01,6.14997223171691,5.945807822725435
2018-05-15,6.104601771333063,5.987410426491579
2018-06-01,5.998759269717267,5.791782436978431
2018-06-15,6.001569962002519,5.643575735241475
2018-07-01,6.008515448312788,5.66841395188991
2018-07-15,6.013429460769287,5.667230462478968
2018-08-01,6.013221048288945,5.669014842810803
2018-08-15,6.025353893664446,5.599089511762149
2018-09-01,6.015785911428745,5.630890281262055
2018-09-15,5.961076267891132,5.637645962553383
2018-10-01,6.062622841698749,5.6382727933029635
2018-10-15,6.034035061099077,5.776417385708099
2018-11-01,6.025971552662597,5.743441589368264
2018-11-15,6.030120936209408,5.773881088446245
2018-12-01,6.0311555974501845,5.720749849060107
2018-12-15,6.022429655949189,5.7491633042758945
2019-01-01,5.97869050955864,5.697430083265733
2019-01-15,5.961872692839739,5.683133371449232
2019-02-01,5.958045865373105,5.677690066450933
2019-02-15,5.946550497420114,5.636156576181714
2019-03-01,6.114685372918901,5.651380229421331
2019-03-15,6.105520464663054,5.639541451558705
2019-04-01,6.143657365611633,5.665345961715921
2019-04-15,6.237133137248348,5.721440569652407
2019-05-01,6.121408098846977,5.697584887052424
2019-05-15,5.9905164945242255,5.616632357291462
2019-06-01,6.057037342675233,5.678284502467673
2019-06-15,,5.616044816719354
2019-07-01,,
2019-07-15,,
2019-08-01,6.286104405803979,
2019-08-15,6.236307092661265,
2019-09-01,6.230981185340506,
2019-09-15,6.309352845747182,
2019-10-01,6.308958139916151,
2019-10-15,6.3802080070540015,
2019-11-01,6.410015193937758,
2019-11-15,6.472700067524004,
2019-12-01,6.432391133708617,
2019-12-15,6.42275481551915,
2020-01-01,6.4118040116330866,
2020-01-15,6.407996653214448,
2020-02-01,6.3995772528199355,
2020-02-15,6.3989622314685,
