Date,Kampala,Busia
2016-01-01,6.424434666971581,6.318462984402514
2016-01-15,6.548953959601279,6.337440950762077
2016-02-01,6.500184393944528,6.316188099802063
2016-02-15,6.494874353063846,6.312043019468261
2016-03-01,6.618917840292188,6.3872553915217
2016-03-15,6.6108579266410885,6.358921285335857
2016-04-01,6.4525903644475,6.336599528487916
2016-04-15,6.552406136343881,6.403138777787544
2016-05-01,6.565444617365182,6.135943578426915
2016-05-15,6.614492537642149,6.318066477928407
2016-06-01,6.281417529383605,6.292744691025658
2016-06-15,6.477066337580395,6.364133904030523
2016-07-01,6.436759632406356,6.233923744733619
2016-07-15,6.39447873343113,6.283766709015299
2016-08-01,6.448236165626591,6.2642628327982495
2016-08-15,6.540622266593799,6.279482992071245
2016-09-01,6.556107830249778,6.318338482369976
2016-09-15,6.60864234057717,6.419610623769823
2016-10-01,6.577396609166684,6.4160879355427145
2016-10-15,6.398114045424532,6.319295131018286
2016-11-01,6.274648420418857,6.168196797178696
2016-11-15,6.300161239991715,6.188487988431572
2016-12-01,6.461141600786897,6.261066817385763
2016-12-15,6.506716735358224,6.318982538170334
2017-01-01,6.504280558759954,6.34400489913866
2017-01-15,6.540788747110095,6.426697114685671
2017-02-01,6.5395087924460205,6.4436084680391446
2017-02-15,6.638017812616078,6.5005031950970995
2017-03-01,6.6202616339528095,6.536507788619762
2017-03-15,6.693659996484432,6.542105035181455
2017-04-01,6.743012470263224,6.573984859087074
2017-04-15,6.788462071485471,6.566451950177369
2017-05-01,6.795052188323606,6.626442213394548
2017-05-15,6.457610625961792,6.320739745217466
2017-06-01,6.29567321599587,6.2572799749626205
2017-06-15,6.254304622917901,6.1697472348898375
2017-07-01,6.348590414901033,6.304228302247334
2017-07-15,6.431339459747963,6.324607257103773
2017-08-01,6.42795934562421,6.366576585153397
2017-08-15,6.425462546345036,6.384156553993323
2017-09-01,6.4602948054482185,6.391725383085202
2017-09-15,6.494082567364871,6.376299531708487
2017-10-01,6.483104503385116,6.340108240376205
2017-10-15,6.234672755335146,6.173066404506129
2017-11-01,6.187225085769094,6.055848936770209
2017-11-15,6.097422616313912,6.0010634591662155
2017-12-01,6.173064825751855,5.998788364642731
2017-12-15,6.273969872959751,6.138586130010234
2018-01-01,6.263249528729196,6.13140875358258
2018-01-15,6.247874489253032,6.139071629404233
2018-02-01,6.03517053161397,5.902397921938062
2018-02-15,6.08959064733516,5.972560340355643
2018-03-01,6.089719210280764,5.971310039734474
2018-03-15,6.078305560351269,5.929703444569913
2018-04-01,6.2691793717656585,5.982053627561884
2018-04-15,6.065927672431015,5.944566815426748
2018-05-01,6.059447919528419,6.015461771344169
2018-05-15,5.937244533949354,5.970295975445936
2018-06-01,5.746454978558903,5.730182953450687
2018-06-15,5.779434433015206,5.732268964572776
2018-07-01,5.830679903144867,5.701268829493364
2018-07-15,5.831546365570914,5.735724872959848
2018-08-01,5.869226387091382,5.732889943539251
2018-08-15,5.852730596523678,5.756427367978361
2018-09-01,6.023432237141434,5.752279466640863
2018-09-15,6.015229998797965,5.835325298116617
2018-10-01,6.020651435457276,5.843348709775264
2018-10-15,5.874903383847323,5.717511210095894
2018-11-01,5.85480216770964,5.6865081572831535
2018-11-15,5.714904871582719,5.760906013162644
2018-12-01,5.825810236461387,5.856639982317028
2018-12-15,5.8667251963633555,5.844419438849057
2019-01-01,6.040662183171701,5.912407847648022
2019-01-15,6.046576699783267,5.9005644168589795
2019-02-01,6.081429216198022,5.95560904299699
2019-02-15,6.2170324166826445,6.019313963734245
2019-03-01,6.157397194040704,6.039841405289059
2019-03-15,6.18924878044419,6.08777932027933
2019-04-01,6.271091897581063,6.103159078239208
2019-04-15,6.369587856970138,6.345259344147123
2019-05-01,6.422032375552536,6.316250169677425
2019-05-15,6.418737860900371,6.258334989814062
2019-06-01,6.3256648576115895,6.12786287825786
2019-06-15,6.409434590611459,6.065788822982034
2019-07-01,6.432292617934824,
2019-07-15,,
2019-08-01,6.476498503301829,
2019-08-15,6.360449731425417,
2019-09-01,6.51024344817173,
2019-09-15,6.510547067972552,
2019-10-01,6.471228222605499,
2019-10-15,6.465689050781964,
2019-11-01,6.351998582235302,
2019-11-15,6.348529039051449,
2019-12-01,6.125947851523352,
2019-12-15,6.1329286031372625,
2020-01-01,6.248141634158375,
2020-01-15,6.351441379945331,
2020-02-01,6.530523181157765,
2020-02-15,6.598400266358889,
