Date,Eldoret,Tororo
2016-01-01,6.538658906772202,6.191026517045488
2016-01-15,6.529172917320767,6.270550272921105
2016-02-01,6.51955563150128,6.344213214797799
2016-02-15,6.53488598090611,6.33963097598709
2016-03-01,6.53182892653774,6.3912827831916825
2016-03-15,6.519937367131795,6.3362568312128476
2016-04-01,6.530522031793268,
2016-04-15,6.53609093223957,
2016-05-01,6.493903835080293,
2016-05-15,6.5050349898044715,6.079721765282146
2016-06-01,6.444225717881967,6.134167266475048
2016-06-15,6.461392527092208,6.290847287159116
2016-07-01,6.430019468513708,6.290276681284751
2016-07-15,6.395938641759339,6.294792179027007
2016-08-01,6.331220952106643,6.436160547191164
2016-08-15,6.242796321812628,6.518242265563295
2016-09-01,6.146136100946372,6.514882438844119
2016-09-15,6.144022779466788,6.547504969030527
2016-10-01,6.289086210679383,6.541587156469973
2016-10-15,6.285960371729812,6.441994004612874
2016-11-01,6.346366940428526,6.374409866289913
2016-11-15,6.3718946698395875,6.245436340302469
2016-12-01,6.424307650057613,6.238087458923326
2016-12-15,6.446280553346781,6.297315023835952
2017-01-01,6.583172424046684,6.380702644998204
2017-01-15,6.534502241436029,6.423005711453711
2017-02-01,6.545929377058253,6.463255465422941
2017-02-15,6.599941747504524,6.456406483124705
2017-03-01,6.571169687543891,6.455593811015265
2017-03-15,6.6261299782917,6.558496210449027
2017-04-01,6.632098548748255,6.555653119439313
2017-04-15,6.676841000277581,6.586390305376328
2017-05-01,6.681428444588674,6.645468105605275
2017-05-15,6.630670895280196,6.477932645340147
2017-06-01,6.46740213682927,6.223600867954746
2017-06-15,6.455382450293878,6.124503715111705
2017-07-01,6.447926613611896,6.126432570911583
2017-07-15,6.520406858837512,6.22804477957373
2017-08-01,6.514167901717069,6.270286038406951
2017-08-15,6.569427747474398,6.316891171599328
2017-09-01,6.577767760361235,6.356367204467341
2017-09-15,6.605398215641461,6.396547692538435
2017-10-01,6.53518460689575,6.392812303866773
2017-10-15,6.596665618023489,6.294347746024714
2017-11-01,6.532406934018864,5.978282284313611
2017-11-15,6.601106452266625,5.9514758358243025
2017-12-01,6.643719706087706,6.036528692625579
2017-12-15,6.66402319759621,6.097564753573258
2018-01-01,6.629479268223722,6.139101099205735
2018-01-15,6.730823608269944,6.199470848312016
2018-02-01,6.599317818520078,5.9749443426336715
2018-02-15,6.558296429881377,5.970300452388205
2018-03-01,6.504285811634673,6.025080533902487
2018-03-15,6.444833311921062,5.960901815425774
2018-04-01,6.440809366563453,5.9515600169992435
2018-04-15,6.388776086909848,5.9491645246753775
2018-05-01,6.40041506732291,5.939870241677762
2018-05-15,6.415687052987334,5.938402611669982
2018-06-01,6.328011557342653,5.636013349760887
2018-06-15,6.2880350568149845,5.696111735973429
2018-07-01,6.290988416543908,5.683569252393964
2018-07-15,6.238801584480866,5.601992535895786
2018-08-01,6.20509314072808,5.800758587813922
2018-08-15,6.120670771124589,5.788688230196583
2018-09-01,6.122851793725292,5.9064301464681215
2018-09-15,6.125927634220183,5.896394331465438
2018-10-01,6.1380033289192415,5.902868399800893
2018-10-15,6.138903536048712,5.701762853127754
2018-11-01,6.09405092008637,5.6229466757934095
2018-11-15,6.08326285547492,5.634743279049029
2018-12-01,6.115225711302146,5.6372070103993535
2018-12-15,6.152775626974193,5.642355403325902
2019-01-01,6.173549572973473,5.863266744713802
2019-01-15,6.235724197801051,5.871785452308936
2019-02-01,6.197432801761317,5.870525719778315
2019-02-15,6.20701450490747,6.050212405285479
2019-03-01,6.1679321464789885,6.039841405289059
2019-03-15,6.220403388132812,6.1388784210552405
2019-04-01,6.2477810064259875,6.133180094494065
2019-04-15,6.299511181271283,6.266086904446707
2019-05-01,6.31744045261313,6.378677568257577
2019-05-15,6.34218235735565,6.261581745912932
2019-06-01,6.424066418786598,6.262089117465058
2019-06-15,6.412952498656401,6.242826351629383
2019-07-01,6.478031235502504,
2019-07-15,6.539132276006147,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
