Date,Soroti,Mbale
2016-01-01,,5.380096300829159
2016-01-15,,5.315108037028888
2016-02-01,,5.24560092612969
2016-02-15,,5.28347200357132
2016-03-01,,5.291061483717872
2016-03-15,,5.334696527843346
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,,5.492372641406479
2016-06-01,,5.5871529054176285
2016-06-15,,5.55801951760426
2016-07-01,,5.518558680276081
2016-07-15,,5.458544154826388
2016-08-01,,5.426834949349819
2016-08-15,,5.404544618028637
2016-09-01,,5.454821743197266
2016-09-15,,5.529090150862232
2016-10-01,,5.532587026491551
2016-10-15,,5.554161960903257
2016-11-01,,5.6617284787816615
2016-11-15,,5.73312151298501
2016-12-01,,5.757206829097955
2016-12-15,,5.732843320098814
2017-01-01,,5.704078414783624
2017-01-15,,5.685238653062714
2017-02-01,,5.687940930497865
2017-02-15,5.722318971851242,5.722318971851242
2017-03-01,5.779300962010302,5.874231226657774
2017-03-15,5.934618135666965,5.999119475863482
2017-04-01,6.056455533668441,5.996356259907167
2017-04-15,6.052053768235239,5.991297558814167
2017-05-01,6.044489561326891,5.983435180334269
2017-05-15,5.993799400221612,6.022404210803276
2017-06-01,6.00134660082542,5.938288464858283
2017-06-15,5.716820491491519,5.629472606775861
2017-07-01,5.53261792194791,5.373399411927151
2017-07-15,5.372561740665815,5.372561740665815
2017-08-01,5.422704208118649,5.368581761113166
2017-08-15,5.418839245740309,5.526976439104388
2017-09-01,5.520357303853989,5.567445339952891
2017-09-15,5.417449185415537,5.467556005469715
2017-10-01,5.354824637015098,5.294200015198664
2017-10-15,5.342936347741292,5.399799209635835
2017-11-01,5.157147897923041,5.221686419060612
2017-11-15,5.149173800831313,5.151747804826485
2017-12-01,5.146349104755109,5.147636934939538
2017-12-15,5.222295398136079,5.1529607047350146
2018-01-01,5.144123700227983,5.138928883350879
2018-01-15,5.149262200584922,5.149262200584922
2018-02-01,5.149232731651864,5.149232731651864
2018-02-15,5.1722953950349995,5.144268082780344
2018-03-01,5.179917146043915,5.139302426889725
2018-03-15,5.178569006359618,5.132759470328324
2018-04-01,5.126191201696839,5.126191201696839
2018-04-15,5.047672013900172,5.123795709372973
2018-05-01,5.039616508713424,5.039616508713424
2018-05-15,5.111724038485514,5.106418986255821
2018-06-01,5.029877546190572,5.088471710456624
2018-06-15,4.998536503897752,5.072644476051474
2018-07-01,4.913103824050048,5.067713746135665
2018-07-15,4.666220668449808,4.852632210495289
2018-08-01,4.549307094916364,4.576458083982315
2018-08-15,4.649584580173736,4.603064564538843
2018-09-01,4.637137876021543,4.637137876021543
2018-09-15,4.514828111541494,4.630512510540956
2018-10-01,4.562665145881269,4.562665145881269
2018-10-15,4.705910298417414,4.74422916271955
2018-11-01,4.706655943919254,4.752465479950549
2018-11-15,4.723078615563656,4.943140500340458
2018-12-01,4.944059829839408,4.944059829839408
2018-12-15,4.949208222765956,4.949208222765956
2019-01-01,5.019239533194721,5.127453117834954
2019-01-15,5.029341970386531,5.131306897043219
2019-02-01,5.109427877309861,5.135136234020068
2019-02-15,5.270238230515075,5.279048860197229
2019-03-01,5.400438500735804,5.289896626335981
2019-03-15,5.223509773156054,5.286030130137388
2019-04-01,5.210398843775247,5.27784012457078
2019-04-15,5.528341086086172,5.61253317730652
2019-05-01,5.523180964090592,5.609203151428446
2019-05-15,6.016729375660117,5.6081538451375605
2019-06-01,5.803827158986369,
2019-06-15,5.532984292497268,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
