Date,Machakos,Eldoret
2016-01-01,6.6438798453483585,6.5975990927843515
2016-01-15,6.645974964454524,6.529172917320767
2016-02-01,6.653087024125803,6.542853543726102
2016-02-15,6.639896049740655,6.575399588706978
2016-03-01,6.631078370601248,6.566243885146357
2016-03-15,6.562791194386278,6.562791194386278
2016-04-01,6.558673564716479,6.572123666604727
2016-04-15,6.642141817272417,6.64089880903282
2016-05-01,6.644353091804366,6.633790707182643
2016-05-15,6.636621028557028,6.6083439324601665
2016-06-01,6.628910312900068,6.565447817194299
2016-06-15,6.6244969367003845,6.573465456687939
2016-07-01,6.623821061543903,6.489935121849543
2016-07-15,6.61970505201614,6.455646589205965
2016-08-01,6.618032368987572,6.394382903282802
2016-08-15,6.616356883402047,6.2974354618860255
2016-09-01,6.617135250433609,6.242893982776978
2016-09-15,6.614036043663568,6.292614325884049
2016-10-01,6.6109272019424825,6.323245129490702
2016-10-15,6.606127899326081,6.351516813718182
2016-11-01,6.600716001527368,6.3927406716863295
2016-11-15,6.595038221153797,6.387398856375553
2016-12-01,6.588744974595147,6.427257504704034
2016-12-15,6.582190495280729,6.48159495742286
2017-01-01,6.57314099196354,6.618715381050426
2017-01-15,6.620523118161618,6.596195810441369
2017-02-01,6.665761376585466,6.58279703260344
2017-02-15,6.656900779427753,6.634620509036087
2017-03-01,6.656551736270831,6.642439167868435
2017-03-15,6.645415885178283,6.688841229613597
2017-04-01,6.634071769966371,6.690197077351437
2017-04-15,6.91999799368795,6.735312768732915
2017-05-01,6.91290825359272,6.732615095060158
2017-05-15,6.918917142641159,6.831905765651529
2017-06-01,6.9164661289917495,6.690545688143479
2017-06-15,6.921298880389344,6.693505028047079
2017-07-01,6.840693871323289,6.642163593156939
2017-07-15,6.637693422977616,6.637693422977616
2017-08-01,6.632377649562559,6.632377649562559
2017-08-15,6.642341637789341,6.63866360280412
2017-09-01,6.632941201237457,6.61629104235757
2017-09-15,,6.649234530454639
2017-10-01,,6.630725493818413
2017-10-15,,6.6387771033736165
2017-11-01,,6.604964871670312
2017-11-15,,6.627477743147643
2017-12-01,,6.723849723317328
2017-12-15,,6.742109040732414
2018-01-01,,6.733019947164562
2018-01-15,6.544106889292635,6.785883385452971
2018-02-01,6.633950856878744,6.744265597927602
2018-02-15,6.623656490330998,6.730807116111072
2018-03-01,6.642193578858994,6.701018483002359
2018-03-15,6.672984121029003,6.6886338926961315
2018-04-01,6.695339231698333,6.695339231698333
2018-04-15,6.7157319947758065,6.589572339532062
2018-05-01,6.6354442258711,6.585901899199114
2018-05-15,6.566953392770506,6.582430915839419
2018-06-01,6.426866061584948,6.540337784534935
2018-06-15,6.556072424785176,6.473177489950581
2018-07-01,6.475108766062382,6.421041544792106
2018-07-15,6.498915566713621,6.367348986724408
2018-08-01,6.357925744754901,6.309279455127117
2018-08-15,6.352847807536467,6.284368678675764
2018-09-01,6.488495407646785,6.2793163966829475
2018-09-15,6.490604189903722,6.300100662450232
2018-10-01,6.492708534554357,6.3317383350390655
2018-10-15,6.494862660343422,6.315544108809236
2018-11-01,6.489478302761023,6.271993364470966
2018-11-15,6.4760695667111605,6.252926015396951
2018-12-01,6.534558994643471,6.282559986496706
2018-12-15,6.570425394098724,6.305925055153349
2019-01-01,6.582929713837039,6.43036633939427
2019-01-15,6.595279604605138,6.407574454727711
2019-02-01,6.6012381584511175,6.433428729692819
2019-02-15,6.5957691844564295,6.399875275589595
2019-03-01,6.589250736391131,6.44589514813056
2019-03-15,6.616283758327989,6.460883859100299
2019-04-01,6.679103068370451,6.539691414987289
2019-04-15,6.670370760201973,6.599507788191578
2019-05-01,6.682706090693324,6.694449336342189
2019-05-15,6.694891113024504,6.709907137480967
2019-06-01,6.669688502111016,6.767628949632836
2019-06-15,6.7561260042163465,6.76523353529331
2019-07-01,6.74937695063103,
2019-07-15,6.742582037638564,
2019-08-01,6.786871164936991,
2019-08-15,6.829281673783383,
2019-09-01,6.795380463594158,
2019-09-15,6.774277960220293,
2019-10-01,6.7944061888226805,
2019-10-15,6.81413725291223,
2019-11-01,6.736288078998341,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
