Date,Masindi,Ruhengeri
2016-01-01,,
2016-01-15,,6.283217251193524
2016-02-01,,6.279903592265833
2016-02-15,,6.260076476302802
2016-03-01,,6.234497842581117
2016-03-15,6.123251474202466,6.294194544742304
2016-04-01,6.060442530899319,6.3505274176451865
2016-04-15,6.07692304133352,6.356295554316818
2016-05-01,6.077322641474356,6.380077795136465
2016-05-15,6.064285957152308,6.349003142985581
2016-06-01,6.070042738305509,6.3633161666305815
2016-06-15,6.068293011053473,6.289103919590747
2016-07-01,6.054682991384673,6.350349206799406
2016-07-15,6.056735343862079,6.302376311379542
2016-08-01,6.052104707506678,6.291961155137457
2016-08-15,6.052130773563463,6.279249062378441
2016-09-01,6.1069795792240145,6.257052652046707
2016-09-15,6.10306056731719,6.2517427560440675
2016-10-01,6.095489048077792,6.226291958943903
2016-10-15,6.077143615658899,6.215248861663603
2016-11-01,6.173519819667611,6.27304775892336
2016-11-15,6.142057985848633,6.2909486980697835
2016-12-01,6.133074570711704,6.38580526356713
2016-12-15,6.141759257364711,6.386651314105039
2017-01-01,6.136612844860007,6.38749933791425
2017-01-15,6.135574564806038,6.37628657758218
2017-02-01,6.134535205606046,6.364946664171547
2017-02-15,6.127784079959406,6.355993085751263
2017-03-01,6.124489577113207,6.355643362824861
2017-03-15,6.121292687066978,6.353732811193225
2017-04-01,6.113643140753075,6.348489997501445
2017-04-15,6.161144161349006,6.257646079570573
2017-05-01,6.202184605937016,6.2586330136575645
2017-05-15,6.354372984576003,6.264677101509373
2017-06-01,6.361349334856827,6.265813714959627
2017-06-15,6.124503715111705,6.263995578232334
2017-07-01,6.122483898456167,6.164504459410481
2017-07-15,6.123622512423043,6.164539768770413
2017-08-01,6.118333395413176,6.160488584088879
2017-08-15,6.116939383429103,6.256489932812973
2017-09-01,6.1101261299601,6.248098183886897
2017-09-15,6.108122953880963,6.2412519083112645
2017-10-01,6.104634076604516,6.23363083040881
2017-10-15,6.09294639019578,6.2355023862255505
2017-11-01,6.096754435110813,6.244994375170911
2017-11-15,6.096423615231827,6.259788674998292
2017-12-01,6.093598919155624,6.360040835118575
2017-12-15,5.913047367970069,6.359139583551838
2018-01-01,5.902456860672624,6.3578554765800845
2018-01-15,5.842409381144868,6.358377966301426
2018-02-01,5.839799265618317,6.3550967145094175
2018-02-15,5.839995909933781,6.342913076171015
2018-03-01,5.902478211810154,6.337635569559889
2018-03-15,5.828507432588327,6.328197204138714
2018-04-01,5.8876329296930106,6.315005363352365
2018-04-15,5.8852374373691445,6.311321603195794
2018-05-01,5.91239643131641,6.303806393594676
2018-05-15,,6.3091539525461995
2018-06-01,,6.312222270177028
2018-06-15,,6.1185064163344025
2018-07-01,,6.008281777512261
2018-07-15,,5.996031662122927
2018-08-01,,5.994437243245431
2018-08-15,,6.107053903247108
2018-09-01,,6.104732686814956
2018-09-15,,6.117584713642469
2018-10-01,,6.222280034362545
2018-10-15,,6.221517800673659
2018-11-01,,6.220750869475664
2018-11-15,,6.226731638465731
2018-12-01,,6.268354724329394
2018-12-15,,6.266689120611705
2019-01-01,,6.281604857851449
2019-01-15,6.287738756600155,6.31453254494073
2019-02-01,6.253849702009266,6.228662758230336
2019-02-15,6.379122069505014,6.210744022017104
2019-03-01,6.305033192846769,6.229199753781177
2019-03-15,6.343399460271448,6.224954026826148
2019-04-01,6.350019156170734,6.237561664348352
2019-04-15,6.386200734524484,6.211437970741141
2019-05-01,,6.196981814994793
2019-05-15,,6.224587488212667
2019-06-01,,6.197768188976779
2019-06-15,,6.156069595177607
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
