Date,Masindi,Busia
2016-01-01,6.465225239159982,6.484273434130676
2016-01-15,6.455271570344619,6.5097193815338565
2016-02-01,6.458589092132568,6.487370746174096
2016-02-15,6.492322866350689,6.480575301000738
2016-03-01,6.679165800083002,6.54795668949815
2016-03-15,6.679861549024396,6.549507351979704
2016-04-01,6.676941645377108,6.504827322206012
2016-04-15,6.702156046269875,6.544519930548691
2016-05-01,6.7014573486616476,6.333078952381815
2016-05-15,6.696148575961132,6.351968029604088
2016-06-01,6.689633670863659,6.348159339610958
2016-06-15,6.497408484717015,6.326456781179954
2016-07-01,6.482272895773473,6.30475379309067
2016-07-15,6.506644149537146,6.336876534329248
2016-08-01,6.523361731526907,6.333496132248131
2016-08-15,6.523105074728996,6.44080757466837
2016-09-01,6.593452490785948,6.459829224395914
2016-09-15,6.588568383098891,6.5521888183429535
2016-10-01,6.501129119006803,6.557256755296448
2016-10-15,6.47904873424721,6.472967513574678
2016-11-01,6.279218116108922,6.362495507720011
2016-11-15,6.300161239991715,6.358446097206194
2016-12-01,6.420259995524769,6.477459806090242
2016-12-15,6.429318290751434,6.52600340998999
2017-01-01,6.422438596006496,6.527799111664322
2017-01-15,6.502437728059688,6.521873300117559
2017-02-01,6.576508348170308,6.5682621866316495
2017-02-15,6.569405482771316,6.755208606620563
2017-03-01,6.5664279873774465,6.8144264820429035
2017-03-15,6.597569785439308,6.836408044213878
2017-04-01,6.590755438475138,6.763172859837966
2017-04-15,6.586698709388025,6.755151279648352
2017-05-01,6.578006596294953,6.757273450876662
2017-05-15,6.5860404154731125,6.5686053536510105
2017-06-01,6.591907192610265,6.45524907719179
2017-06-15,6.451292870809253,6.335859699897743
2017-07-01,6.41053682201548,6.39597073814894
2017-07-15,6.527440987522891,6.452166065288748
2017-08-01,6.525614734516767,6.478555173605915
2017-08-15,6.592977142183737,6.474503260213176
2017-09-01,6.586298810232551,6.490188802656174
2017-09-15,6.5810939443545005,6.587247809928879
2017-10-01,6.259280911242251,6.499956941318101
2017-10-15,6.247240634735078,6.395096163241861
2017-11-01,6.100754440444159,6.283574874774027
2017-11-15,6.096423615231827,6.212372552833423
2017-12-01,6.0930990441139725,6.209992795585473
2017-12-15,6.201628316886867,6.35076064995387
2018-01-01,6.191351789549613,6.306302535228485
2018-01-15,6.534912024138188,6.359145339474154
2018-02-01,6.534237601941882,6.384164618504159
2018-02-15,6.530562443900234,6.585852906913254
2018-03-01,6.487981003885049,6.583474574587587
2018-03-15,6.519704661279193,6.551717638267006
2018-04-01,6.511175804934666,6.564760051068772
2018-04-15,6.510090070492864,6.562364558744907
2018-05-01,6.536089306104479,6.631283818798617
2018-05-15,5.804871219045459,6.258538428971502
2018-06-01,5.787024309583478,6.057030870876536
2018-06-15,6.012823423100325,6.0213704836787825
2018-07-01,6.010643726556405,5.955502967877606
2018-07-15,5.866086690823091,5.960273905882792
2018-08-01,6.050321702162092,5.956033494853461
2018-08-15,6.0338106882295675,6.056329551764917
2018-09-01,6.022390027562991,6.05218165042742
2018-09-15,6.014703821464067,6.133655764325432
2018-10-01,6.020651435457276,6.126954902622973
2018-10-15,6.023490766989252,6.132401458663641
2018-11-01,6.27462060814678,5.996663085586993
2018-11-15,6.094844876120637,5.94231889202038
2018-12-01,6.042672118507518,6.041642782338404
2018-12-15,6.049863413063866,6.064048048055822
2019-01-01,6.194812862998959,6.19304763747439
2019-01-15,6.373813365371398,6.266651194980059
2019-02-01,6.382810133007966,6.4511225008960125
2019-02-15,6.456353417441004,6.477744607422322
2019-03-01,6.368100043372883,6.470879912437218
2019-03-15,6.364233547174291,6.490652074375765
2019-04-01,6.469124069085033,6.551501210703764
2019-04-15,6.530685529327375,6.604173346422462
2019-05-01,6.558233536804122,6.590809707238734
2019-05-15,6.790396932878082,6.5736796800094
2019-06-01,6.5634534959184165,6.473166649246316
2019-06-15,6.511285099155636,6.457991137211788
2019-07-01,6.5223567013969665,
2019-07-15,,
2019-08-01,6.544138814535459,
2019-08-15,6.473830705681163,
2019-09-01,6.624670775981141,
2019-09-15,6.639834839297474,
2019-10-01,6.6941109837239425,
2019-10-15,6.536425601873741,
2019-11-01,6.532366059267259,
2019-11-15,6.531583465061057,
2019-12-01,6.626113569163994,
2019-12-15,6.690208244650055,
2020-01-01,6.685214353074378,
2020-01-15,6.686768439199186,
2020-02-01,6.714465483849453,
2020-02-15,6.715172690509349,
