Date,Kabale,Kasese
2016-01-01,,6.59185124559715
2016-01-15,,6.6156565153423
2016-02-01,6.072279499314158,6.538369229238757
2016-02-15,6.067697260503449,6.3094171973905935
2016-03-01,6.052711818346197,6.343958585768376
2016-03-15,,6.346395025516676
2016-04-01,,6.339563748316634
2016-04-15,6.006359077614527,6.368854314887885
2016-05-01,6.024352513018453,6.364867492656624
2016-05-15,6.064285957152308,6.302427584043952
2016-06-01,6.066660349312275,6.308085776465766
2016-06-15,6.069029117085975,6.304022708317681
2016-07-01,6.054682991384673,6.294245815492255
2016-07-15,6.057291672110086,6.267673380011114
2016-08-01,6.177661241496442,6.290076460134158
2016-08-15,6.177163334119791,6.286970364640864
2016-09-01,5.9015906574466666,6.28124928085889
2016-09-15,5.897671645539842,6.275131015811402
2016-10-01,6.023680066591198,6.269905425364633
2016-10-15,6.075009143130266,6.2491060871399045
2016-11-01,6.174484605077709,6.227078885024721
2016-11-15,6.243649029728372,6.294226504471901
2016-12-01,6.286515678381184,6.288217806451714
2016-12-15,6.340593980701529,6.288004757684856
2017-01-01,6.337553263857171,6.287791754298108
2017-01-15,6.46359099156879,6.285826489962831
2017-02-01,6.441080021685786,
2017-02-15,6.456051432526265,
2017-03-01,6.4534669048607585,6.279907416560918
2017-03-15,6.485442095386898,6.276007303184382
2017-04-01,6.481520610117915,6.218606555244162
2017-04-15,6.496402150654273,6.262058753777611
2017-05-01,6.507661339637742,6.257534701020181
2017-05-15,6.439371961912164,6.310628435613145
2017-06-01,6.446388484045408,6.347297581401177
2017-06-15,6.452357644645433,6.3668608091521115
2017-07-01,6.450869264021452,6.369282154496541
2017-07-15,6.367671386946217,6.369988885086579
2017-08-01,6.270711842117877,6.407006548223583
2017-08-15,6.221904564035328,6.403286631758883
2017-09-01,6.310436724590128,
2017-09-15,6.262485880339603,6.395805026332744
2017-10-01,6.422139918961293,6.432204705577433
2017-10-15,6.418592104610791,6.418592104610791
2017-11-01,6.201764187855715,6.362657981567863
2017-11-15,6.249502828118477,6.252072422680107
2017-12-01,6.247535397418392,6.247963754674888
2017-12-15,6.249862128999495,6.15000395148156
2018-01-01,6.085991273891787,6.310346212392294
2018-01-15,6.094010137273113,6.336602604861716
2018-02-01,6.094982170677143,6.147625904162566
2018-02-15,6.116338155702188,6.090058919852007
2018-03-01,6.09620787791807,
2018-03-15,6.0788112493633095,
2018-04-01,6.174703568313453,
2018-04-15,6.172308075989587,
2018-05-01,6.164398515114918,
2018-05-15,6.161546162984192,5.6507205392182005
2018-06-01,5.980069829740408,6.328376524008624
2018-06-15,5.884794948673032,6.299968870908157
2018-07-01,5.774541030599691,6.3294875493514295
2018-07-15,5.649097005083259,6.3329991274991535
2018-08-01,5.647919383584474,6.263107440216855
2018-08-15,5.628345580121404,6.187961368056826
2018-09-01,5.435020376845396,6.22296592281651
2018-09-15,5.521269940409946,6.301859439573603
2018-10-01,5.529888746837217,6.369328020611899
2018-10-15,5.530633836766078,6.228904854325893
2018-11-01,5.665766672976337,6.057161197187559
2018-11-15,5.754070716556787,6.405194907341884
2018-12-01,5.7913576902266115,6.371176185479554
2018-12-15,5.8667251963633555,6.294808393059292
2019-01-01,5.859574432826674,6.328344255623482
2019-01-15,5.864459412216863,6.287738756600155
2019-02-01,5.870525719778315,6.204561901601647
2019-02-15,5.934202644317961,6.205810891938681
2019-03-01,5.921674860519634,6.143667001228802
2019-03-15,5.8524256050581895,6.235529533008196
2019-04-01,5.841175693608735,6.357432088559859
2019-04-15,5.933806194194336,6.308781135544713
2019-05-01,6.012072877856533,6.341989667879001
2019-05-15,6.014656836058145,6.382780515227405
2019-06-01,6.017236747212243,6.344497805944682
2019-06-15,6.027516276777158,6.368670991956794
2019-07-01,6.029588666448613,
2019-07-15,,
2019-08-01,6.033720605727233,
2019-08-15,6.031416811441848,
2019-09-01,6.033179779515269,
2019-09-15,6.0322279063702595,
2019-10-01,6.029250595280933,
2019-10-15,5.840836417658244,
2019-11-01,5.839218878707314,
2019-11-15,5.839656540906341,
2019-12-01,5.837656208799724,
2019-12-15,5.842217143333874,
2020-01-01,5.869442146111687,
2020-01-15,5.871924323661721,
2020-02-01,5.696518567881224,
2020-02-15,5.696214140666276,
