Date,Ngozi,Gitega
2016-01-01,6.796363623530281,6.865100051882092
2016-01-15,6.642580013187319,6.796639172399495
2016-02-01,6.676314652460078,6.795266595321443
2016-02-15,6.705876855733924,6.778783626542012
2016-03-01,6.684344074574107,6.7660341127686685
2016-03-15,6.698696094415852,6.774901445615591
2016-04-01,6.686463338246203,6.826199041133555
2016-04-15,6.780250694046756,6.8490244834866045
2016-05-01,6.775560018507979,6.845448202454812
2016-05-15,6.527621687520081,6.747834118025431
2016-06-01,6.423233414258223,6.522128887772034
2016-06-15,6.449844647367992,6.40337779635737
2016-07-01,6.526658500198199,6.439896842275917
2016-07-15,6.610008256721139,6.529176096097467
2016-08-01,6.6040351960843635,6.6040351960843635
2016-08-15,6.521088849750354,6.604195317677902
2016-09-01,6.519407263256823,6.6738524505225225
2016-09-15,6.642409956263854,6.6789081743070815
2016-10-01,6.646642364630414,6.682205652188828
2016-10-15,6.670113371590146,6.670113371590146
2016-11-01,6.655729954181555,6.656913386272335
2016-11-15,6.710702043271596,6.710702043271596
2016-12-01,6.820013022379691,6.819769861284269
2016-12-15,6.890383452714823,6.86289733852379
2017-01-01,6.856779490539636,6.855862479929755
2017-01-15,6.87464120456885,6.7625571178219355
2017-02-01,6.838285416478271,6.836534868985286
2017-02-15,6.829713619400052,6.880655512571653
2017-03-01,6.743905447107665,6.773022319706008
2017-03-15,6.595159213579168,6.71097374466288
2017-04-01,6.682495098839073,6.825832500893881
2017-04-15,6.650454559336517,6.818856204014143
2017-05-01,6.574571448729524,6.714431531347168
2017-05-15,6.522935379097491,6.717461284424855
2017-06-01,6.3630764563920525,6.275775210324592
2017-06-15,6.445844326089781,6.501184359241759
2017-07-01,6.369406395577907,6.587083706752373
2017-07-15,6.442079567005593,6.517312504122805
2017-08-01,6.436808990163779,6.513148083852709
2017-08-15,6.501454443918998,6.501454443918998
2017-09-01,6.486444466812319,6.520346018488
2017-09-15,6.479571586777331,6.549713223468156
2017-10-01,6.538860792629208,6.603039018320619
2017-10-15,6.538709517863751,6.662752554799725
2017-11-01,6.60172521678432,6.662668441846831
2017-11-15,6.60778781938417,6.668827279658887
2017-12-01,6.5467567269987015,6.611731072941602
2017-12-15,6.409421284649685,6.618234456890616
2018-01-01,6.33491731345092,6.559515410476124
2018-01-15,6.251811614470395,6.559529713682596
2018-02-01,6.253744180498596,6.3368395799621595
2018-02-15,6.4231887078531456,6.4238609767860275
2018-03-01,6.42607287664594,6.42607287664594
2018-03-15,6.422977584926722,6.422977584926722
2018-04-01,6.419891844481952,6.471621871444935
2018-04-15,6.416376904053828,6.416376904053828
2018-05-01,6.4866941874054715,6.616473230411444
2018-05-15,6.49151347154548,6.624576589752642
2018-06-01,6.341372774360563,6.5674275358822305
2018-06-15,6.463049711665355,6.569965437589987
2018-07-01,6.47053037381762,6.507359933096713
2018-07-15,6.474797346458598,6.511026284755057
2018-08-01,6.528371671073536,6.440799661675883
2018-08-15,6.52375699743188,6.449841314481712
2018-09-01,6.5328811482083315,6.5328811482083315
2018-09-15,6.6027541132215966,6.533509701046613
2018-10-01,6.611459209890555,6.541084515433901
2018-10-15,6.601327296532839,6.600150133359824
2018-11-01,6.597690809386151,6.597690809386151
2018-11-15,6.599449824791331,6.662999280515012
2018-12-01,6.600620785112481,6.69385423156306
2018-12-15,6.640669759310491,6.718687258923526
2019-01-01,6.647792815864582,6.7120547500829515
2019-01-15,6.365127855297101,6.656123017471842
2019-02-01,6.489590766797371,6.595082163942198
2019-02-15,6.481986608370936,6.5181195713551245
2019-03-01,6.535780683567229,6.428488333446317
2019-03-15,6.527266458375356,6.4184493198496195
2019-04-01,6.582058249983899,6.479482980807147
2019-04-15,6.641501152542139,6.609150311288972
2019-05-01,6.6727228846882936,6.6114345607170115
2019-05-15,6.622240862457765,6.4893556734098485
2019-06-01,6.384811815564194,6.3432628126513215
2019-06-15,6.338534765106397,6.254691216673205
2019-07-01,6.362476731353213,6.336248967105975
2019-07-15,,
2019-08-01,6.408706727896312,
2019-08-15,6.611258986784031,6.547288808941099
2019-09-01,6.66151572621953,6.634236347797868
2019-09-15,6.659902196259232,6.688521001564885
2019-10-01,6.656144184987139,6.5974015371096915
2019-10-15,6.652579116350448,6.593265529262515
2019-11-01,6.725170132658303,6.643630045119263
2019-11-15,6.743661493188706,6.689702350816131
2019-12-01,6.762529747985074,6.68209183025225
2019-12-15,6.876904962960908,6.730434276198684
2020-01-01,6.514230800690161,6.770474300430715
2020-01-15,6.476015167921182,6.6044934926943135
2020-02-01,6.677733056188251,6.594241924221874
2020-02-15,6.702802940741385,6.531994829502916
