Date,Owino,Busia
2016-01-01,6.425219904546283,6.318462984402514
2016-01-15,6.55895576741423,6.337440950762077
2016-02-01,6.502364627366297,6.316188099802063
2016-02-15,6.494874353063846,6.312043019468261
2016-03-01,6.618277430407989,6.3872553915217
2016-03-15,6.605846195190644,6.358921285335857
2016-04-01,6.4525903644475,6.336599528487916
2016-04-15,6.552406136343881,6.403138777787544
2016-05-01,6.583306706487137,6.135943578426915
2016-05-15,6.615933575438553,6.318066477928407
2016-06-01,6.254477586647204,6.292744691025658
2016-06-15,6.477066337580395,6.364133904030523
2016-07-01,6.436759632406356,6.233923744733619
2016-07-15,6.394081671682812,6.283766709015299
2016-08-01,6.457941355652555,6.2642628327982495
2016-08-15,6.541643195727906,6.279482992071245
2016-09-01,6.556107830249778,6.318338482369976
2016-09-15,6.589533478879123,6.419610623769823
2016-10-01,6.5743119407576085,6.4160879355427145
2016-10-15,6.398114045424532,6.319295131018286
2016-11-01,6.273557312836522,6.168196797178696
2016-11-15,6.300161239991715,6.188487988431572
2016-12-01,6.461141600786897,6.261066817385763
2016-12-15,6.506716735358224,6.318982538170334
2017-01-01,6.503766816133705,6.34400489913866
2017-01-15,6.540788747110095,6.426697114685671
2017-02-01,6.538853054717605,6.4436084680391446
2017-02-15,6.638017812616077,6.5005031950970995
2017-03-01,6.6359067418606585,6.536507788619762
2017-03-15,6.751808050114444,6.542105035181455
2017-04-01,6.750390632850896,6.573984859087074
2017-04-15,6.798991123381322,6.566451950177369
2017-05-01,6.795426603304579,6.626442213394548
2017-05-15,6.477932645340147,6.320739745217466
2017-06-01,6.275183266455148,6.2572799749626205
2017-06-15,6.277598763045304,6.1697472348898375
2017-07-01,6.37044067943786,6.304228302247334
2017-07-15,6.451455080544969,6.324607257103773
2017-08-01,6.447769105613445,6.366576585153397
2017-08-15,6.4454039239282785,6.384156553993323
2017-09-01,6.479296931875494,6.391725383085202
2017-09-15,6.513422950125465,6.376299531708487
2017-10-01,6.491903206511004,6.340108240376205
2017-10-15,6.246809878751679,6.173066404506129
2017-11-01,6.200410091507986,6.055848936770209
2017-11-15,6.097921742852849,6.0010634591662155
2017-12-01,6.222810650635631,5.998788364642731
2017-12-15,6.341429322524985,6.138586130010234
2018-01-01,6.286661969353938,6.13140875358258
2018-01-15,6.293222309231491,6.139071629404233
2018-02-01,5.9749443426336715,5.902397921938062
2018-02-15,6.08959064733516,5.972560340355643
2018-03-01,6.09620787791807,5.971310039734474
2018-03-15,6.077799615488465,5.929703444569913
2018-04-01,6.2691793717656585,5.982053627561884
2018-04-15,6.065927672431015,5.944566815426748
2018-05-01,6.00311230054583,6.015461771344169
2018-05-15,5.93608511352962,5.970295975445936
2018-06-01,5.737290303909339,5.730182953450687
2018-06-15,5.7954405532111,5.732268964572776
2018-07-01,5.85039437311795,5.701268829493364
2018-07-15,5.864851360215098,5.735724872959848
2018-08-01,5.869226387091382,5.732889943539251
2018-08-15,5.852730596523678,5.756427367978361
2018-09-01,6.023432237141434,5.752279466640863
2018-09-15,6.014703821464067,5.835325298116617
2018-10-01,6.020651435457276,5.843348709775264
2018-10-15,5.84284145138766,5.717511210095894
2018-11-01,5.847339446508051,5.6865081572831535
2018-11-15,5.713477319591533,5.760906013162644
2018-12-01,5.85911523110557,5.856639982317028
2018-12-15,5.8667251963633555,5.844419438849058
2019-01-01,6.040662183171701,5.912407847648022
2019-01-15,6.047597628917374,5.9005644168589795
2019-02-01,6.054468022470003,5.95560904299699
2019-02-15,6.251620427969974,6.019313963734245
2019-03-01,6.170044155741471,6.039841405289059
2019-03-15,6.235529533008196,6.08777932027933
2019-04-01,6.274307334435037,6.103159078239208
2019-04-15,6.389061966805516,6.345259344147123
2019-05-01,6.456945258824288,6.316250169677425
2019-05-15,6.452777907140362,6.258334989814062
2019-06-01,6.344497805944682,6.12786287825786
2019-06-15,6.3903324887379735,6.065788822982034
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
