Date,Gitega,Arusha
2016-01-01,6.354530871251242,5.3161332504449055
2016-01-15,6.297098706623741,5.313708138404248
2016-02-01,6.3717729861586205,5.30891085511358
2016-02-15,6.086751895065932,5.731657082610951
2016-03-01,5.825755937221311,5.7245594047698205
2016-03-15,5.712855304404238,5.721962954176504
2016-04-01,5.5071291734824195,5.617142605034944
2016-04-15,5.650490169791607,5.400440642658901
2016-05-01,5.7854565610131,5.399964071637734
2016-05-15,5.832381726287005,5.39768511652383
2016-06-01,5.772517979054819,5.296231023149782
2016-06-15,5.705149502657235,5.291335463523213
2016-07-01,5.746000317357191,5.395121450512922
2016-07-15,5.836713144096547,5.3918837370684916
2016-08-01,6.0537350198440185,5.357856917668446
2016-08-15,6.051910189615066,5.39836341672408
2016-09-01,6.049541081609407,5.403761418458451
2016-09-15,6.0549888552480935,5.43679595632625
2016-10-01,6.076705778687638,5.44444472114339
2016-10-15,6.228673161023703,5.534579538846854
2016-11-01,6.412250773870708,5.649944168589701
2016-11-15,6.400346633812314,5.75282669928617
2016-12-01,6.55199213776749,5.794338779709701
2016-12-15,6.54101188514996,5.827777437084094
2017-01-01,6.362843729400607,5.869704669993074
2017-01-15,6.414818536217622,5.930973454855508
2017-02-01,6.379153823002023,5.986426665467563
2017-02-15,6.37080326022368,6.031250271040776
2017-03-01,6.076862041490409,
2017-03-15,6.068725692147187,6.11528598802862
2017-04-01,6.078764511948255,6.111559480006191
2017-04-15,6.017716506572133,6.268523178429757
2017-05-01,5.948006410750576,6.261541545051247
2017-05-15,5.967503697684642,6.1877713548258875
2017-06-01,6.0766923958046215,6.183889545754441
2017-06-15,6.182923988140843,6.006220888349961
2017-07-01,6.281396934183395,5.7846371836482176
2017-07-15,6.36285727122482,5.497595701740491
2017-08-01,6.272235517660425,5.514044262101511
2017-08-15,6.346232526710241,5.499299789558962
2017-09-01,6.151694883502552,5.4992076023025565
2017-09-15,6.2384095299604425,5.412854321800954
2017-10-01,6.395981604758033,5.408898442850501
2017-10-15,6.466994209353158,
2017-11-01,6.468658040802564,
2017-11-15,6.039452630156931,
2017-12-01,6.1399830036547165,
2017-12-15,6.196294511578947,
2018-01-01,6.153468737943311,
2018-01-15,5.935142005145361,5.380760254795821
2018-02-01,5.93429631469236,5.54110921613512
2018-02-15,5.93868912606712,5.53579587677543
2018-03-01,5.651762288978788,5.4499121698897035
2018-03-15,5.291575473435621,5.259386746576515
2018-04-01,5.35887052975265,5.257175820927511
2018-04-15,5.399047248822575,5.25021947087972
2018-05-01,5.456825051156964,5.3430828702914175
2018-05-15,5.354728609372341,5.34498329758997
2018-06-01,5.363454731556295,5.391339105961063
2018-06-15,5.653091785267965,5.253218435175246
2018-07-01,5.572823964055831,5.031718853651894
2018-07-15,5.481157148506551,4.900092483650358
2018-08-01,5.581087693098619,4.902001142312378
2018-08-15,5.7580391240371,4.901519197262282
2018-09-01,5.838483185746734,4.739282205158855
2018-09-15,5.805810138980008,4.9023315780284715
2018-10-01,5.772910311696586,4.969585316326035
2018-10-15,5.764173885217408,5.029941707869589
2018-11-01,5.760900926597363,5.028424999593834
2018-11-15,5.836556287841273,5.025798518342362
2018-12-01,5.7636072881951055,5.136507602734529
2018-12-15,5.831975429995446,5.188366307921746
2019-01-01,5.926601172597637,5.218885617578165
2019-01-15,5.961872692839739,5.184950383554069
2019-02-01,5.966915103113885,5.114944618859133
2019-02-15,5.958820590011928,5.1628664932766215
2019-03-01,5.471318054751238,5.1313885312131235
2019-03-15,5.35788509881904,5.128853674501414
2019-04-01,5.227366633737478,5.141140312830274
2019-04-15,5.225120956799933,5.2216896097719925
2019-05-01,5.22739499198421,5.240051789536639
2019-05-15,5.3552366962848295,5.213997725698514
2019-06-01,5.471423843348001,5.3096563986669185
2019-06-15,5.72834421700459,
2019-07-01,5.755406409921075,
2019-07-15,5.772683685483391,
2019-08-01,5.789667519490088,
2019-08-15,5.852928771955945,5.685438107137704
2019-09-01,5.911906400480863,5.746956373572211
2019-09-15,5.965679168365824,5.686171358715641
2019-10-01,6.0205141626656085,5.807795590512352
2019-10-15,6.0128757686412815,5.688434236107429
2019-11-01,6.110183974917225,5.8231600757326785
2019-11-15,6.151292360364187,5.766461912362339
2019-12-01,6.23384365901701,5.777758201997086
2019-12-15,6.271469782974216,5.792303295626933
2020-01-01,6.259648676664725,5.871977938997037
2020-01-15,6.253181742210327,5.808464115211822
2020-02-01,6.158475679264323,6.042551197210232
2020-02-15,5.956242561171233,5.823283862802259
