Date,Arusha,Machakos
2016-01-01,5.3161332504449055,5.663050592336632
2016-01-15,5.313708138404248,5.665145711442798
2016-02-01,5.30891085511358,5.672257771114077
2016-02-15,5.731657082610951,5.658435682791919
2016-03-01,5.7245594047698205,5.651305418522216
2016-03-15,5.721962954176504,5.644468629777895
2016-04-01,5.617142605034944,5.2372561914830325
2016-04-15,5.400440642658901,5.2546044479129295
2016-05-01,5.399964071637734,5.2568218721470785
2016-05-15,5.39768511652383,5.251565057688284
2016-06-01,5.296231023149782,5.467497122992928
2016-06-15,5.291335463523213,5.537016488401119
2016-07-01,5.395121450512922,5.537539385333272
2016-07-15,5.3918837370684916,5.533469158949079
2016-08-01,5.357856917668446,5.532418680015416
2016-08-15,5.39836341672408,5.5313670964152335
2016-09-01,5.403761418458451,5.529654802134344
2016-09-15,5.43679595632625,5.562680974575331
2016-10-01,5.44444472114339,5.594651199935008
2016-10-15,5.534579538846854,5.624883450128195
2016-11-01,5.649944168589701,5.619678783453023
2016-11-15,5.75282669928617,5.614208968142071
2016-12-01,5.794338779709701,5.607079950536025
2016-12-15,5.827777437084094,5.601256645229004
2017-01-01,5.869704669993074,5.592101676982761
2017-01-15,5.930973454855508,5.571691493926981
2017-02-01,5.986426665467563,5.71808494893371
2017-02-15,6.031250271040776,5.84575867635821
2017-03-01,,5.844499814945302
2017-03-15,6.11528598802862,5.834345209659806
2017-04-01,6.111559480006191,5.823634251278926
2017-04-15,6.268523178429757,6.04216558817297
2017-05-01,6.261541545051247,6.038454229669367
2017-05-15,6.1877713548258875,6.139219946114761
2017-06-01,6.183889545754441,6.135997253363657
2017-06-15,6.006220888349961,6.145474694950575
2017-07-01,5.7846371836482176,6.054093521706231
2017-07-15,5.497595701740491,5.827897636831899
2017-08-01,5.514044262101511,5.821020721157123
2017-08-15,5.499299789558962,5.830917088735715
2017-09-01,5.4992076023025565,5.8043098052638795
2017-09-15,5.412854321800954,
2017-10-01,5.408898442850501,
2017-10-15,,
2017-11-01,,
2017-11-15,,
2017-12-01,,
2017-12-15,,
2018-01-01,,
2018-01-15,5.380760254795821,5.526340729972224
2018-02-01,5.54110921613512,5.556322220511225
2018-02-15,5.53579587677543,5.522802048257198
2018-03-01,5.4499121698897035,5.488603902297297
2018-03-15,5.259386746576515,5.519252533139814
2018-04-01,5.257175820927511,5.478688512148342
2018-04-15,5.25021947087972,5.511094959273008
2018-05-01,5.3430828702914175,5.365619232099011
2018-05-15,5.34498329758997,5.329098957286026
2018-06-01,5.391339105961063,5.246206386990925
2018-06-15,5.253218435175246,5.272187854255054
2018-07-01,5.031718853651894,5.164205250909102
2018-07-15,4.900092483650358,5.162662151664815
2018-08-01,4.902001142312378,5.15634815115492
2018-08-15,4.901519197262282,5.102240786696167
2018-09-01,4.739282205158855,5.284522603320849
2018-09-15,4.9023315780284715,5.201488373782122
2018-10-01,4.969585316326035,5.245575859318381
2018-10-15,5.029941707869589,5.289217614825124
2018-11-01,5.028424999593834,5.362731166021395
2018-11-15,5.025798518342362,5.427156946595323
2018-12-01,5.136507602734529,5.354255934403439
2018-12-15,5.188366307921746,5.3505638617977445
2019-01-01,5.218885617578165,5.351549122967573
2019-01-15,5.184950383554069,5.352533414353242
2019-02-01,5.114944618859133,5.360036012356825
2019-02-15,5.1628664932766215,5.3523546480791975
2019-03-01,5.1313885312131235,5.348555934109249
2019-03-15,5.128853674501414,5.340792538755065
2019-04-01,5.141140312830274,5.0706656562699335
2019-04-15,5.2216896097719925,5.469077126936084
2019-05-01,5.240051789536639,5.329452972901233
2019-05-15,5.213997725698514,5.620864299829009
2019-06-01,5.3096563986669185,5.618866877279254
2019-06-15,,5.617377670523267
2019-07-01,,5.607528757326522
2019-07-15,,5.597581877372754
2019-08-01,,5.630953741355395
2019-08-15,5.685438107137704,5.663247795754952
2019-09-01,5.746956373572211,5.72055307994949
2019-09-15,5.686171358715641,5.717611532290115
2019-10-01,5.807795590512352,5.716568792487795
2019-10-15,5.688434236107429,5.71552496424412
2019-11-01,5.8231600757326785,5.723996956778254
2019-11-15,5.766461912362339,
2019-12-01,5.777758201997086,
2019-12-15,5.792303295626933,
2020-01-01,5.871977938997037,
2020-01-15,5.808464115211822,
2020-02-01,6.042551197210232,
2020-02-15,5.823283862802259,
