Date,Bujumbura,Gitega
2016-01-01,,6.898146317840224
2016-01-15,6.866107859644925,6.917042483160391
2016-02-01,6.792514047478402,6.831437879996723
2016-02-15,6.791536779706087,6.778783626542012
2016-03-01,6.84729157113388,6.8273224367399505
2016-03-15,6.870262157267624,6.834773732705734
2016-04-01,6.841561926283522,6.744493095014702
2016-04-15,6.850301785997727,6.743436720924039
2016-05-01,6.861428250811061,6.663995610880257
2016-05-15,6.834798899949471,6.6355225278262555
2016-06-01,6.653486271974757,6.589962876292342
2016-06-15,6.581140569612982,6.533687631063145
2016-07-01,6.568359229397142,6.568359229397142
2016-07-15,6.610008256721139,6.60811252155624
2016-08-01,6.626310626922032,6.6349606654105
2016-08-15,6.639024708819582,6.660491897517042
2016-09-01,6.672673900003079,6.655126981399024
2016-09-15,6.678320457569624,6.6789081743070815
2016-10-01,6.646338089563407,6.682205652188828
2016-10-15,6.670407792319492,6.670113371590146
2016-11-01,6.661044404245048,6.656913386272335
2016-11-15,6.775533382614217,6.742976030830255
2016-12-01,6.817822440999873,6.760664027159924
2016-12-15,6.8111433207924525,6.748591667600305
2017-01-01,6.791690863951317,6.7376779875536155
2017-01-15,6.7625571178219355,6.703878968639525
2017-02-01,6.757732448925602,6.841777344950136
2017-02-15,6.928332090879905,6.930319767940604
2017-03-01,6.797709287697273,6.87355751165983
2017-03-15,6.71097374466288,6.714906886409717
2017-04-01,6.770984048656892,6.874277464137257
2017-04-15,6.7692255363779195,6.8506256295072365
2017-05-01,6.758584576267968,6.78545048110637
2017-05-15,6.8798199446699435,6.775646455650118
2017-06-01,6.8107370397350895,6.587140589862414
2017-06-15,6.8241284436619205,6.712876453576534
2017-07-01,6.82627098712563,6.743103773883894
2017-07-15,6.822501815157606,6.711540164632215
2017-08-01,6.765444714038118,6.707895925712549
2017-08-15,6.75300676919163,6.753720120785308
2017-09-01,6.8035538105448605,6.737998330027926
2017-09-15,6.811812505378781,6.70369987475408
2017-10-01,6.7772194175308735,6.7486592082641454
2017-10-15,6.826391590315532,6.7620837230828
2017-11-01,6.825951605237362,6.82940882562122
2017-11-15,6.833640665230186,6.839037332402341
2017-12-01,6.832693598309452,6.672227530707877
2017-12-15,6.840942183399497,6.735291012311634
2018-01-01,6.8951567372032505,6.794679448644459
2018-01-15,6.848377967024559,6.745345741126324
2018-02-01,6.689997005984161,6.7464414502659995
2018-02-15,6.692204024138941,6.692204024138941
2018-03-01,6.694929666625103,6.7513459230365305
2018-03-15,6.746793259186641,6.72068983173844
2018-04-01,6.626774874924381,6.745164890872541
2018-04-15,6.587661069824696,6.684719951406741
2018-05-01,6.5693264519857415,6.787861700213757
2018-05-15,6.525872679612416,6.625122888591686
2018-06-01,6.496356093703037,6.565681826972208
2018-06-15,6.53558149323732,6.571130260086281
2018-07-01,6.5416770260208414,6.639175390505719
2018-07-15,6.512273945553212,6.57976943717466
2018-08-01,6.515964564026483,6.4535046135811545
2018-08-15,6.525630241813561,6.468508523201401
2018-09-01,6.534130367608763,6.5328811482083315
2018-09-15,6.568123787069351,6.533509701046613
2018-10-01,6.57991836267975,6.54045578231039
2018-10-15,6.601327296532839,6.533174408295612
2018-11-01,6.597690809386151,6.529703468401219
2018-11-15,6.723268116769353,6.632296338563627
2018-12-01,6.69385423156306,6.6613486611581285
2018-12-15,6.7711186218214765,6.658968024221904
2019-01-01,6.7120547500829515,6.708937864442698
2019-01-15,6.717071861967251,6.686527096645392
2019-02-01,6.721076389428976,6.7059047670059195
2019-02-15,6.713244325392688,6.713244325392688
2019-03-01,6.6959395101124795,6.7251082447031365
2019-03-15,6.686550347102294,6.715779985417232
2019-04-01,6.674019411427988,6.674019411427988
2019-04-15,6.6717737344904435,6.728695461938755
2019-05-01,6.647865408782689,6.64254818156608
2019-05-15,6.623371444828051,6.622240862457765
2019-06-01,6.613470412672955,6.501948647643971
2019-06-15,,6.5311721763701645
2019-07-01,6.593369313372226,6.491000280728277
2019-07-15,6.5546791300079,6.486899114946158
2019-08-01,6.585183732693983,6.482814700050033
2019-08-15,6.546682564606072,6.478295937454148
2019-09-01,6.603913979777874,6.469893788772947
2019-09-15,6.5989414964695445,6.53402195037023
2019-10-01,6.5974015371096915,6.53377584122948
2019-10-15,6.648804509550161,6.588686242496685
2019-11-01,6.698892723794313,6.548319865314938
2019-11-15,6.689702350816131,6.572175955736031
2019-12-01,6.68209183025225,6.564437254998124
2019-12-15,6.676421148456131,6.669200900482644
2020-01-01,6.665630447145529,6.665630447145529
2020-01-15,6.659163512691131,6.659163512691131
2020-02-01,6.678236707672078,6.704573633641416
2020-02-15,6.703783813796977,6.703783813796977
