Date,Kampala,Ruhengeri
2016-01-01,6.003333416449622,
2016-01-15,6.007031667686231,6.283217251193524
2016-02-01,6.023765894143638,6.279903592265833
2016-02-15,,6.260076476302802
2016-03-01,6.056416972618743,6.234497842581117
2016-03-15,6.062626852386032,6.294194544742304
2016-04-01,6.09072285150714,6.3505274176451865
2016-04-15,6.139226924669675,6.356295554316818
2016-05-01,6.144191047856933,6.380077795136465
2016-05-15,6.181575043675408,6.349003142985581
2016-06-01,6.134167266475048,6.3633161666305815
2016-06-15,6.131081105653541,6.289103919590747
2016-07-01,6.085522439767753,6.350349206799406
2016-07-15,5.988219344105672,6.302376311379542
2016-08-01,6.011723901415866,6.291961155137457
2016-08-15,6.04544923422998,6.279249062378441
2016-09-01,6.0455047006442335,6.257052652046707
2016-09-15,6.1061937291492265,6.2517427560440675
2016-10-01,6.15657674005763,6.226291958943903
2016-10-15,6.135130873309249,6.215248861663603
2016-11-01,6.122531294927363,6.27304775892336
2016-11-15,6.140075824644642,6.2909486980697835
2016-12-01,6.158082002828329,6.38580526356713
2016-12-15,6.19681024654512,6.386651314105039
2017-01-01,6.242566656293172,6.38749933791425
2017-01-15,6.336532113449884,6.37628657758218
2017-02-01,6.286929341858527,6.364946664171547
2017-02-15,6.233440409848054,6.355993085751263
2017-03-01,6.303271015773716,6.355643362824861
2017-03-15,6.367273182820459,6.353732811193225
2017-04-01,6.31628120553039,6.348489997501445
2017-04-15,,6.257646079570573
2017-05-01,,6.2586330136575645
2017-05-15,,6.264677101509373
2017-06-01,,6.265813714959627
2017-06-15,,6.263995578232334
2017-07-01,5.939568693678022,6.164504459410481
2017-07-15,5.941103502770316,6.164539768770413
2017-08-01,5.934920514536505,6.160488584088879
2017-08-15,5.900443646822555,6.256489932812973
2017-09-01,5.930573014720752,6.248098183886897
2017-09-15,5.887946763794555,6.2412519083112645
2017-10-01,5.840978656373405,6.23363083040881
2017-10-15,5.767369358556267,6.2355023862255505
2017-11-01,5.771640296084297,6.244994375170911
2017-11-15,5.770193600100865,6.259788674998292
2017-12-01,5.7673689040246625,6.360040835118575
2017-12-15,5.771605357997039,6.359139583551838
2018-01-01,5.797635573930532,6.3578554765800845
2018-01-15,5.76750807297175,6.358377966301426
2018-02-01,5.839799265618317,6.3550967145094175
2018-02-15,5.837415263340288,6.342913076171015
2018-03-01,5.863064243269277,6.337635569559889
2018-03-15,5.898711691261576,6.328197204138714
2018-04-01,6.011644827736443,6.315005363352365
2018-04-15,6.039038772214684,6.311321603195794
2018-05-01,6.030339835370349,6.303806393594676
2018-05-15,6.112200288881037,6.3091539525461995
2018-06-01,6.038338737864384,6.312222270177028
2018-06-15,5.927760984556476,6.1185064163344025
2018-07-01,5.877725266834921,6.008281777512261
2018-07-15,5.866086690823091,5.996031662122927
2018-08-01,5.803379821293796,5.994437243245431
2018-08-15,5.78338317796689,6.107053903247108
2018-09-01,5.771224552883313,6.104732686814956
2018-09-15,6.014703821464067,6.117584713642469
2018-10-01,6.075711212640304,6.222280034362545
2018-10-15,6.078438463773156,6.221517800673659
2018-11-01,6.135021518959832,6.220750869475664
2018-11-15,6.093868790147582,6.226731638465731
2018-12-01,6.148032634165344,6.268354724329394
2018-12-15,6.154407268815136,6.266689120611705
2019-01-01,6.194812862998959,6.281604857851449
2019-01-15,6.246782991763333,6.31453254494073
2019-02-01,6.253849702009266,6.228662758230336
2019-02-15,6.297009093784002,6.210744022017104
2019-03-01,6.288425456447108,6.229199753781177
2019-03-15,6.323656981542247,6.224954026826148
2019-04-01,6.357432088559859,6.237561664348352
2019-04-15,6.463373999770067,6.211437970741141
2019-05-01,6.545509948009071,6.196981814994793
2019-05-15,6.559342516862992,6.224587488212667
2019-06-01,6.558645794350314,6.197768188976779
2019-06-15,6.546114490297316,6.156069595177607
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
