Date,Busia,Kampala
2016-01-01,5.764507999739491,5.969865126935269
2016-01-15,5.815850960408928,5.8855170059367845
2016-02-01,5.8160903260941135,5.958950814007155
2016-02-15,5.806448445119823,5.955617794596877
2016-03-01,5.827639603586277,5.9640798968472035
2016-03-15,5.839762280010722,5.916258313000828
2016-04-01,5.852416110960883,5.984397783085841
2016-04-15,5.891519818002157,6.0087147913069865
2016-05-01,5.8954400662502255,5.992603814703873
2016-05-15,5.895209627108374,5.928847986257203
2016-06-01,5.890366685699979,6.000340059619703
2016-06-15,5.976584584563974,5.998142305638953
2016-07-01,6.07626059202922,5.986408941062014
2016-07-15,6.249023760571426,6.059513895246804
2016-08-01,6.131375313739207,6.206733056318419
2016-08-15,5.972457956776333,6.178142286718774
2016-09-01,5.994738168728259,5.931330274039128
2016-09-15,6.10306056731719,5.971917235529052
2016-10-01,6.127008061224102,6.038237994467524
2016-10-15,6.155051850803804,6.135130873309249
2016-11-01,6.174484605077709,6.18503626172917
2016-11-15,6.326028347632771,6.245436340302469
2016-12-01,6.329039800971969,6.303407971945689
2016-12-15,6.38362410428713,6.426360802458954
2017-01-01,6.375653110089442,6.424294917311788
2017-01-15,6.4748905468227225,6.46784330130732
2017-02-01,6.400107322621503,6.438182518753147
2017-02-15,6.373163772720497,6.456406483124705
2017-03-01,6.428312865744372,6.433756537325549
2017-03-15,6.48612773134108,6.444134157483775
2017-04-01,6.538927094258442,6.411815898740327
2017-04-15,6.637498511692277,6.6167693122360465
2017-05-01,6.56646380708577,6.609154152421307
2017-05-15,6.499702212524387,6.651157472929973
2017-06-01,6.5204710274061055,6.598349920832463
2017-06-15,6.45342128594408,6.528490626350559
2017-07-01,6.147875887665223,6.122483898456167
2017-07-15,6.134422813773812,6.177429919199405
2017-08-01,6.132119925935866,6.219172051891497
2017-08-15,6.190270656514652,6.221904564035328
2017-09-01,6.1470593850057815,6.21706955057843
2017-09-15,6.102659816379745,6.260786644586643
2017-10-01,6.017577582422973,6.25757878317172
2017-10-15,6.117761559315504,6.0959569293486515
2017-11-01,6.161731236942874,6.490122621510149
2017-11-15,6.141852672078576,6.202083936018567
2017-12-01,6.099578010211682,6.199259239942363
2017-12-15,6.064110037108751,6.20072944042185
2018-01-01,6.0960416097452885,6.085991273891787
2018-01-15,6.127510807003157,6.093007630923488
2018-02-01,6.113822589139058,6.091974649613189
2018-02-15,6.097590690002236,6.110455785799122
2018-03-01,6.058697144701472,6.083188164709767
2018-03-15,6.0552807519531155,6.079821860869233
2018-04-01,6.014879331904102,6.123893015909692
2018-04-15,6.024254976030447,6.119565155834772
2018-05-01,5.993815904569477,6.085738614760137
2018-05-15,5.922066192350289,6.056185647326365
2018-06-01,5.812308424277783,5.909885772883303
2018-06-15,5.79556381494509,5.899323049235942
2018-07-01,5.766355446013251,5.840267704300021
2018-07-15,5.521681839476173,5.649097005083259
2018-08-01,5.584806960274418,5.467431007872181
2018-08-15,5.547526173379695,5.628345580121404
2018-09-01,5.60538834682641,5.526399935507779
2018-09-15,5.545121156232126,5.689119464595366
2018-10-01,5.576720046521316,5.69957371962666
2018-10-15,5.659015003414285,5.700318809555521
2018-11-01,5.671736839962841,5.778881477414169
2018-11-15,5.68742664239159,5.824251725093439
2018-12-01,5.682463601987474,5.860350561713563
2018-12-15,5.672569181922398,5.798257397085895
2019-01-01,5.689264296333812,5.789347754890795
2019-01-15,5.7503461054494425,5.865071969663276
2019-02-01,5.7572943533366505,5.870525719778315
2019-02-15,5.731631891282464,5.948900478153654
2019-03-01,5.702550838016614,5.856292101256782
2019-03-15,5.695814899390069,5.783783672336026
2019-04-01,5.731405027473356,5.841175693608735
2019-04-15,5.906407220006222,5.9040897218658595
2019-05-01,5.976090159977027,6.012072877856533
2019-05-15,5.916645917103135,6.016729375660117
2019-06-01,5.855813308055905,6.017236747212243
2019-06-15,5.867530673925267,6.031614643169441
2019-07-01,,6.138397671441232
2019-07-15,,6.033906762562189
2019-08-01,,5.917209673028302
2019-08-15,,5.706072661330043
2019-09-01,,5.706978502181697
2019-09-15,,5.780334941770064
2019-10-01,,5.706477203017882
2019-10-15,,5.699239051090859
2019-11-01,,6.04807999073588
2019-11-15,,5.905718291584433
2019-12-01,,5.9037179594778175
2019-12-15,,5.842217143333874
2020-01-01,,5.9312467090679695
2020-01-15,,5.840858504086831
2020-02-01,,5.614840536866957
2020-02-15,,5.617571013347163
