Date,Masindi,Kasese
2016-01-01,,6.59185124559715
2016-01-15,,6.6156565153423
2016-02-01,,6.538369229238757
2016-02-15,,6.3094171973905935
2016-03-01,,6.343958585768376
2016-03-15,6.177429259904277,6.346395025516676
2016-04-01,6.1779149786102305,6.339563748316634
2016-04-15,6.203216766657812,6.368854314887885
2016-05-01,6.179494764568006,6.364867492656624
2016-05-15,6.130905644493703,6.302427584043952
2016-06-01,6.194913668721518,6.308085776465766
2016-06-15,6.193412836773711,6.304022708317681
2016-07-01,6.179648720459842,6.294245815492255
2016-07-15,6.182094873305326,6.267673380011114
2016-08-01,6.177661241496442,6.290076460134158
2016-08-15,6.178142286718774,6.286970364640864
2016-09-01,6.226156343329002,6.28124928085889
2016-09-15,6.221308394987518,6.275131015811402
2016-10-01,6.213213755990568,6.269905425364633
2016-10-15,6.194689712562842,6.2491060871399045
2016-11-01,6.173519819667611,6.227078885024721
2016-11-15,6.140075824644642,6.294226504471901
2016-12-01,6.133074570711704,6.288217806451714
2016-12-15,6.142251262294685,6.288004757684856
2017-01-01,6.134632646193144,6.287791754298108
2017-01-15,6.264355423921132,6.285826489962831
2017-02-01,6.379166142370841,
2017-02-15,6.372391869941915,
2017-03-01,6.393507427294286,6.279907416560918
2017-03-15,6.449836239932684,6.276007303184382
2017-04-01,6.442286155887745,6.218606555244162
2017-04-15,6.438389706434408,6.262058753777611
2017-05-01,6.612455971419808,6.257534701020181
2017-05-15,6.62002426828871,6.310628435613145
2017-06-01,6.365989714413329,6.347297581401177
2017-06-15,6.4527123174634795,6.3668608091521115
2017-07-01,6.6327158742379675,6.369282154496541
2017-07-15,6.6342506833302615,6.369988885086579
2017-08-01,6.62896068518407,6.407006548223583
2017-08-15,6.627369672143493,6.403286631758883
2017-09-01,6.620159360657688,
2017-09-15,6.618651356660965,6.395805026332744
2017-10-01,6.58143835029827,6.432204705577433
2017-10-15,6.570147672170397,6.418592104610791
2017-11-01,6.574369305791731,6.362657981567863
2017-11-15,6.574019539333248,6.252072422680107
2017-12-01,6.569954148308811,6.247963754674888
2017-12-15,6.202077452308745,6.15000395148156
2018-01-01,6.193168320476011,6.310346212392294
2018-01-15,6.293222309231491,6.336602604861716
2018-02-01,6.293192840298432,6.147625904162566
2018-02-15,6.290808838020404,6.090058919852007
2018-03-01,6.327872237746034,
2018-03-15,6.323362040091088,
2018-04-01,6.357025125107407,
2018-04-15,6.354629632783541,
2018-05-01,6.500475312463859,
2018-05-15,6.49934027686332,5.6507205392182005
2018-06-01,6.36684280483642,6.328376524008624
2018-06-15,6.347147431183248,6.299968870908157
2018-07-01,6.340348788783034,6.3294875493514295
2018-07-15,5.866086690823091,6.3329991274991535
2018-08-01,6.050321702162092,6.263107440216855
2018-08-15,6.0338106882295675,6.187961368056826
2018-09-01,6.264743092411093,6.22296592281651
2018-09-15,6.259917808488924,6.301859439573603
2018-10-01,6.266593901736292,6.369328020611899
2018-10-15,6.2689769936693915,6.228904854325893
2018-11-01,6.27462060814678,6.057161197187559
2018-11-15,6.1471133046663935,6.405194907341884
2018-12-01,6.096739339777794,6.371176185479554
2018-12-15,6.049863413063866,6.294808393059292
2019-01-01,6.094729404441977,6.328344255623482
2019-01-15,6.099299003294265,6.287738756600155
2019-02-01,6.107682547035447,6.204561901601647
2019-02-15,6.105453272996156,6.205810891938681
2019-03-01,6.285230565550589,6.143667001228802
2019-03-15,6.280563749181227,6.235529533008196
2019-04-01,6.292598102802026,6.357432088559859
2019-04-15,6.308006842048808,6.308781135544713
2019-05-01,6.339744998025177,6.341989667879001
2019-05-15,6.345481858979227,6.382780515227405
2019-06-01,6.344497805944682,6.344497805944682
2019-06-15,6.359873281253265,6.368670991956794
2019-07-01,6.360684890580913,
2019-07-15,,
2019-08-01,6.3623061357761745,
2019-08-15,6.032433588346935,
2019-09-01,6.033179779515269,
2019-09-15,6.0322279063702595,
2019-10-01,6.029250595280933,
2019-10-15,5.843278421313797,
2019-11-01,6.021947850459032,
2019-11-15,6.021978097700296,
2019-12-01,6.019977765593679,
2019-12-15,6.025751556553039,
2020-01-01,6.020383092631721,
2020-01-15,6.022370671925227,
2020-02-01,5.903282199176756,
2020-02-15,5.902977771961809,
