Date,Arusha,Makueni
2016-01-01,5.3161332504449055,
2016-01-15,5.313708138404248,
2016-02-01,5.30891085511358,5.672257771114077
2016-02-15,5.731657082610951,5.607201430095136
2016-03-01,5.7245594047698205,
2016-03-15,5.721962954176504,5.462824809370439
2016-04-01,5.617142605034944,5.333949816285504
2016-04-15,5.400440642658901,5.349462241371606
2016-05-01,5.399964071637734,5.481943663473394
2016-05-15,5.39768511652383,5.472726447798502
2016-06-01,5.296231023149782,5.467497122992928
2016-06-15,5.291335463523213,5.462340657061212
2016-07-01,5.395121450512922,5.536619845038593
2016-07-15,5.3918837370684916,5.533469158949079
2016-08-01,5.357856917668446,5.533082327677524
2016-08-15,5.39836341672408,5.5313670964152335
2016-09-01,5.403761418458451,5.567668428834388
2016-09-15,5.43679595632625,5.564559587113302
2016-10-01,5.44444472114339,5.559682602097261
2016-10-15,5.534579538846854,5.624883450128195
2016-11-01,5.649944168589701,5.619678783453023
2016-11-15,5.75282669928617,5.614208968142071
2016-12-01,5.794338779709701,5.607915721583421
2016-12-15,5.827777437084094,5.601256645229004
2017-01-01,5.869704669993074,5.593780938502481
2017-01-15,5.930973454855508,5.723653190756857
2017-02-01,5.986426665467563,5.852145456585041
2017-02-15,6.031250271040776,5.845122746289084
2017-03-01,,5.844499814945302
2017-03-15,6.11528598802862,5.834345209659806
2017-04-01,6.111559480006191,5.824267363044296
2017-04-15,6.268523178429757,6.04216558817297
2017-05-01,6.261541545051247,6.038454229669367
2017-05-15,6.1877713548258875,6.139219946114761
2017-06-01,6.183889545754441,6.135997253363657
2017-06-15,6.006220888349961,6.144547481161383
2017-07-01,5.7846371836482176,6.063235281664326
2017-07-15,5.497595701740491,5.827897636831899
2017-08-01,5.514044262101511,5.821020721157123
2017-08-15,5.499299789558962,5.829008084019791
2017-09-01,5.4992076023025565,5.748807832035669
2017-09-15,5.412854321800954,5.661610234310085
2017-10-01,5.408898442850501,5.649511699367608
2017-10-15,,5.661378385458679
2017-11-01,,5.585025615074678
2017-11-15,,5.58235413943052
2017-12-01,,5.5796897815577475
2017-12-15,,5.571469864395836
2018-01-01,,5.478975420118808
2018-01-15,5.380760254795821,5.461348591226512
2018-02-01,5.54110921613512,5.533103930409219
2018-02-15,5.53579587677543,5.493764995402652
2018-03-01,5.4499121698897035,5.488603902297297
2018-03-15,5.259386746576515,5.519252533139814
2018-04-01,5.257175820927511,5.478688512148342
2018-04-15,5.25021947087972,5.482449361196043
2018-05-01,5.3430828702914175,5.326627938133827
2018-05-15,5.34498329758997,5.329098957286026
2018-06-01,5.391339105961063,5.1552346087851975
2018-06-15,5.253218435175246,5.1597098708283635
2018-07-01,5.031718853651894,5.164205250909102
2018-07-15,4.900092483650358,5.174496609311817
2018-08-01,4.902001142312378,5.161121429907578
2018-08-15,4.901519197262282,5.156043492689143
2018-09-01,4.739282205158855,5.241962988902053
2018-09-15,4.9023315780284715,5.288499750771752
2018-10-01,4.969585316326035,5.288858747214537
2018-10-15,5.029941707869589,5.289217614825124
2018-11-01,5.028424999593834,5.327083827291157
2018-11-15,5.025798518342362,5.31777835669995
2018-12-01,5.136507602734529,5.308385480337343
2018-12-15,5.188366307921746,5.310717953250545
2019-01-01,5.218885617578165,5.311860916860842
2019-01-15,5.184950383554069,5.313002575596607
2019-02-01,5.114944618859133,5.35619723604966
2019-02-15,5.1628664932766215,5.315277230296298
2019-03-01,5.1313885312131235,5.309640517859576
2019-03-15,5.128853674501414,5.301725070564156
2019-04-01,5.141140312830274,5.252987213063888
2019-04-15,5.2216896097719925,5.469077126936084
2019-05-01,5.240051789536639,5.3670513864582405
2019-05-15,5.213997725698514,5.620864299829009
2019-06-01,5.3096563986669185,5.618866877279254
2019-06-15,,5.608769295986667
2019-07-01,,5.600296329069907
2019-07-15,,5.591750957061961
2019-08-01,,5.636546245502639
2019-08-15,5.685438107137704,5.679420655000553
2019-09-01,5.746956373572211,5.72055307994949
2019-09-15,5.686171358715641,5.742961432185641
2019-10-01,5.807795590512352,5.7166284147808275
2019-10-15,5.688434236107429,5.68958317226612
2019-11-01,5.8231600757326785,
2019-11-15,5.766461912362339,
2019-12-01,5.777758201997086,
2019-12-15,5.792303295626933,
2020-01-01,5.871977938997037,
2020-01-15,5.808464115211822,
2020-02-01,6.042551197210232,
2020-02-15,5.823283862802259,
