Date,Mbale,Kasese
2016-01-01,5.380096300829159,5.348347602514579
2016-01-15,5.315108037028888,5.266285508327007
2016-02-01,5.24560092612969,5.195917505983043
2016-02-15,5.28347200357132,5.185958910135953
2016-03-01,5.291061483717872,5.221032879357389
2016-03-15,5.334696527843346,5.223111132440883
2016-04-01,,5.136295417425962
2016-04-15,,5.567012749439217
2016-05-01,,5.567228546636379
2016-05-15,5.492372641406479,5.527192406565706
2016-06-01,5.5871529054176285,5.497373022466234
2016-06-15,5.55801951760426,5.490471258621478
2016-07-01,5.518558680276081,5.485513885498625
2016-07-15,5.458544154826388,5.429794741540402
2016-08-01,5.426834949349819,5.3589575269467336
2016-08-15,5.404544618028637,5.397093811872772
2016-09-01,5.454821743197266,5.4159222635835285
2016-09-15,5.529090150862232,5.409913386757244
2016-10-01,5.532587026491551,5.408099538487851
2016-10-15,5.554161960903257,5.500594215194037
2016-11-01,5.6617284787816615,5.526585482262797
2016-11-15,5.73312151298501,5.500995865354972
2016-12-01,5.757206829097955,5.546280461722336
2016-12-15,5.732843320098814,5.546067412955479
2017-01-01,5.704078414783624,5.54585440956873
2017-01-15,5.685238653062714,5.556347597857354
2017-02-01,5.687940930497865,
2017-02-15,5.722318971851242,
2017-03-01,5.874231226657774,5.587182265971364
2017-03-15,5.999119475863482,5.628726455502891
2017-04-01,5.996356259907167,5.476937271098081
2017-04-15,5.991297558814167,5.615586711787795
2017-05-01,5.983435180334269,5.785360236914406
2017-05-15,6.022404210803276,5.93045064721963
2017-06-01,5.938288464858283,5.869718158346983
2017-06-15,5.629472606775861,5.797147848052577
2017-07-01,5.373399411927151,5.798202139185474
2017-07-15,5.372561740665815,5.487085169245161
2017-08-01,5.368581761113166,5.4286507073063754
2017-08-15,5.526976439104388,5.423792202869158
2017-09-01,5.567445339952891,5.523922370018485
2017-09-15,5.467556005469715,5.61415947966159
2017-10-01,5.294200015198664,5.699665123306827
2017-10-15,5.399799209635835,5.504657086429095
2017-11-01,5.221686419060612,5.509969272545783
2017-11-15,5.151747804826485,5.509835631923639
2017-12-01,5.147636934939538,5.399951863554027
2017-12-15,5.1529607047350146,4.997954958588023
2018-01-01,5.138928883350879,5.364153600868913
2018-01-15,5.149262200584922,5.398856937986302
2018-02-01,5.149232731651864,5.340960086732695
2018-02-15,5.144268082780344,5.2955299611516224
2018-03-01,5.139302426889725,
2018-03-15,5.132759470328324,
2018-04-01,5.126191201696839,
2018-04-15,5.123795709372973,
2018-05-01,5.039616508713424,5.031057255317754
2018-05-15,5.106418986255821,4.957573358658255
2018-06-01,5.088471710456624,4.92706805232435
2018-06-15,5.072644476051474,4.736172239430261
2018-07-01,5.067713746135665,4.733992542886342
2018-07-15,4.852632210495289,4.666220668449808
2018-08-01,4.576458083982315,4.4730797295284805
2018-08-15,4.603064564538843,4.502981105981861
2018-09-01,4.637137876021543,4.522474967701403
2018-09-15,4.630512510540956,4.523722180934396
2018-10-01,4.562665145881269,
2018-10-15,4.74422916271955,
2018-11-01,4.752465479950549,4.527454514461543
2018-11-15,4.943140500340458,4.651334710704814
2018-12-01,4.944059829839408,4.652254040203766
2018-12-15,4.949208222765956,4.683771759261495
2019-01-01,5.127453117834954,4.942049894503591
2019-01-15,5.131306897043219,5.057198924889497
2019-02-01,5.135136234020068,5.033716055574165
2019-02-15,5.279048860197229,5.031486781534874
2019-03-01,5.289896626335981,4.774732600971392
2019-03-15,5.286030130137388,4.711146870071177
2019-04-01,5.27784012457078,4.660042381252621
2019-04-15,5.61253317730652,5.081759205498516
2019-05-01,5.609203151428446,5.377469152909199
2019-05-15,5.6081538451375605,5.427699702518401
2019-06-01,,5.52419544989949
2019-06-15,,5.549679171069438
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
