Date,Bujumbura,Arusha
2016-01-01,,5.3161332504449055
2016-01-15,6.408324341733965,5.313708138404248
2016-02-01,6.353128378275389,5.30891085511358
2016-02-15,6.336082441729019,5.731657082610951
2016-03-01,6.0243224761995995,5.7245594047698205
2016-03-15,6.081754265055646,5.721962954176504
2016-04-01,6.079421874236625,5.617142605034944
2016-04-15,6.012658472146446,5.400440642658901
2016-05-01,6.0122833577436054,5.399964071637734
2016-05-15,6.044289204334289,5.39768511652383
2016-06-01,6.030347088356919,5.296231023149782
2016-06-15,5.970643660133654,5.291335463523213
2016-07-01,5.9878582125535535,5.395121450512922
2016-07-15,5.992230878135337,5.3918837370684916
2016-08-01,6.116105350570477,5.357856917668446
2016-08-15,6.170486997256343,5.39836341672408
2016-09-01,6.172502792744242,5.403761418458451
2016-09-15,6.176662946397443,5.43679595632625
2016-10-01,6.182281440645778,5.44444472114339
2016-10-15,6.171191488735813,5.534579538846854
2016-11-01,6.413760208119562,5.649944168589701
2016-11-15,6.400722503014258,5.75282669928617
2016-12-01,6.473325892802677,5.794338779709701
2016-12-15,6.462027826738963,5.827777437084094
2017-01-01,6.528886297135772,5.869704669993074
2017-01-15,6.567095540628625,5.930973454855508
2017-02-01,6.565791312261545,5.986426665467563
2017-02-15,6.626893541057757,6.031250271040776
2017-03-01,6.4441581889473545,
2017-03-15,6.37104727317358,6.11528598802862
2017-04-01,6.365750932198069,6.111559480006191
2017-04-15,6.368858932941139,6.268523178429757
2017-05-01,6.431644231272116,6.261541545051247
2017-05-15,6.411198717252972,6.1877713548258875
2017-06-01,6.4420558997442585,6.183889545754441
2017-06-15,6.445190089887184,6.006220888349961
2017-07-01,6.388341042609541,5.7846371836482176
2017-07-15,6.363567750828419,5.497595701740491
2017-08-01,6.358082072153762,5.514044262101511
2017-08-15,6.3465897333580825,5.499299789558962
2017-09-01,6.3330119198705015,5.4992076023025565
2017-09-15,6.325420906950073,5.412854321800954
2017-10-01,6.314275279998097,5.408898442850501
2017-10-15,6.270445531269072,
2017-11-01,6.228508072910977,
2017-11-15,6.236197132903801,
2017-12-01,6.140419399035851,
2017-12-15,6.147795002839551,
2018-01-01,6.048689786710134,
2018-01-15,5.869877003772425,5.380760254795821
2018-02-01,5.93648210791234,5.54110921613512
2018-02-15,5.93868912606712,5.53579587677543
2018-03-01,5.940901025927034,5.4499121698897035
2018-03-15,5.9378057342078145,5.259386746576515
2018-04-01,5.994059433549353,5.257175820927511
2018-04-15,5.865792788148753,5.25021947087972
2018-05-01,5.5518173164776075,5.3430828702914175
2018-05-15,5.991861148377614,5.34498329758997
2018-06-01,5.871952065562694,5.391339105961063
2018-06-15,5.734255192375172,5.253218435175246
2018-07-01,5.739145179503344,5.031718853651894
2018-07-15,5.746743757330513,4.900092483650358
2018-08-01,5.746305679565559,4.902001142312378
2018-08-15,5.7580391240371,4.901519197262282
2018-09-01,5.767163274813551,4.739282205158855
2018-09-15,5.765964230432808,4.9023315780284715
2018-10-01,5.883137017005585,4.969585316326035
2018-10-15,5.910530293317847,5.029941707869589
2018-11-01,5.899837737788793,5.028424999593834
2018-11-15,6.265201241728431,5.025798518342362
2018-12-01,6.240344949622186,5.136507602734529
2018-12-15,6.010941278942428,5.188366307921746
2019-01-01,6.018907569523006,5.218885617578165
2019-01-15,6.021847837462467,5.184950383554069
2019-02-01,6.0268902477366115,5.114944618859133
2019-02-15,6.019053847920166,5.1628664932766215
2019-03-01,5.809843680184293,5.1313885312131235
2019-03-15,5.687188845961639,5.128853674501414
2019-04-01,5.449604797936875,5.141140312830274
2019-04-15,5.447359120999331,5.2216896097719925
2019-05-01,5.502527869073664,5.240051789536639
2019-05-15,5.554811501226343,5.213997725698514
2019-06-01,5.681526905035536,5.3096563986669185
2019-06-15,,
2019-07-01,,
2019-07-15,5.986837857767325,
2019-08-01,6.013330416440484,
2019-08-15,6.005691526508355,5.685438107137704
2019-09-01,6.079310870571581,5.746956373572211
2019-09-15,6.076621493277819,5.686171358715641
2019-10-01,6.17640548697065,5.807795590512352
2019-10-15,6.213731975652058,5.688434236107429
2019-11-01,6.252669623213981,5.8231600757326785
2019-11-15,6.283723763877686,5.766461912362339
2019-12-01,6.357064639876909,5.777758201997086
2019-12-15,6.3513939580807905,5.792303295626933
2020-01-01,6.319087004597455,5.871977938997037
2020-01-15,6.314079924416923,5.808464115211822
2020-02-01,6.2023750675322935,6.042551197210232
2020-02-15,6.010636633237032,5.823283862802259
