Date,Owino,Kasese
2016-01-01,6.549089386259068,6.465979102746381
2016-01-15,6.577317384946351,6.364481043498774
2016-02-01,6.518566601942577,6.455550730509163
2016-02-15,6.535536160018683,6.491592672816966
2016-03-01,6.677355844837763,6.500814650959307
2016-03-15,6.605846195190644,6.5661715702829815
2016-04-01,6.540388189406946,6.56363709979081
2016-04-15,6.552406136343881,6.628025456078266
2016-05-01,6.591873480460989,6.737551926612268
2016-05-15,6.615933575438553,6.493901525492754
2016-06-01,6.449038453929686,6.536175751715301
2016-06-15,6.477066337580395,6.5393086464576164
2016-07-01,6.437522699974859,6.5230073591106885
2016-07-15,6.44215294216079,6.525625387246635
2016-08-01,6.436160547191164,6.5629303312726694
2016-08-15,6.5423232365565624,6.561512514144189
2016-09-01,6.556107830249778,6.555773996162218
2016-09-15,6.589533478879123,6.549849635989781
2016-10-01,6.5743119407576085,6.542930340016441
2016-10-15,6.398114045424532,6.5236865490992715
2016-11-01,6.381882860752917,6.533567448084982
2016-11-15,6.43848880487973,6.468579891616678
2016-12-01,6.500073397992073,6.462571193596491
2016-12-15,6.509105407369265,6.462358144829634
2017-01-01,6.6114883655834955,6.462145141442885
2017-01-15,6.61245173027075,6.494460786202137
2017-02-01,6.607299149439882,
2017-02-15,6.749134376931457,
2017-03-01,6.788620214694112,6.58557784270099
2017-03-15,6.867545437902375,6.598182718342347
2017-04-01,6.861353697393771,6.48117702653783
2017-04-15,6.856648166002482,6.438389706434408
2017-05-01,6.848876293235224,6.431272514122744
2017-05-15,6.515723917055652,6.515723917055652
2017-06-01,6.443179353104459,6.52673237592274
2017-06-15,6.369176518407709,6.48892797440099
2017-07-01,6.451225325979993,6.491349319745419
2017-07-15,6.491195409194483,6.493243890620956
2017-08-01,6.4869349505875125,6.4869349505875125
2017-08-15,6.484474118132993,6.483668770360596
2017-09-01,6.516910499473327,
2017-09-15,6.618651356660965,6.477104230830453
2017-10-01,6.615360439861219,6.580822017459036
2017-10-15,6.39917401875369,6.552848923455012
2017-11-01,6.382430488835728,6.465480717573219
2017-11-15,6.299680577704196,6.3859779967870125
2017-12-01,6.35930208488863,6.37978061623217
2017-12-15,6.424592157534765,6.2735519001219
2018-01-01,6.413767803545446,6.373673346343568
2018-01-15,6.459265399242641,6.381191082177448
2018-02-01,6.460625784598636,6.3819132104237015
2018-02-15,6.566099178177021,6.3827299692105095
2018-03-01,6.602245940175688,
2018-03-15,6.620500447784904,
2018-04-01,6.734581445098495,
2018-04-15,6.745720776779637,
2018-05-01,6.722959450631854,6.3868037865875475
2018-05-15,6.386170099468836,6.366752013611734
2018-06-01,6.1455842682179815,6.24072322980427
2018-06-15,6.172172096591272,6.128219253039601
2018-07-01,6.157100877128949,5.964532374597
2018-07-15,6.153768763274872,5.935244157816957
2018-08-01,6.156908459543163,5.9935241037689595
2018-08-15,6.140722794578813,5.825055874367457
2018-09-01,6.223818801333028,5.965538258722532
2018-09-15,6.216999989388145,6.041704423282574
2018-10-01,6.309119362566396,6.048560223574353
2018-10-15,6.223781017326023,6.2689769936693915
2018-11-01,6.137826569887441,6.272174622418519
2018-11-15,6.1471133046663935,6.120845377845783
2018-12-01,6.148032634165344,6.147106279305214
2018-12-15,6.154407268815136,6.0478205114340655
2019-01-01,6.2906039276406345,6.040662183171701
2019-01-15,6.373813365371398,6.047597628917374
2019-02-01,6.418604935085321,5.996118139407725
2019-02-15,6.455001152190991,5.993888865368435
2019-03-01,6.445987944428703,5.981960969757094
2019-03-15,6.546800532856458,6.187492853741926
2019-04-01,6.602490322579463,6.183641249773915
2019-04-15,6.626953374754281,6.387632373995921
2019-05-01,6.680488463777335,6.341989667879001
2019-05-15,6.671897308154846,6.343990434392556
2019-06-01,6.492660443927318,6.3825697538940895
2019-06-15,6.558265308079828,6.408733574108865
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
